mode,subject,mean,sd,n_pairs
cwt,1,55.926,5.01,3
cwt,2,63.333,3.608,3
cwt,3,56.25,8.197,3
cwt,4,71.25,9.014,3
cwt,5,70.833,2.887,3
cwt,6,59.583,8.323,3
cwt,7,65.417,6.884,3
cwt,8,57.917,2.602,3
cwt,9,48.333,8.323,3
cwt,10,69.583,10.777,3
cwt,11,66.25,3.307,3
cwt,12,64.583,7.638,3
cwt,13,64.583,1.909,3
cwt,14,64.167,5.907,3
cwt,15,70.833,3.819,3
cwt,16,60.833,19.135,3
cwt,17,62.5,4.33,3
cwt,18,83.333,5.052,3
