scope,pair,contrast,window,n_subjects,mean_x,mean_y,diff,sd_diff,t,p_ttest,p_wilcoxon,cohen_dz,n_x_better,n_y_better,n_ties,p_holm
pair,HOC_WFE,A - B,800,2,54.513889,50.555556,3.958333,10.311974,0.542857,0.683382,1.0,0.383858,1,1,0,1.0
pair,HOC_WFE,A - B,1500,2,56.388889,49.583333,6.805556,6.088975,1.580645,0.359107,0.5,1.117685,2,0,0,1.0
pair,HOC_WFE,A - B,3000,2,48.194444,47.152778,1.041667,3.240906,0.454545,0.728401,1.0,0.321412,1,1,0,1.0
pair,HOC_WFE,A - B,4000,2,51.527778,43.541667,7.986111,5.990766,1.885246,0.310478,0.5,1.33307,2,0,0,1.0
pair,HOC_WFE,A - B,avg,2,52.65625,47.708333,4.947917,1.252168,5.588235,0.112728,0.5,3.951479,2,0,0,1.0
pair,HOC_WFE,B+CWT - B,800,2,48.402778,50.555556,-2.152778,4.812254,-0.632653,0.640893,1.0,-0.447353,1,1,0,1.0
pair,HOC_WFE,B+CWT - B,1500,2,46.944444,49.583333,-2.638889,6.874649,-0.542857,0.683382,1.0,-0.383858,1,1,0,1.0
pair,HOC_WFE,B+CWT - B,3000,2,52.569444,47.152778,5.416667,2.946278,2.6,0.23375,0.5,1.838478,2,0,0,1.0
pair,HOC_WFE,B+CWT - B,4000,2,52.638889,43.541667,9.097222,7.562114,1.701299,0.338294,0.5,1.203,2,0,0,1.0
pair,HOC_WFE,B+CWT - B,avg,2,50.138889,47.708333,2.430556,1.669558,2.058824,0.28785,0.5,1.455808,2,0,0,1.0
pair,HOC_WFE,B+CWT - A,800,2,48.402778,54.513889,-6.111111,5.499719,-1.571429,0.360791,0.5,-1.111168,0,2,0,1.0
pair,HOC_WFE,B+CWT - A,1500,2,46.944444,56.388889,-9.444444,0.785674,-17.0,0.037405,0.5,-12.020815,0,2,0,1.0
pair,HOC_WFE,B+CWT - A,3000,2,52.569444,48.194444,4.375,6.187184,1.0,0.5,0.317311,0.707107,1,0,1,1.0
pair,HOC_WFE,B+CWT - A,4000,2,52.638889,51.527778,1.111111,1.571348,1.0,0.5,0.317311,0.707107,1,0,1,1.0
pair,HOC_WFE,B+CWT - A,avg,2,50.138889,52.65625,-2.517361,0.417389,-8.529412,0.074299,0.5,-6.031205,0,2,0,1.0
pair,WAA_SAA,A - B,800,2,59.722222,55.763889,3.958333,10.311974,0.542857,0.683382,1.0,0.383858,1,1,0,1.0
pair,WAA_SAA,A - B,1500,2,62.013889,54.930556,7.083333,0.589256,17.0,0.037405,0.5,12.020815,2,0,0,1.0
pair,WAA_SAA,A - B,3000,2,63.819444,50.902778,12.916667,0.589256,31.0,0.020529,0.5,21.92031,2,0,0,0.923805
pair,WAA_SAA,A - B,4000,2,61.805556,55.208333,6.597222,3.044488,3.064516,0.200804,0.5,2.16694,2,0,0,1.0
pair,WAA_SAA,A - B,avg,2,61.840278,54.201389,7.638889,3.339115,3.235294,0.190843,0.5,2.287698,2,0,0,1.0
pair,WAA_SAA,B+CWT - B,800,2,55.902778,55.763889,0.138889,3.339115,0.058824,0.962595,1.0,0.041595,1,1,0,1.0
pair,WAA_SAA,B+CWT - B,1500,2,47.013889,54.930556,-7.916667,6.481812,-1.727273,0.334095,0.5,-1.221366,0,2,0,1.0
pair,WAA_SAA,B+CWT - B,3000,2,48.263889,50.902778,-2.638889,6.874649,-0.542857,0.683382,1.0,-0.383858,1,1,0,1.0
pair,WAA_SAA,B+CWT - B,4000,2,53.541667,55.208333,-1.666667,11.785113,-0.2,0.874334,1.0,-0.141421,1,1,0,1.0
pair,WAA_SAA,B+CWT - B,avg,2,51.180556,54.201389,-3.020833,5.450615,-0.783784,0.576791,1.0,-0.554219,1,1,0,1.0
pair,WAA_SAA,B+CWT - A,800,2,55.902778,59.722222,-3.819444,6.972859,-0.774648,0.58041,1.0,-0.547759,1,1,0,1.0
pair,WAA_SAA,B+CWT - A,1500,2,47.013889,62.013889,-15.0,7.071068,-3.0,0.204833,0.5,-2.12132,0,2,0,1.0
pair,WAA_SAA,B+CWT - A,3000,2,48.263889,63.819444,-15.555556,6.285394,-3.5,0.177171,0.5,-2.474874,0,2,0,1.0
pair,WAA_SAA,B+CWT - A,4000,2,53.541667,61.805556,-8.263889,14.829601,-0.788079,0.575101,1.0,-0.557256,1,1,0,1.0
pair,WAA_SAA,B+CWT - A,avg,2,51.180556,61.840278,-10.659722,8.78973,-1.715084,0.336054,0.5,-1.212747,0,2,0,1.0
pair,EPS_SPS,A - B,800,2,49.652778,50.138889,-0.486111,2.455232,-0.28,0.826197,1.0,-0.19799,1,1,0,1.0
pair,EPS_SPS,A - B,1500,2,66.388889,50.138889,16.25,5.303301,4.333333,0.144385,0.5,3.064129,2,0,0,1.0
pair,EPS_SPS,A - B,3000,2,58.75,52.569444,6.180556,7.169277,1.219178,0.437327,0.5,0.862089,2,0,0,1.0
pair,EPS_SPS,A - B,4000,2,60.555556,53.333333,7.222222,3.928371,2.6,0.23375,0.5,1.838478,2,0,0,1.0
pair,EPS_SPS,A - B,avg,2,58.836806,51.545139,7.291667,2.062395,5.0,0.125666,0.5,3.535534,2,0,0,1.0
pair,EPS_SPS,B+CWT - B,800,2,48.611111,50.138889,-1.527778,8.445998,-0.255814,0.840563,1.0,-0.180888,1,1,0,1.0
pair,EPS_SPS,B+CWT - B,1500,2,54.861111,50.138889,4.722222,0.392837,17.0,0.037405,0.5,12.020815,2,0,0,1.0
pair,EPS_SPS,B+CWT - B,3000,2,54.722222,52.569444,2.152778,4.812254,0.632653,0.640893,1.0,0.447353,1,1,0,1.0
pair,EPS_SPS,B+CWT - B,4000,2,51.666667,53.333333,-1.666667,11.785113,-0.2,0.874334,1.0,-0.141421,1,1,0,1.0
pair,EPS_SPS,B+CWT - B,avg,2,52.465278,51.545139,0.920139,6.162632,0.211155,0.86752,1.0,0.149309,1,1,0,1.0
pair,EPS_SPS,B+CWT - A,800,2,48.611111,49.652778,-1.041667,10.90123,-0.135135,0.914488,1.0,-0.095555,1,1,0,1.0
pair,EPS_SPS,B+CWT - A,1500,2,54.861111,66.388889,-11.527778,5.696138,-2.862069,0.213992,0.5,-2.023788,0,2,0,1.0
pair,EPS_SPS,B+CWT - A,3000,2,54.722222,58.75,-4.027778,11.981532,-0.47541,0.717479,1.0,-0.336166,1,1,0,1.0
pair,EPS_SPS,B+CWT - A,4000,2,51.666667,60.555556,-8.888889,15.713484,-0.8,0.570447,1.0,-0.565685,1,1,0,1.0
pair,EPS_SPS,B+CWT - A,avg,2,52.465278,58.836806,-6.371528,8.225027,-1.095522,0.471,0.5,-0.774651,0,2,0,1.0
pooled,ALL(3),A - B,800,2,54.62963,52.152778,2.476852,7.69306,0.455319,0.727992,1.0,0.321959,1,1,0,1.0
pooled,ALL(3),A - B,1500,2,61.597222,51.550926,10.046296,3.601007,3.945455,0.158027,0.5,2.789858,2,0,0,1.0
pooled,ALL(3),A - B,3000,2,56.921296,50.208333,6.712963,1.113038,8.529412,0.074299,0.5,6.031205,2,0,0,0.891588
pooled,ALL(3),A - B,4000,2,57.962963,50.694444,7.268519,0.327364,31.4,0.020268,0.5,22.203153,2,0,0,0.304015
pooled,ALL(3),A - B,avg,2,57.777778,51.15162,6.626157,1.383114,6.775148,0.09329,0.5,4.790753,2,0,0,1.0
pooled,ALL(3),B+CWT - B,800,2,50.972222,52.152778,-1.180556,0.098209,-17.0,0.037405,0.5,-12.020815,0,2,0,0.486267
pooled,ALL(3),B+CWT - B,1500,2,49.606481,51.550926,-1.944444,4.321208,-0.636364,0.639209,1.0,-0.449977,1,1,0,1.0
pooled,ALL(3),B+CWT - B,3000,2,51.851852,50.208333,1.643519,2.913542,0.797753,0.57132,1.0,0.564096,1,1,0,1.0
pooled,ALL(3),B+CWT - B,4000,2,52.615741,50.694444,1.921296,10.377447,0.26183,0.836974,1.0,0.185142,1,1,0,1.0
pooled,ALL(3),B+CWT - B,avg,2,51.261574,51.15162,0.109954,4.427601,0.03512,0.977651,1.0,0.024834,1,1,0,1.0
pooled,ALL(3),B+CWT - A,800,2,50.972222,54.62963,-3.657407,7.791269,-0.663866,0.626902,1.0,-0.469424,1,1,0,1.0
