pair,model,window,mean_acc,sd_acc,n_subjects
HOC_WFE,conformer_a,800,54.51388888888889,9.526299690985436,2
HOC_WFE,conformer_a,1500,56.388888888888886,1.9641855032959559,2
HOC_WFE,conformer_a,3000,48.19444444444444,0.9820927516479805,2
HOC_WFE,conformer_a,4000,51.52777777777777,8.445997664172644,2
HOC_WFE,conformer_a,avg,52.65625,3.756504775053534,2
HOC_WFE,conformer_b,800,50.55555555555556,0.7856742013183834,2
HOC_WFE,conformer_b,1500,49.58333333333333,4.124789556921534,2
HOC_WFE,conformer_b,3000,47.15277777777778,2.258813328790359,2
HOC_WFE,conformer_b,4000,43.541666666666664,14.43676344922535,2
HOC_WFE,conformer_b,avg,47.70833333333333,5.008673033404718,2
HOC_WFE,conformer_b_cwt,800,48.40277777777777,4.026580281756723,2
HOC_WFE,conformer_b_cwt,1500,46.94444444444444,2.7498597046143494,2
HOC_WFE,conformer_b_cwt,3000,52.56944444444444,5.20509158373431,2
HOC_WFE,conformer_b_cwt,4000,52.638888888888886,6.874649261535873,2
HOC_WFE,conformer_b_cwt,avg,50.138888888888886,3.3391153556031457,2
WAA_SAA,conformer_a,800,59.72222222222222,7.4639049125246695,2
WAA_SAA,conformer_a,1500,62.013888888888886,5.990765785052698,2
WAA_SAA,conformer_a,3000,63.81944444444444,6.972858536700674,2
WAA_SAA,conformer_a,4000,61.80555555555556,15.124228375378935,2
WAA_SAA,conformer_a,avg,61.84027777777778,8.887939402414242,2
WAA_SAA,conformer_b,800,55.763888888888886,2.8480689797791454,2
WAA_SAA,conformer_b,1500,54.93055555555556,5.401510134063908,2
WAA_SAA,conformer_b,3000,50.90277777777778,7.562114187689465,2
WAA_SAA,conformer_b,4000,55.20833333333333,12.079740845270187,2
WAA_SAA,conformer_b,avg,54.201388888888886,5.548824046811101,2
WAA_SAA,conformer_b_cwt,800,55.90277777777778,0.49104637582399024,2
WAA_SAA,conformer_b_cwt,1500,47.013888888888886,1.0803020268127814,2
WAA_SAA,conformer_b_cwt,3000,48.263888888888886,0.6874649261535872,2
WAA_SAA,conformer_b_cwt,4000,53.54166666666667,0.29462782549439315,2
WAA_SAA,conformer_b_cwt,avg,51.18055555555556,0.09820927516479604,2
EPS_SPS,conformer_a,800,49.65277777777778,5.794347234723096,2
EPS_SPS,conformer_a,1500,66.38888888888889,1.964185503295971,2
EPS_SPS,conformer_a,3000,58.75,12.374368670764582,2
EPS_SPS,conformer_a,4000,60.55555555555556,13.356461422412568,2
EPS_SPS,conformer_a,avg,58.83680555555556,7.390247956151067,2
EPS_SPS,conformer_b,800,50.138888888888886,3.3391153556031408,2
EPS_SPS,conformer_b,1500,50.138888888888886,3.3391153556031408,2
EPS_SPS,conformer_b,3000,52.56944444444444,5.20509158373431,2
EPS_SPS,conformer_b,4000,53.33333333333333,9.428090415820641,2
EPS_SPS,conformer_b,avg,51.545138888888886,5.327853177690305,2
EPS_SPS,conformer_b_cwt,800,48.611111111111114,5.1068823085695145,2
EPS_SPS,conformer_b_cwt,1500,54.861111111111114,3.731952456262325,2
EPS_SPS,conformer_b_cwt,3000,54.72222222222223,0.3928371006591992,2
EPS_SPS,conformer_b_cwt,4000,51.66666666666667,2.3570226039551603,2
EPS_SPS,conformer_b_cwt,avg,52.465277777777786,0.8347788389007914,2
