pair,model,subject,window_ms,accuracy,n_test
HOC/WFE,conformer_a,1,800,47.77777777777778,90
HOC/WFE,conformer_a,1,1500,57.77777777777777,90
HOC/WFE,conformer_a,1,3000,48.888888888888886,90
HOC/WFE,conformer_a,1,4000,45.55555555555556,90
HOC/WFE,conformer_a,2,800,61.25000000000001,80
HOC/WFE,conformer_a,2,1500,55.00000000000001,80
HOC/WFE,conformer_a,2,3000,47.5,80
HOC/WFE,conformer_a,2,4000,57.49999999999999,80
HOC/WFE,conformer_b,1,800,51.11111111111111,90
HOC/WFE,conformer_b,1,1500,46.66666666666666,90
HOC/WFE,conformer_b,1,3000,45.55555555555556,90
HOC/WFE,conformer_b,1,4000,33.33333333333333,90
HOC/WFE,conformer_b,2,800,50.0,80
HOC/WFE,conformer_b,2,1500,52.5,80
HOC/WFE,conformer_b,2,3000,48.75,80
HOC/WFE,conformer_b,2,4000,53.75,80
HOC/WFE,conformer_b_cwt,1,800,45.55555555555556,90
HOC/WFE,conformer_b_cwt,1,1500,48.888888888888886,90
HOC/WFE,conformer_b_cwt,1,3000,48.888888888888886,90
HOC/WFE,conformer_b_cwt,1,4000,47.77777777777778,90
HOC/WFE,conformer_b_cwt,2,800,51.24999999999999,80
HOC/WFE,conformer_b_cwt,2,1500,45.0,80
HOC/WFE,conformer_b_cwt,2,3000,56.25,80
HOC/WFE,conformer_b_cwt,2,4000,57.49999999999999,80
WAA/SAA,conformer_a,1,800,54.44444444444444,90
WAA/SAA,conformer_a,1,1500,57.77777777777777,90
WAA/SAA,conformer_a,1,3000,58.88888888888889,90
WAA/SAA,conformer_a,1,4000,51.11111111111111,90
WAA/SAA,conformer_a,2,800,65.0,80
WAA/SAA,conformer_a,2,1500,66.25,80
WAA/SAA,conformer_a,2,3000,68.75,80
WAA/SAA,conformer_a,2,4000,72.5,80
WAA/SAA,conformer_b,1,800,57.77777777777777,90
WAA/SAA,conformer_b,1,1500,51.11111111111111,90
WAA/SAA,conformer_b,1,3000,45.55555555555556,90
WAA/SAA,conformer_b,1,4000,46.66666666666666,90
WAA/SAA,conformer_b,2,800,53.75,80
WAA/SAA,conformer_b,2,1500,58.75,80
WAA/SAA,conformer_b,2,3000,56.25,80
WAA/SAA,conformer_b,2,4000,63.74999999999999,80
WAA/SAA,conformer_b_cwt,1,800,55.55555555555556,90
WAA/SAA,conformer_b_cwt,1,1500,47.77777777777778,90
WAA/SAA,conformer_b_cwt,1,3000,47.77777777777778,90
WAA/SAA,conformer_b_cwt,1,4000,53.333333333333336,90
WAA/SAA,conformer_b_cwt,2,800,56.25,80
WAA/SAA,conformer_b_cwt,2,1500,46.25,80
WAA/SAA,conformer_b_cwt,2,3000,48.75,80
WAA/SAA,conformer_b_cwt,2,4000,53.75,80
EPS/SPS,conformer_a,1,800,45.55555555555556,90
EPS/SPS,conformer_a,1,1500,67.77777777777779,90
EPS/SPS,conformer_a,1,3000,50.0,90
EPS/SPS,conformer_a,1,4000,51.11111111111111,90
EPS/SPS,conformer_a,2,800,53.75,80
EPS/SPS,conformer_a,2,1500,65.0,80
EPS/SPS,conformer_a,2,3000,67.5,80
EPS/SPS,conformer_a,2,4000,70.0,80
EPS/SPS,conformer_b,1,800,47.77777777777778,90
EPS/SPS,conformer_b,1,1500,47.77777777777778,90
EPS/SPS,conformer_b,1,3000,48.888888888888886,90
EPS/SPS,conformer_b,1,4000,46.66666666666666,90
EPS/SPS,conformer_b,2,800,52.5,80
EPS/SPS,conformer_b,2,1500,52.5,80
EPS/SPS,conformer_b,2,3000,56.25,80
EPS/SPS,conformer_b,2,4000,60.0,80
EPS/SPS,conformer_b_cwt,1,800,52.22222222222223,90
EPS/SPS,conformer_b_cwt,1,1500,52.22222222222223,90
EPS/SPS,conformer_b_cwt,1,3000,54.44444444444444,90
EPS/SPS,conformer_b_cwt,1,4000,53.333333333333336,90
EPS/SPS,conformer_b_cwt,2,800,45.0,80
EPS/SPS,conformer_b_cwt,2,1500,57.49999999999999,80
EPS/SPS,conformer_b_cwt,2,3000,55.00000000000001,80
EPS/SPS,conformer_b_cwt,2,4000,50.0,80
