subject,800,1500,3000,4000
1,56.666666666666664,70.0,58.88888888888889,50.0
2,52.5,66.25,61.25000000000001,55.00000000000001
3,72.5,70.0,63.74999999999999,53.75
4,86.25,87.5,86.25,78.75
5,83.75,87.5,83.75,90.0
6,67.5,70.0,65.0,67.5
7,82.5,95.0,96.25,88.75
8,58.75,57.49999999999999,60.0,68.75
9,67.5,57.49999999999999,52.5,52.5
10,62.5,53.75,58.75,58.75
11,55.00000000000001,62.5,65.0,63.74999999999999
12,56.25,70.0,68.75,61.25000000000001
13,62.5,77.5,62.5,68.75
14,50.0,66.25,60.0,58.75
15,57.49999999999999,57.49999999999999,55.00000000000001,57.49999999999999
16,37.5,43.75,51.24999999999999,42.5
17,68.75,70.0,75.0,80.0
18,80.0,92.5,82.5,85.0
