pair,subject,window_ms,fold,accuracy,val_accuracy,best_epoch,n_test
EPS/SAA,5,4000,3,87.5,93.75,3,16
EPS/SAA,5,4000,4,87.5,93.75,4,16
EPS/SAA,5,4000,5,93.75,100.0,2,16
EPS/SAA,6,800,1,68.75,87.5,6,16
EPS/SAA,6,800,2,68.75,81.25,11,16
EPS/SAA,6,800,3,62.5,81.25,2,16
EPS/SAA,6,800,4,68.75,81.25,2,16
EPS/SAA,6,800,5,68.75,81.25,10,16
EPS/SAA,6,1500,1,68.75,81.25,5,16
EPS/SAA,6,1500,2,81.25,87.5,12,16
EPS/SAA,6,1500,3,56.25,87.5,8,16
EPS/SAA,6,1500,4,68.75,87.5,6,16
EPS/SAA,6,1500,5,75.0,81.25,2,16
EPS/SAA,6,3000,1,75.0,62.5,6,16
EPS/SAA,6,3000,2,56.25,81.25,5,16
EPS/SAA,6,3000,3,56.25,87.5,7,16
EPS/SAA,6,3000,4,68.75,75.0,4,16
EPS/SAA,6,3000,5,68.75,81.25,9,16
EPS/SAA,6,4000,1,75.0,81.25,8,16
EPS/SAA,6,4000,2,50.0,93.75,6,16
EPS/SAA,6,4000,3,68.75,93.75,5,16
EPS/SAA,6,4000,4,75.0,81.25,9,16
EPS/SAA,6,4000,5,68.75,68.75,4,16
EPS/SAA,7,800,1,75.0,100.0,5,16
EPS/SAA,7,800,2,87.5,93.75,18,16
EPS/SAA,7,800,3,87.5,87.5,2,16
EPS/SAA,7,800,4,87.5,93.75,13,16
EPS/SAA,7,800,5,75.0,100.0,14,16
EPS/SAA,7,1500,1,93.75,100.0,2,16
EPS/SAA,7,1500,2,100.0,100.0,1,16
EPS/SAA,7,1500,3,93.75,100.0,16,16
EPS/SAA,7,1500,4,93.75,100.0,4,16
EPS/SAA,7,1500,5,93.75,100.0,2,16
EPS/SAA,7,3000,1,93.75,100.0,6,16
EPS/SAA,7,3000,2,93.75,100.0,8,16
EPS/SAA,7,3000,3,100.0,93.75,2,16
EPS/SAA,7,3000,4,100.0,100.0,11,16
EPS/SAA,7,3000,5,93.75,93.75,9,16
EPS/SAA,7,4000,1,93.75,100.0,3,16
EPS/SAA,7,4000,2,93.75,100.0,19,16
EPS/SAA,7,4000,3,81.25,93.75,5,16
EPS/SAA,7,4000,4,87.5,100.0,2,16
EPS/SAA,7,4000,5,87.5,100.0,1,16
EPS/SAA,8,800,1,43.75,68.75,4,16
EPS/SAA,8,800,2,75.0,75.0,18,16
EPS/SAA,8,800,3,62.5,68.75,7,16
EPS/SAA,8,800,4,43.75,68.75,3,16
EPS/SAA,8,800,5,68.75,81.25,5,16
EPS/SAA,8,1500,1,50.0,75.0,8,16
EPS/SAA,8,1500,2,50.0,62.5,1,16
EPS/SAA,8,1500,3,56.25,62.5,1,16
EPS/SAA,8,1500,4,68.75,75.0,3,16
EPS/SAA,8,1500,5,62.5,75.0,4,16
EPS/SAA,8,3000,1,50.0,75.0,10,16
EPS/SAA,8,3000,2,68.75,75.0,3,16
EPS/SAA,8,3000,3,62.5,75.0,1,16
EPS/SAA,8,3000,4,56.25,75.0,6,16
EPS/SAA,8,3000,5,62.5,87.5,1,16
EPS/SAA,8,4000,1,75.0,75.0,4,16
EPS/SAA,8,4000,2,68.75,62.5,7,16
EPS/SAA,8,4000,3,68.75,68.75,3,16
EPS/SAA,8,4000,4,62.5,62.5,2,16
EPS/SAA,8,4000,5,68.75,87.5,7,16
EPS/SAA,9,800,1,62.5,75.0,30,16
EPS/SAA,9,800,2,68.75,75.0,1,16
EPS/SAA,9,800,3,68.75,68.75,9,16
EPS/SAA,9,800,4,68.75,62.5,13,16
EPS/SAA,9,800,5,68.75,93.75,50,16
EPS/SAA,9,1500,1,56.25,68.75,1,16
EPS/SAA,9,1500,2,43.75,68.75,10,16
EPS/SAA,9,1500,3,50.0,81.25,14,16
EPS/SAA,9,1500,4,81.25,68.75,4,16
EPS/SAA,9,1500,5,56.25,87.5,2,16
EPS/SAA,9,3000,1,62.5,56.25,3,16
EPS/SAA,9,3000,2,50.0,62.5,5,16
EPS/SAA,9,3000,3,31.25,75.0,10,16
EPS/SAA,9,3000,4,56.25,62.5,11,16
EPS/SAA,9,3000,5,62.5,93.75,24,16
EPS/SAA,9,4000,1,62.5,62.5,23,16
EPS/SAA,9,4000,2,43.75,81.25,7,16
EPS/SAA,9,4000,3,62.5,62.5,12,16
EPS/SAA,9,4000,4,50.0,62.5,7,16
EPS/SAA,9,4000,5,43.75,81.25,41,16
EPS/SAA,10,800,1,68.75,81.25,14,16
EPS/SAA,10,800,2,62.5,81.25,5,16
EPS/SAA,10,800,3,62.5,75.0,4,16
EPS/SAA,10,800,4,56.25,81.25,7,16
EPS/SAA,10,800,5,62.5,68.75,7,16
EPS/SAA,10,1500,1,56.25,68.75,4,16
EPS/SAA,10,1500,2,50.0,93.75,6,16
EPS/SAA,10,1500,3,37.5,68.75,12,16
EPS/SAA,10,1500,4,62.5,75.0,9,16
EPS/SAA,10,1500,5,62.5,75.0,5,16
EPS/SAA,10,3000,1,81.25,75.0,9,16
EPS/SAA,10,3000,2,56.25,100.0,5,16
EPS/SAA,10,3000,3,43.75,87.5,2,16
EPS/SAA,10,3000,4,56.25,75.0,9,16
EPS/SAA,10,3000,5,56.25,75.0,4,16
EPS/SAA,10,4000,1,56.25,68.75,2,16
EPS/SAA,10,4000,2,43.75,100.0,2,16
EPS/SAA,10,4000,3,75.0,87.5,9,16
EPS/SAA,10,4000,4,50.0,68.75,3,16
EPS/SAA,10,4000,5,68.75,68.75,2,16
EPS/SAA,11,800,1,68.75,62.5,6,16
EPS/SAA,11,800,2,37.5,87.5,19,16
EPS/SAA,11,800,3,37.5,68.75,1,16
EPS/SAA,11,800,4,62.5,75.0,49,16
EPS/SAA,11,800,5,68.75,68.75,7,16
EPS/SAA,11,1500,1,75.0,68.75,8,16
EPS/SAA,11,1500,2,50.0,75.0,9,16
EPS/SAA,11,1500,3,43.75,81.25,1,16
EPS/SAA,11,1500,4,81.25,87.5,11,16
EPS/SAA,11,1500,5,62.5,62.5,3,16
EPS/SAA,11,3000,1,75.0,68.75,1,16
EPS/SAA,11,3000,2,43.75,87.5,19,16
