subject,800,1500,3000,4000
1,54.44444444444444,53.333333333333336,60.0,54.44444444444444
2,58.75,66.25,68.75,62.5
3,61.25000000000001,75.0,63.74999999999999,72.5
4,88.75,91.25,83.75,75.0
5,72.5,76.25,72.5,53.75
6,72.5,66.25,67.5,66.25
7,65.0,80.0,77.5,77.5
8,43.75,47.5,57.49999999999999,53.75
9,57.49999999999999,57.49999999999999,51.24999999999999,51.24999999999999
10,82.5,85.0,82.5,82.5
11,55.00000000000001,60.0,66.25,65.0
12,43.75,46.25,57.49999999999999,57.49999999999999
13,63.74999999999999,66.25,61.25000000000001,57.49999999999999
14,71.25,70.0,65.0,72.5
15,82.5,81.25,51.24999999999999,52.5
16,53.75,51.24999999999999,55.00000000000001,50.0
17,55.00000000000001,70.0,53.75,57.49999999999999
18,71.25,76.25,76.25,62.5
