subject,800,1500,3000,4000
1,50.0,51.11111111111111,43.333333333333336,48.888888888888886
2,48.75,61.25000000000001,50.0,56.25
3,78.75,58.75,61.25000000000001,52.5
4,50.0,62.5,57.49999999999999,63.74999999999999
5,46.25,46.25,40.0,48.75
6,37.5,50.0,43.75,50.0
7,60.0,55.00000000000001,52.5,60.0
8,46.25,51.24999999999999,56.25,47.5
9,60.0,50.0,56.25,53.75
10,60.0,56.25,55.00000000000001,52.5
11,45.0,48.75,47.5,55.00000000000001
12,51.24999999999999,45.0,50.0,40.0
13,53.75,51.24999999999999,52.5,53.75
14,51.24999999999999,47.5,53.75,53.75
15,47.5,52.5,52.5,60.0
16,42.5,50.0,45.0,53.75
17,45.0,55.00000000000001,58.75,47.5
18,48.75,58.75,61.25000000000001,57.49999999999999
