contrast,pair,window,mean_x,mean_y,diff_pp,sd_diff,t,p_ttest,p_wilcoxon,cohen_dz,n_x_better,n_y_better,n_ties
conformer_a - conformer_b (0.5-3Hz),HOC_WFE,3000,62.12,57.46,4.66,5.80,3.41,0.0034,0.0056,0.80,13,5,0
conformer_a: 0.5-3Hz - 8-30Hz,HOC_WFE,3000,62.12,53.29,8.83,11.96,3.13,0.0061,0.0108,0.74,14,4,0
conformer_b: 0.5-3Hz - 8-30Hz,HOC_WFE,3000,57.46,51.73,5.73,11.11,2.19,0.0428,0.0524,0.52,12,6,0
conformer_a - fine (0.5-3Hz),HOC_WFE,4000,62.43,58.60,3.83,5.19,3.14,0.0060,0.0082,0.74,14,4,0
conformer_b - fine (0.5-3Hz),HOC_WFE,4000,59.84,58.60,1.24,4.39,1.20,0.2465,0.0896,0.28,10,6,2
conformer_a - conformer_b (0.5-3Hz),HOC_WFE,4000,62.43,59.84,2.59,4.01,2.74,0.0139,0.0141,0.65,13,2,3
conformer_a: 0.5-3Hz - 8-30Hz,HOC_WFE,4000,62.43,52.48,9.95,12.34,3.42,0.0032,0.0049,0.81,14,4,0
conformer_b: 0.5-3Hz - 8-30Hz,HOC_WFE,4000,59.84,53.33,6.51,11.64,2.37,0.0296,0.0427,0.56,14,4,0
conformer_a - fine (0.5-3Hz),HOC_WFE,avg,61.59,59.66,1.93,3.50,2.34,0.0316,0.0262,0.55,14,4,0
conformer_b - fine (0.5-3Hz),HOC_WFE,avg,61.00,59.66,1.34,2.55,2.24,0.0387,0.0128,0.53,13,4,1
conformer_a - conformer_b (0.5-3Hz),HOC_WFE,avg,61.59,61.00,0.59,2.65,0.94,0.3604,0.4077,0.22,9,7,2
conformer_a: 0.5-3Hz - 8-30Hz,HOC_WFE,avg,61.59,52.13,9.46,9.35,4.29,0.0005,0.0012,1.01,15,3,0
conformer_b: 0.5-3Hz - 8-30Hz,HOC_WFE,avg,61.00,53.28,7.73,8.75,3.75,0.0016,0.0021,0.88,15,3,0
conformer_a - fine (0.5-3Hz),EPS_SPS,800,63.18,66.05,-2.87,9.08,-1.34,0.1976,0.1479,-0.32,6,11,1
conformer_b - fine (0.5-3Hz),EPS_SPS,800,65.93,66.05,-0.12,6.29,-0.08,0.9387,0.9056,-0.02,9,8,1
conformer_a - conformer_b (0.5-3Hz),EPS_SPS,800,63.18,65.93,-2.75,5.85,-2.00,0.0621,0.0487,-0.47,4,12,2
conformer_a: 0.5-3Hz - 8-30Hz,EPS_SPS,800,63.18,54.21,8.97,12.17,3.13,0.0061,0.0104,0.74,12,4,2
conformer_b: 0.5-3Hz - 8-30Hz,EPS_SPS,800,65.93,55.46,10.47,8.41,5.28,0.0001,0.0008,1.25,15,3,0
conformer_a - fine (0.5-3Hz),EPS_SPS,1500,68.83,67.62,1.22,8.58,0.60,0.5545,0.1829,0.14,11,7,0
conformer_b - fine (0.5-3Hz),EPS_SPS,1500,68.93,67.62,1.31,4.03,1.38,0.1855,0.1605,0.33,11,6,1
conformer_a - conformer_b (0.5-3Hz),EPS_SPS,1500,68.83,68.93,-0.09,7.28,-0.05,0.9576,0.7557,-0.01,8,8,2
conformer_a: 0.5-3Hz - 8-30Hz,EPS_SPS,1500,68.83,53.59,15.25,13.77,4.70,0.0002,0.0012,1.11,14,3,1
conformer_b: 0.5-3Hz - 8-30Hz,EPS_SPS,1500,68.93,56.18,12.75,12.26,4.41,0.0004,0.0017,1.04,15,3,0
conformer_a - fine (0.5-3Hz),EPS_SPS,3000,70.29,65.40,4.88,8.09,2.56,0.0203,0.0054,0.60,14,3,1
conformer_b - fine (0.5-3Hz),EPS_SPS,3000,67.19,65.40,1.79,3.84,1.98,0.0643,0.0671,0.47,12,5,1
conformer_a - conformer_b (0.5-3Hz),EPS_SPS,3000,70.29,67.19,3.09,7.84,1.67,0.1125,0.1315,0.39,11,4,3
conformer_a: 0.5-3Hz - 8-30Hz,EPS_SPS,3000,70.29,51.38,18.90,11.80,6.80,0.0000,0.0003,1.60,17,1,0
conformer_b: 0.5-3Hz - 8-30Hz,EPS_SPS,3000,67.19,57.74,9.45,9.27,4.33,0.0005,0.0015,1.02,16,2,0
conformer_a - fine (0.5-3Hz),EPS_SPS,4000,70.46,65.15,5.31,7.43,3.03,0.0075,0.0038,0.71,14,3,1
conformer_b - fine (0.5-3Hz),EPS_SPS,4000,67.39,65.15,2.24,5.80,1.64,0.1198,0.1201,0.39,10,6,2
conformer_a - conformer_b (0.5-3Hz),EPS_SPS,4000,70.46,67.39,3.07,9.19,1.42,0.1743,0.2139,0.33,11,5,2
conformer_a: 0.5-3Hz - 8-30Hz,EPS_SPS,4000,70.46,53.67,16.79,13.19,5.40,0.0000,0.0003,1.27,17,1,0
conformer_b: 0.5-3Hz - 8-30Hz,EPS_SPS,4000,67.39,57.31,10.08,10.76,3.97,0.0010,0.0043,0.94,15,3,0
conformer_a - fine (0.5-3Hz),EPS_SPS,avg,68.19,66.06,2.14,4.27,2.12,0.0489,0.0523,0.50,14,4,0
conformer_b - fine (0.5-3Hz),EPS_SPS,avg,67.36,66.06,1.31,2.57,2.15,0.0459,0.1143,0.51,11,5,2
conformer_a - conformer_b (0.5-3Hz),EPS_SPS,avg,68.19,67.36,0.83,4.87,0.72,0.4798,0.8788,0.17,10,8,0
conformer_a: 0.5-3Hz - 8-30Hz,EPS_SPS,avg,68.19,53.21,14.98,10.40,6.11,0.0000,0.0003,1.44,17,1,0
conformer_b: 0.5-3Hz - 8-30Hz,EPS_SPS,avg,67.36,56.67,10.69,7.51,6.04,0.0000,0.0005,1.42,16,2,0
conformer_a - fine (0.5-3Hz),ALL,800,62.49,64.36,-1.88,5.86,-1.36,0.1914,0.2390,-0.32,8,10,0
conformer_b - fine (0.5-3Hz),ALL,800,64.92,64.36,0.56,4.69,0.50,0.6219,0.6190,0.12,10,7,1
conformer_a - conformer_b (0.5-3Hz),ALL,800,62.49,64.92,-2.43,3.24,-3.19,0.0054,0.0049,-0.75,4,14,0
conformer_a: 0.5-3Hz - 8-30Hz,ALL,800,62.49,54.39,8.10,8.93,3.85,0.0013,0.0023,0.91,15,3,0
conformer_b: 0.5-3Hz - 8-30Hz,ALL,800,64.92,56.43,8.49,7.65,4.71,0.0002,0.0009,1.11,15,3,0
conformer_a - fine (0.5-3Hz),ALL,1500,67.49,66.30,1.20,3.54,1.43,0.1697,0.0734,0.34,13,5,0
conformer_b - fine (0.5-3Hz),ALL,1500,67.72,66.30,1.42,2.96,2.04,0.0575,0.0828,0.48,11,5,2
conformer_a - conformer_b (0.5-3Hz),ALL,1500,67.49,67.72,-0.23,2.85,-0.34,0.7407,0.9174,-0.08,9,7,2
conformer_a: 0.5-3Hz - 8-30Hz,ALL,1500,67.49,53.18,14.32,7.19,8.44,0.0000,0.0002,1.99,18,0,0
conformer_b: 0.5-3Hz - 8-30Hz,ALL,1500,67.72,55.77,11.95,8.42,6.02,0.0000,0.0003,1.42,16,2,0
conformer_a - fine (0.5-3Hz),ALL,3000,68.67,64.31,4.36,4.66,3.97,0.0010,0.0015,0.93,14,4,0
conformer_b - fine (0.5-3Hz),ALL,3000,64.70,64.31,0.39,3.42,0.48,0.6382,0.5856,0.11,9,8,1
conformer_a - conformer_b (0.5-3Hz),ALL,3000,68.67,64.70,3.97,4.43,3.81,0.0014,0.0026,0.90,13,4,1
conformer_a: 0.5-3Hz - 8-30Hz,ALL,3000,68.67,53.68,14.99,8.25,7.71,0.0000,0.0002,1.82,18,0,0
conformer_b: 0.5-3Hz - 8-30Hz,ALL,3000,64.70,55.75,8.95,8.01,4.74,0.0002,0.0019,1.12,15,2,1
conformer_a - fine (0.5-3Hz),ALL,4000,68.68,64.29,4.39,3.38,5.51,0.0000,0.0003,1.30,17,1,0
conformer_b - fine (0.5-3Hz),ALL,4000,65.79,64.29,1.50,3.14,2.02,0.0589,0.0757,0.48,13,4,1
conformer_a - conformer_b (0.5-3Hz),ALL,4000,68.68,65.79,2.89,4.07,3.01,0.0079,0.0095,0.71,13,5,0
conformer_a: 0.5-3Hz - 8-30Hz,ALL,4000,68.68,53.84,14.84,8.71,7.23,0.0000,0.0002,1.70,18,0,0
conformer_b: 0.5-3Hz - 8-30Hz,ALL,4000,65.79,57.57,8.22,8.38,4.16,0.0007,0.0025,0.98,14,4,0
conformer_a - fine (0.5-3Hz),ALL,avg,66.83,64.82,2.02,2.30,3.72,0.0017,0.0057,0.88,14,4,0
conformer_b - fine (0.5-3Hz),ALL,avg,65.78,64.82,0.97,1.66,2.48,0.0241,0.0428,0.58,11,7,0
conformer_a - conformer_b (0.5-3Hz),ALL,avg,66.83,65.78,1.05,2.54,1.75,0.0975,0.0706,0.41,13,5,0
conformer_a: 0.5-3Hz - 8-30Hz,ALL,avg,66.83,53.77,13.06,7.37,7.52,0.0000,0.0002,1.77,18,0,0
conformer_b: 0.5-3Hz - 8-30Hz,ALL,avg,65.78,56.38,9.40,6.96,5.73,0.0000,0.0006,1.35,16,2,0
