subject,800,1500,3000,4000
1,61.111111111111114,57.77777777777777,63.33333333333333,58.88888888888889
2,55.00000000000001,58.75,65.0,67.5
3,46.25,57.49999999999999,67.5,52.5
4,68.75,71.25,72.5,75.0
5,55.00000000000001,70.0,56.25,47.5
6,62.5,45.0,53.75,56.25
7,56.25,53.75,61.25000000000001,58.75
8,48.75,50.0,51.24999999999999,48.75
9,52.5,57.49999999999999,71.25,72.5
10,51.24999999999999,51.24999999999999,52.5,62.5
11,51.24999999999999,47.5,63.74999999999999,77.5
12,48.75,57.49999999999999,66.25,61.25000000000001
13,53.75,46.25,61.25000000000001,60.0
14,51.24999999999999,51.24999999999999,56.25,48.75
15,70.0,60.0,71.25,58.75
16,60.0,60.0,60.0,48.75
17,60.0,58.75,61.25000000000001,55.00000000000001
18,52.5,53.75,80.0,83.75
