pair,proximity,mode,subject,accuracy_pooled,kappa,f1_macro,sensitivity,specificity,tp,tn,fp,fn,n,accuracy_foldmean
EFE/SAA,adjacent,raw,1,41.1111,-0.1778,40.9288,46.6667,35.5556,21.0,16.0,29.0,24.0,90.0,41.1111
EFE/SAA,adjacent,raw,2,71.25,0.425,71.2095,75.0,67.5,30.0,27.0,13.0,10.0,80.0,71.25
EFE/SAA,adjacent,raw,3,71.25,0.425,71.2455,70.0,72.5,28.0,29.0,11.0,12.0,80.0,71.25
EFE/SAA,adjacent,raw,4,62.5,0.25,62.406,57.5,67.5,23.0,27.0,13.0,17.0,80.0,62.5
EFE/SAA,adjacent,raw,5,46.25,-0.075,46.2416,45.0,47.5,18.0,19.0,21.0,22.0,80.0,46.25
EFE/SAA,adjacent,raw,6,40.0,-0.2,40.0,40.0,40.0,16.0,16.0,24.0,24.0,80.0,40.0
EFE/SAA,adjacent,raw,7,62.5,0.25,62.5,62.5,62.5,25.0,25.0,15.0,15.0,80.0,62.5
EFE/SAA,adjacent,raw,8,38.75,-0.225,37.9649,50.0,27.5,20.0,11.0,29.0,20.0,80.0,38.75
EFE/SAA,adjacent,raw,9,67.5,0.35,67.1717,57.5,77.5,23.0,31.0,9.0,17.0,80.0,67.5
EFE/SAA,adjacent,raw,10,58.75,0.175,58.5882,65.0,52.5,26.0,21.0,19.0,14.0,80.0,58.75
EFE/SAA,adjacent,raw,11,47.5,-0.05,47.3684,52.5,42.5,21.0,17.0,23.0,19.0,80.0,47.5
EFE/SAA,adjacent,raw,12,53.75,0.075,53.5686,60.0,47.5,24.0,19.0,21.0,16.0,80.0,53.75
EFE/SAA,adjacent,raw,13,46.25,-0.075,46.0392,52.5,40.0,21.0,16.0,24.0,19.0,80.0,46.25
EFE/SAA,adjacent,raw,14,58.75,0.175,58.7436,60.0,57.5,24.0,23.0,17.0,16.0,80.0,58.75
EFE/SAA,adjacent,raw,15,47.5,-0.05,47.5,47.5,47.5,19.0,19.0,21.0,21.0,80.0,47.5
EFE/SAA,adjacent,raw,16,43.75,-0.125,43.5294,50.0,37.5,20.0,15.0,25.0,20.0,80.0,43.75
EFE/SAA,adjacent,raw,17,43.75,-0.125,43.7412,42.5,45.0,17.0,18.0,22.0,23.0,80.0,43.75
EFE/SAA,adjacent,raw,18,85.0,0.7,85.0,85.0,85.0,34.0,34.0,6.0,6.0,80.0,85.0
EFE/SAA,adjacent,cwt,1,53.3333,0.0667,52.75,64.4444,42.2222,29.0,19.0,26.0,16.0,90.0,53.3333
EFE/SAA,adjacent,cwt,2,55.0,0.1,54.9719,57.5,52.5,23.0,21.0,19.0,17.0,80.0,55.0
EFE/SAA,adjacent,cwt,3,70.0,0.4,69.9812,72.5,67.5,29.0,27.0,13.0,11.0,80.0,70.0
EFE/SAA,adjacent,cwt,4,65.0,0.3,64.9781,62.5,67.5,25.0,27.0,13.0,15.0,80.0,65.0
EFE/SAA,adjacent,cwt,5,46.25,-0.075,46.0392,40.0,52.5,16.0,21.0,19.0,24.0,80.0,46.25
EFE/SAA,adjacent,cwt,6,52.5,0.05,52.381,57.5,47.5,23.0,19.0,21.0,17.0,80.0,52.5
EFE/SAA,adjacent,cwt,7,66.25,0.325,66.1176,60.0,72.5,24.0,29.0,11.0,16.0,80.0,66.25
EFE/SAA,adjacent,cwt,8,45.0,-0.1,43.734,60.0,30.0,24.0,12.0,28.0,16.0,80.0,45.0
EFE/SAA,adjacent,cwt,9,63.75,0.275,63.699,60.0,67.5,24.0,27.0,13.0,16.0,80.0,63.75
EFE/SAA,adjacent,cwt,10,61.25,0.225,60.7533,50.0,72.5,20.0,29.0,11.0,20.0,80.0,61.25
EFE/SAA,adjacent,cwt,11,62.5,0.25,62.406,57.5,67.5,23.0,27.0,13.0,17.0,80.0,62.5
EFE/SAA,adjacent,cwt,12,50.0,0.0,49.8747,55.0,45.0,22.0,18.0,22.0,18.0,80.0,50.0
EFE/SAA,adjacent,cwt,13,53.75,0.075,53.5686,60.0,47.5,24.0,19.0,21.0,16.0,80.0,53.75
EFE/SAA,adjacent,cwt,14,57.5,0.15,57.4734,55.0,60.0,22.0,24.0,16.0,18.0,80.0,57.5
