pair,subject,window_ms,fold,accuracy,val_accuracy,best_epoch,n_test
SPS/SFE,2,3000,5,75.0,81.25,1,16
SPS/SFE,2,4000,1,68.75,93.75,4,16
SPS/SFE,2,4000,2,87.5,81.25,1,16
SPS/SFE,2,4000,3,81.25,81.25,5,16
SPS/SFE,2,4000,4,62.5,81.25,3,16
SPS/SFE,2,4000,5,75.0,68.75,14,16
SPS/SFE,3,800,1,68.75,87.5,2,16
SPS/SFE,3,800,2,81.25,93.75,6,16
SPS/SFE,3,800,3,93.75,87.5,14,16
SPS/SFE,3,800,4,68.75,100.0,1,16
SPS/SFE,3,800,5,93.75,81.25,9,16
SPS/SFE,3,1500,1,87.5,87.5,1,16
SPS/SFE,3,1500,2,87.5,93.75,16,16
SPS/SFE,3,1500,3,87.5,87.5,4,16
SPS/SFE,3,1500,4,87.5,93.75,1,16
SPS/SFE,3,1500,5,100.0,81.25,4,16
SPS/SFE,3,3000,1,75.0,87.5,13,16
SPS/SFE,3,3000,2,87.5,93.75,5,16
SPS/SFE,3,3000,3,87.5,87.5,5,16
SPS/SFE,3,3000,4,93.75,93.75,8,16
SPS/SFE,3,3000,5,93.75,81.25,2,16
SPS/SFE,3,4000,1,68.75,87.5,20,16
SPS/SFE,3,4000,2,75.0,93.75,8,16
SPS/SFE,3,4000,3,87.5,87.5,3,16
SPS/SFE,3,4000,4,87.5,93.75,3,16
SPS/SFE,3,4000,5,93.75,81.25,1,16
SPS/SFE,4,800,1,68.75,93.75,3,16
SPS/SFE,4,800,2,87.5,93.75,2,16
SPS/SFE,4,800,3,81.25,100.0,2,16
SPS/SFE,4,800,4,93.75,93.75,7,16
SPS/SFE,4,800,5,93.75,100.0,3,16
SPS/SFE,4,1500,1,81.25,100.0,2,16
SPS/SFE,4,1500,2,93.75,100.0,1,16
SPS/SFE,4,1500,3,87.5,100.0,3,16
SPS/SFE,4,1500,4,87.5,93.75,4,16
SPS/SFE,4,1500,5,87.5,93.75,6,16
SPS/SFE,4,3000,1,93.75,87.5,3,16
SPS/SFE,4,3000,2,87.5,100.0,2,16
SPS/SFE,4,3000,3,87.5,93.75,2,16
SPS/SFE,4,3000,4,81.25,100.0,5,16
SPS/SFE,4,3000,5,87.5,100.0,1,16
SPS/SFE,4,4000,1,93.75,100.0,1,16
SPS/SFE,4,4000,2,81.25,100.0,2,16
SPS/SFE,4,4000,3,87.5,100.0,4,16
SPS/SFE,4,4000,4,93.75,100.0,4,16
SPS/SFE,4,4000,5,93.75,100.0,1,16
SPS/SFE,5,800,1,52.94117647058823,75.0,2,17
SPS/SFE,5,800,2,68.75,82.3529411764706,22,16
SPS/SFE,5,800,3,75.0,82.3529411764706,2,16
SPS/SFE,5,800,4,87.5,76.47058823529412,25,16
SPS/SFE,5,800,5,62.5,76.47058823529412,3,16
SPS/SFE,5,1500,1,70.58823529411765,93.75,17,17
SPS/SFE,5,1500,2,93.75,82.3529411764706,17,16
SPS/SFE,5,1500,3,50.0,100.0,6,16
SPS/SFE,5,1500,4,93.75,94.11764705882354,23,16
SPS/SFE,5,1500,5,56.25,70.58823529411765,4,16
SPS/SFE,5,3000,1,88.23529411764706,100.0,8,17
SPS/SFE,5,3000,2,81.25,82.3529411764706,17,16
SPS/SFE,5,3000,3,56.25,94.11764705882354,16,16
SPS/SFE,5,3000,4,56.25,76.47058823529412,5,16
SPS/SFE,5,3000,5,93.75,76.47058823529412,22,16
SPS/SFE,5,4000,1,94.11764705882354,87.5,8,17
SPS/SFE,5,4000,2,93.75,88.23529411764706,6,16
SPS/SFE,5,4000,3,62.5,82.3529411764706,7,16
SPS/SFE,5,4000,4,62.5,94.11764705882354,14,16
SPS/SFE,5,4000,5,62.5,76.47058823529412,7,16
SPS/SFE,6,800,1,68.75,75.0,6,16
SPS/SFE,6,800,2,56.25,75.0,21,16
SPS/SFE,6,800,3,62.5,75.0,9,16
SPS/SFE,6,800,4,50.0,75.0,25,16
SPS/SFE,6,800,5,50.0,81.25,4,16
SPS/SFE,6,1500,1,62.5,81.25,2,16
SPS/SFE,6,1500,2,43.75,75.0,3,16
