mode,pair,proximity,mean,sd,n
cwt,HOC/SPS,distant,67.971,9.615,18
cwt,HOC/SAA,distant,67.4,12.639,18
cwt,WFE/SPS,distant,65.031,10.898,18
cwt,WFE/SAA,distant,65.015,9.429,18
cwt,WAA/SAA,distant,64.321,8.745,18
cwt,WFE/WAA,same,64.074,7.717,18
cwt,HOC/SFE,distant,63.988,12.29,18
cwt,EPS/SPS,adjacent,63.904,9.84,18
cwt,HOC/WAA,adjacent,63.711,12.758,18
cwt,WAA/SFE,distant,63.687,9.961,18
cwt,EPS/SFE,adjacent,63.18,10.625,18
cwt,EFE/SPS,adjacent,62.454,11.764,18
cwt,HOC/EPS,adjacent,61.952,8.456,18
cwt,WAA/SPS,distant,61.767,8.312,18
cwt,HOC/EFE,adjacent,61.543,8.616,18
cwt,EPS/SAA,adjacent,61.003,11.176,18
cwt,SPS/SFE,same,60.981,12.556,18
cwt,WAA/EFE,adjacent,60.949,9.447,18
cwt,EFE/SAA,adjacent,60.895,13.372,18
cwt,HOC/WFE,adjacent,60.455,8.057,18
cwt,SAA/SFE,same,59.042,9.774,18
cwt,WFE/SFE,distant,58.915,13.251,18
cwt,EFE/SFE,adjacent,58.405,10.204,18
cwt,SPS/SAA,same,58.356,10.605,18
cwt,WFE/EFE,adjacent,58.125,9.845,18
cwt,WFE/EPS,adjacent,57.824,9.412,18
cwt,WAA/EPS,adjacent,57.631,9.08,18
cwt,EPS/EFE,same,56.636,6.922,18
raw,HOC/SAA,distant,75.316,11.016,18
raw,HOC/SPS,distant,72.616,10.015,18
raw,EFE/SAA,adjacent,70.81,13.284,18
raw,WFE/SPS,distant,70.556,13.641,18
raw,WFE/SAA,distant,70.432,12.357,18
raw,WAA/SAA,distant,70.347,12.667,18
raw,EFE/SFE,adjacent,69.983,11.42,18
raw,WAA/SPS,distant,69.938,8.844,18
raw,HOC/SFE,distant,69.809,10.461,18
raw,WAA/SFE,distant,69.231,11.637,18
raw,HOC/EFE,adjacent,69.066,8.78,18
raw,EFE/SPS,adjacent,69.028,11.011,18
raw,SPS/SFE,same,68.957,11.599,18
raw,EPS/SFE,adjacent,68.28,12.604,18
raw,WAA/EFE,adjacent,67.832,9.597,18
raw,SPS/SAA,same,67.515,12.115,18
raw,HOC/WAA,adjacent,67.253,5.522,18
raw,WFE/WAA,same,67.122,7.526,18
raw,EPS/SPS,adjacent,67.099,8.632,18
raw,EPS/SAA,adjacent,66.759,13.335,18
raw,WFE/SFE,distant,66.657,13.194,18
raw,WFE/EFE,adjacent,63.472,12.643,18
raw,EPS/EFE,same,63.164,9.545,18
raw,SAA/SFE,same,63.158,11.725,18
raw,HOC/EPS,adjacent,63.125,7.152,18
raw,WFE/EPS,adjacent,62.631,8.18,18
raw,WAA/EPS,adjacent,62.569,9.13,18
raw,HOC/WFE,adjacent,61.103,9.97,18
