mode,subject,mean,sd,n_pairs
cwt,1,54.405,5.127,28
cwt,2,61.027,7.906,28
cwt,3,59.375,6.333,28
cwt,4,69.33,9.094,28
cwt,5,60.315,7.565,28
cwt,6,58.929,6.655,28
cwt,7,66.071,7.011,28
cwt,8,56.027,6.301,28
cwt,9,58.438,11.006,28
cwt,10,62.455,8.717,28
cwt,11,69.955,8.536,28
cwt,12,62.545,6.259,28
cwt,13,56.339,6.804,28
cwt,14,59.241,8.939,28
cwt,15,62.098,11.652,28
cwt,16,60.714,11.644,28
cwt,17,53.482,6.258,28
cwt,18,80.893,11.701,28
raw,1,61.19,6.975,28
raw,2,64.955,9.055,28
raw,3,75.312,7.888,28
raw,4,79.732,10.394,28
raw,5,72.655,9.849,28
raw,6,67.054,6.966,28
raw,7,75.223,9.671,28
raw,8,56.205,6.893,28
raw,9,60.759,4.957,28
raw,10,66.429,12.591,28
raw,11,69.375,7.724,28
raw,12,67.679,7.666,28
raw,13,66.562,7.489,28
raw,14,65.446,9.136,28
raw,15,66.875,8.972,28
raw,16,56.518,8.656,28
raw,17,61.92,6.61,28
raw,18,83.571,8.915,28
