pair,subject,window_ms,fold,accuracy,val_accuracy,n_test
WAA/SAA,18,1500,3,87.5,75.0,16
WAA/SAA,18,1500,4,56.25,81.25,16
WAA/SAA,18,1500,5,68.75,93.75,16
WAA/SAA,18,3000,1,56.25,75.0,16
WAA/SAA,18,3000,2,50.0,81.25,16
WAA/SAA,18,3000,3,50.0,68.75,16
WAA/SAA,18,3000,4,75.0,75.0,16
WAA/SAA,18,3000,5,62.5,81.25,16
WAA/SAA,18,4000,1,68.75,87.5,16
WAA/SAA,18,4000,2,75.0,75.0,16
WAA/SAA,18,4000,3,75.0,68.75,16
WAA/SAA,18,4000,4,68.75,81.25,16
WAA/SAA,18,4000,5,68.75,100.0,16
