subject,800,1500,3000,4000
1,48.888888888888886,63.33333333333333,62.22222222222222,54.44444444444444
2,61.25000000000001,68.75,67.5,62.5
3,67.5,80.0,75.0,73.75
4,86.25,82.5,78.75,80.0
5,80.0,82.5,82.5,81.25
6,66.25,73.75,75.0,70.0
7,67.5,86.25,90.0,86.25
8,48.75,58.75,71.25,58.75
9,56.25,62.5,73.75,62.5
10,81.25,75.0,67.5,71.25
11,66.25,78.75,81.25,77.5
12,67.5,78.75,71.25,76.25
13,65.0,75.0,76.25,80.0
14,72.5,68.75,72.5,71.25
15,75.0,76.25,78.75,75.0
16,81.25,63.74999999999999,68.75,72.5
17,75.0,61.25000000000001,63.74999999999999,65.0
18,77.5,85.0,91.25,88.75
