subject,800,1500,3000,4000
1,57.77777777777777,62.22222222222222,68.88888888888889,65.55555555555556
2,68.75,71.25,68.75,63.74999999999999
3,81.25,86.25,91.25,88.75
4,83.75,81.25,85.0,88.75
5,85.0,86.25,85.0,80.0
6,58.75,48.75,48.75,57.49999999999999
7,83.75,90.0,91.25,93.75
8,52.5,53.75,60.0,63.74999999999999
9,50.0,60.0,75.0,73.75
10,68.75,67.5,70.0,60.0
11,50.0,80.0,78.75,71.25
12,70.0,65.0,67.5,58.75
13,48.75,46.25,41.25,51.24999999999999
14,53.75,61.25000000000001,51.24999999999999,53.75
15,66.25,65.0,47.5,58.75
16,47.5,62.5,53.75,61.25000000000001
17,68.75,68.75,73.75,66.25
18,86.25,92.5,92.5,97.5
