pair,proximity,mode,subject,accuracy_pooled,kappa,f1_macro,sensitivity,specificity,tp,tn,fp,fn,n,accuracy_foldmean
SAA/SFE,same,raw,16,57.5,0.15,57.4734,55.0,60.0,22.0,24.0,16.0,18.0,80.0,57.5
SAA/SFE,same,raw,17,53.75,0.075,53.7428,52.5,55.0,21.0,22.0,18.0,19.0,80.0,53.75
SAA/SFE,same,raw,18,80.0,0.6,79.9499,75.0,85.0,30.0,34.0,6.0,10.0,80.0,80.0
SAA/SFE,same,cwt,1,47.7778,-0.0444,47.7197,51.1111,44.4444,23.0,20.0,25.0,22.0,90.0,47.7778
SAA/SFE,same,cwt,2,37.5,-0.25,36.5079,25.0,50.0,10.0,20.0,20.0,30.0,80.0,37.5
SAA/SFE,same,cwt,3,55.0,0.1,54.8872,50.0,60.0,20.0,24.0,16.0,20.0,80.0,55.0
SAA/SFE,same,cwt,4,51.25,0.025,51.0588,45.0,57.5,18.0,23.0,17.0,22.0,80.0,51.25
SAA/SFE,same,cwt,5,45.679,-0.0859,45.6707,43.9024,47.5,18.0,19.0,21.0,23.0,81.0,45.6618
SAA/SFE,same,cwt,6,56.25,0.125,56.2432,57.5,55.0,23.0,22.0,18.0,17.0,80.0,56.25
SAA/SFE,same,cwt,7,43.75,-0.125,43.7412,45.0,42.5,18.0,17.0,23.0,22.0,80.0,43.75
SAA/SFE,same,cwt,8,47.5,-0.05,47.4672,50.0,45.0,20.0,18.0,22.0,20.0,80.0,47.5
SAA/SFE,same,cwt,9,52.5,0.05,52.0202,42.5,62.5,17.0,25.0,15.0,23.0,80.0,52.5
SAA/SFE,same,cwt,10,61.25,0.225,61.1954,65.0,57.5,26.0,23.0,17.0,14.0,80.0,61.25
SAA/SFE,same,cwt,11,46.25,-0.075,46.1743,50.0,42.5,20.0,17.0,23.0,20.0,80.0,46.25
SAA/SFE,same,cwt,12,51.25,0.025,51.1813,47.5,55.0,19.0,22.0,18.0,21.0,80.0,51.25
SAA/SFE,same,cwt,13,56.25,0.125,56.2432,55.0,57.5,22.0,23.0,17.0,18.0,80.0,56.25
SAA/SFE,same,cwt,14,47.5,-0.05,47.4672,45.0,50.0,18.0,20.0,20.0,22.0,80.0,47.5
SAA/SFE,same,cwt,15,51.25,0.025,50.8739,60.0,42.5,24.0,17.0,23.0,16.0,80.0,51.25
SAA/SFE,same,cwt,16,56.25,0.125,56.1884,60.0,52.5,24.0,21.0,19.0,16.0,80.0,56.25
