pair,proximity,shallow,fine_paper,raw_acc,raw_accM,raw_kappa,raw_f1,raw_sens,raw_spec,raw_sd,cwt_acc,cwt_accM,cwt_kappa,cwt_f1,cwt_sens,cwt_spec,cwt_sd,n_subj,delta,n_better,n_worse,n_tied,cohen_dz,rank_biserial,p,delta_kappa,p_holm,p_fdr
HOC/SPS,distant,65.49,68.51,66.6975,66.6975,0.334,66.4872,66.0494,67.3457,10.86,66.6204,66.6204,0.3324,66.5465,66.8056,66.4352,13.78,18,-0.07716049382716032,12.0,6.0,0.0,-0.009227766368870002,0.0935672514619883,0.7660293579101562,-0.0015,0.7660293579101562,0.7660293579101562
SAA/SFE,same,56.02,53.37,54.3347,54.3305,0.0867,54.187,55.1637,53.5031,8.69,51.0948,51.0939,0.0219,50.9515,50.4174,51.7747,6.78,18,-3.2398834019204377,5.0,12.0,1.0,-0.4326342733342766,-0.5032679738562091,0.06795103180273447,-0.0647,0.13590206360546894,0.13590206360546894
WAA/SAA,distant,60.56,63.06,60.3164,60.3164,0.2063,60.1666,60.108,60.5247,13.72,,,,,,,,18,,,,,,,,,,
