subject,4000
1,60.0
2,53.75
3,86.25
4,68.75
5,50.0
6,62.5
7,80.0
8,45.0
9,61.25000000000001
10,53.75
11,47.5
12,56.25
13,66.25
14,65.0
15,47.5
16,62.5
17,58.75
18,73.75
