pair,subject,window_ms,fold,accuracy,val_accuracy,best_epoch,n_test
WAA/EPS,5,4000,4,62.5,56.25,1,16
WAA/EPS,5,4000,5,56.25,68.75,6,16
WAA/EPS,6,800,1,68.75,75.0,3,16
WAA/EPS,6,800,2,43.75,75.0,3,16
WAA/EPS,6,800,3,68.75,50.0,3,16
WAA/EPS,6,800,4,50.0,56.25,8,16
WAA/EPS,6,800,5,50.0,56.25,2,16
WAA/EPS,6,1500,1,62.5,62.5,2,16
WAA/EPS,6,1500,2,56.25,56.25,1,16
WAA/EPS,6,1500,3,43.75,56.25,17,16
WAA/EPS,6,1500,4,50.0,50.0,1,16
WAA/EPS,6,1500,5,37.5,62.5,4,16
WAA/EPS,6,3000,1,43.75,68.75,9,16
WAA/EPS,6,3000,2,31.25,75.0,12,16
WAA/EPS,6,3000,3,31.25,62.5,9,16
WAA/EPS,6,3000,4,50.0,50.0,1,16
WAA/EPS,6,3000,5,50.0,62.5,2,16
WAA/EPS,6,4000,1,43.75,81.25,23,16
WAA/EPS,6,4000,2,62.5,75.0,3,16
WAA/EPS,6,4000,3,43.75,68.75,41,16
WAA/EPS,6,4000,4,75.0,68.75,4,16
WAA/EPS,6,4000,5,50.0,56.25,1,16
WAA/EPS,7,800,1,75.0,62.5,13,16
WAA/EPS,7,800,2,56.25,56.25,2,16
WAA/EPS,7,800,3,43.75,56.25,1,16
WAA/EPS,7,800,4,62.5,68.75,4,16
WAA/EPS,7,800,5,56.25,75.0,6,16
WAA/EPS,7,1500,1,68.75,81.25,6,16
WAA/EPS,7,1500,2,68.75,87.5,3,16
WAA/EPS,7,1500,3,50.0,68.75,13,16
WAA/EPS,7,1500,4,56.25,56.25,1,16
WAA/EPS,7,1500,5,43.75,75.0,1,16
WAA/EPS,7,3000,1,87.5,68.75,3,16
WAA/EPS,7,3000,2,62.5,81.25,3,16
WAA/EPS,7,3000,3,62.5,87.5,7,16
WAA/EPS,7,3000,4,62.5,100.0,25,16
WAA/EPS,7,3000,5,75.0,56.25,10,16
WAA/EPS,7,4000,1,75.0,75.0,11,16
WAA/EPS,7,4000,2,50.0,75.0,10,16
WAA/EPS,7,4000,3,56.25,68.75,3,16
WAA/EPS,7,4000,4,50.0,75.0,5,16
WAA/EPS,7,4000,5,62.5,75.0,2,16
WAA/EPS,8,800,1,50.0,62.5,23,16
WAA/EPS,8,800,2,56.25,68.75,4,16
WAA/EPS,8,800,3,37.5,50.0,2,16
WAA/EPS,8,800,4,50.0,56.25,2,16
WAA/EPS,8,800,5,50.0,62.5,3,16
WAA/EPS,8,1500,1,56.25,56.25,1,16
WAA/EPS,8,1500,2,43.75,68.75,18,16
WAA/EPS,8,1500,3,62.5,62.5,1,16
WAA/EPS,8,1500,4,50.0,56.25,1,16
WAA/EPS,8,1500,5,50.0,68.75,2,16
WAA/EPS,8,3000,1,43.75,56.25,4,16
WAA/EPS,8,3000,2,43.75,56.25,6,16
WAA/EPS,8,3000,3,62.5,68.75,1,16
WAA/EPS,8,3000,4,43.75,68.75,5,16
WAA/EPS,8,3000,5,43.75,68.75,19,16
WAA/EPS,8,4000,1,43.75,68.75,11,16
WAA/EPS,8,4000,2,43.75,56.25,3,16
WAA/EPS,8,4000,3,56.25,75.0,11,16
WAA/EPS,8,4000,4,56.25,62.5,6,16
WAA/EPS,8,4000,5,31.25,56.25,5,16
WAA/EPS,9,800,1,37.5,87.5,5,16
WAA/EPS,9,800,2,50.0,56.25,7,16
WAA/EPS,9,800,3,50.0,50.0,1,16
WAA/EPS,9,800,4,37.5,50.0,13,16
WAA/EPS,9,800,5,50.0,68.75,12,16
WAA/EPS,9,1500,1,62.5,75.0,21,16
WAA/EPS,9,1500,2,56.25,75.0,8,16
WAA/EPS,9,1500,3,50.0,56.25,3,16
WAA/EPS,9,1500,4,68.75,56.25,1,16
WAA/EPS,9,1500,5,43.75,68.75,1,16
WAA/EPS,9,3000,1,62.5,75.0,1,16
WAA/EPS,9,3000,2,50.0,68.75,6,16
WAA/EPS,9,3000,3,31.25,50.0,2,16
WAA/EPS,9,3000,4,75.0,56.25,7,16
WAA/EPS,9,3000,5,37.5,62.5,3,16
WAA/EPS,9,4000,1,56.25,68.75,3,16
WAA/EPS,9,4000,2,68.75,75.0,16,16
WAA/EPS,9,4000,3,50.0,56.25,1,16
WAA/EPS,9,4000,4,56.25,68.75,1,16
WAA/EPS,9,4000,5,37.5,62.5,10,16
WAA/EPS,10,800,1,50.0,56.25,1,16
WAA/EPS,10,800,2,50.0,50.0,11,16
WAA/EPS,10,800,3,62.5,68.75,4,16
