pair,subject,window_ms,fold,accuracy,val_accuracy,n_test
HOC/EFE,1,800,1,66.66666666666667,66.66666666666667,18
HOC/EFE,1,800,2,66.66666666666667,55.55555555555556,18
HOC/EFE,1,800,3,44.44444444444444,66.66666666666667,18
HOC/EFE,1,800,4,44.44444444444444,66.66666666666667,18
HOC/EFE,1,800,5,72.22222222222223,61.111111111111114,18
HOC/EFE,1,1500,1,61.111111111111114,66.66666666666667,18
HOC/EFE,1,1500,2,61.111111111111114,77.77777777777777,18
HOC/EFE,1,1500,3,72.22222222222223,61.111111111111114,18
HOC/EFE,1,1500,4,55.55555555555556,72.22222222222223,18
HOC/EFE,1,1500,5,66.66666666666667,55.55555555555556,18
HOC/EFE,1,3000,1,55.55555555555556,72.22222222222223,18
HOC/EFE,1,3000,2,38.888888888888886,72.22222222222223,18
HOC/EFE,1,3000,3,61.111111111111114,66.66666666666667,18
HOC/EFE,1,3000,4,55.55555555555556,72.22222222222223,18
HOC/EFE,1,3000,5,83.33333333333333,55.55555555555556,18
HOC/EFE,1,4000,1,61.111111111111114,61.111111111111114,18
HOC/EFE,1,4000,2,55.55555555555556,77.77777777777777,18
HOC/EFE,1,4000,3,38.888888888888886,61.111111111111114,18
HOC/EFE,1,4000,4,50.0,77.77777777777777,18
HOC/EFE,1,4000,5,55.55555555555556,55.55555555555556,18
HOC/EFE,2,800,1,62.5,93.75,16
HOC/EFE,2,800,2,56.25,62.5,16
HOC/EFE,2,800,3,50.0,68.75,16
HOC/EFE,2,800,4,43.75,75.0,16
HOC/EFE,2,800,5,37.5,62.5,16
HOC/EFE,2,1500,1,56.25,93.75,16
HOC/EFE,2,1500,2,68.75,62.5,16
HOC/EFE,2,1500,3,87.5,87.5,16
HOC/EFE,2,1500,4,62.5,75.0,16
HOC/EFE,2,1500,5,50.0,68.75,16
HOC/EFE,2,3000,1,75.0,68.75,16
HOC/EFE,2,3000,2,81.25,75.0,16
HOC/EFE,2,3000,3,93.75,81.25,16
HOC/EFE,2,3000,4,68.75,81.25,16
HOC/EFE,2,3000,5,37.5,75.0,16
HOC/EFE,2,4000,1,68.75,100.0,16
HOC/EFE,2,4000,2,93.75,68.75,16
HOC/EFE,2,4000,3,75.0,81.25,16
HOC/EFE,2,4000,4,81.25,87.5,16
HOC/EFE,2,4000,5,43.75,75.0,16
HOC/EFE,3,800,1,62.5,75.0,16
HOC/EFE,3,800,2,56.25,87.5,16
HOC/EFE,3,800,3,68.75,75.0,16
HOC/EFE,3,800,4,75.0,62.5,16
HOC/EFE,3,800,5,62.5,56.25,16
HOC/EFE,3,1500,1,87.5,68.75,16
HOC/EFE,3,1500,2,75.0,100.0,16
HOC/EFE,3,1500,3,87.5,81.25,16
HOC/EFE,3,1500,4,50.0,68.75,16
HOC/EFE,3,1500,5,81.25,68.75,16
HOC/EFE,3,3000,1,93.75,81.25,16
HOC/EFE,3,3000,2,75.0,75.0,16
HOC/EFE,3,3000,3,75.0,75.0,16
