pair,model,800,avg
HOC_WFE,fine,,
HOC_WFE,conformer_a,,
HOC_WFE,conformer_b,,
HOC_WAA,fine,,
HOC_WAA,conformer_a,,
HOC_WAA,conformer_b,,
HOC_EPS,fine,,
HOC_EPS,conformer_a,,
HOC_EPS,conformer_b,,
HOC_EFE,fine,,
HOC_EFE,conformer_a,,
HOC_EFE,conformer_b,,
HOC_SPS,fine,,
HOC_SPS,conformer_a,,
HOC_SPS,conformer_b,,
HOC_SAA,fine,,
HOC_SAA,conformer_a,,
HOC_SAA,conformer_b,,
HOC_SFE,fine,,
HOC_SFE,conformer_a,,
HOC_SFE,conformer_b,,
WFE_WAA,fine,,
WFE_WAA,conformer_a,,
WFE_WAA,conformer_b,,
WFE_EPS,fine,,
WFE_EPS,conformer_a,,
WFE_EPS,conformer_b,,
WFE_EFE,fine,,
WFE_EFE,conformer_a,,
WFE_EFE,conformer_b,,
WFE_SPS,fine,,
WFE_SPS,conformer_a,,
WFE_SPS,conformer_b,,
WFE_SAA,fine,,
WFE_SAA,conformer_a,,
WFE_SAA,conformer_b,,
WFE_SFE,fine,,
WFE_SFE,conformer_a,,
WFE_SFE,conformer_b,,
WAA_EPS,fine,,
WAA_EPS,conformer_a,,
WAA_EPS,conformer_b,,
WAA_EFE,fine,,
WAA_EFE,conformer_a,,
WAA_EFE,conformer_b,,
WAA_SPS,fine,,
WAA_SPS,conformer_a,,
WAA_SPS,conformer_b,,
WAA_SAA,fine,,
WAA_SAA,conformer_a,,
WAA_SAA,conformer_b,,
WAA_SFE,fine,,
WAA_SFE,conformer_a,,
WAA_SFE,conformer_b,,
EPS_EFE,fine,,
EPS_EFE,conformer_a,,
EPS_EFE,conformer_b,,
EPS_SPS,fine,,
EPS_SPS,conformer_a,,
EPS_SPS,conformer_b,,
EPS_SAA,fine,,
EPS_SAA,conformer_a,,
EPS_SAA,conformer_b,,
EPS_SFE,fine,,
EPS_SFE,conformer_a,,
EPS_SFE,conformer_b,,
EFE_SPS,fine,,
EFE_SPS,conformer_a,,
EFE_SPS,conformer_b,,
EFE_SAA,fine,,
EFE_SAA,conformer_a,,
EFE_SAA,conformer_b,,
EFE_SFE,fine,,
EFE_SFE,conformer_a,,
EFE_SFE,conformer_b,,
SPS_SAA,fine,,
SPS_SAA,conformer_a,,
SPS_SAA,conformer_b,,
SPS_SFE,fine,,
SPS_SFE,conformer_a,,
SPS_SFE,conformer_b,,
SAA_SFE,fine,,
SAA_SFE,conformer_a,,
SAA_SFE,conformer_b,,
