subject,800,1500,3000,4000
1,63.33333333333333,67.77777777777779,64.44444444444444,56.666666666666664
2,56.25,50.0,66.25,60.0
3,70.0,82.5,75.0,77.5
4,61.25000000000001,73.75,73.75,77.5
5,67.90123456790124,81.48148148148148,76.5432098765432,72.8395061728395
6,62.5,58.75,65.0,62.5
7,67.5,75.0,76.25,81.25
8,53.75,42.5,41.25,47.5
9,45.0,46.25,52.5,47.5
10,67.5,68.75,63.74999999999999,53.75
11,53.75,61.25000000000001,63.74999999999999,78.75
12,65.0,58.75,66.25,63.74999999999999
13,61.25000000000001,67.5,60.0,56.25
14,68.75,75.0,70.0,66.25
15,58.75,57.49999999999999,60.0,62.5
16,52.5,55.00000000000001,52.5,50.0
17,56.25,60.0,52.5,55.00000000000001
18,68.75,65.0,88.75,85.0
