grouping,group,n_pairs,paper_fine,shallow,raw_acc,fbc_acc,cwt_acc,fbc_delta,fbc_ci_lo,fbc_ci_hi,fbc_p,fbc_better,fbc_worse,cwt_delta,cwt_p
proximity,adjacent,14,59.02428571428572,57.201428571428586,56.81884430727023,55.73945473251029,56.80629041740153,-1.079389574759946,-2.3625086306974654,0.2037294811775734,0.1083831787109375,7,11,-0.012553889868705821,0.48587269798138955
proximity,distant,9,64.67,61.27666666666667,62.29833485749124,60.816186556927306,62.665180612711474,-1.4821483005639386,-3.357575238429574,0.39327863730169677,0.0987396240234375,4,14,0.36684575522023977,0.7337265014648438
proximity,same,5,56.474000000000004,56.824,55.8235596707819,54.90603566529492,53.52314814814815,-0.9175240054869688,-2.7041182786098705,0.8690702676359329,0.21782018666469594,6,11,-2.3004115226337456,0.04977876913786408
joints,elbow-elbow,1,56.3,53.89,54.34413580246914,54.891975308641975,55.18518518518518,0.5478395061728413,-3.9557332755086962,5.051412287854379,0.8766194330592358,7,9,0.8410493827160508,0.8445556975894672
joints,elbow-shoulder,6,60.425000000000004,57.93666666666667,57.14134659350709,57.44041495198902,58.85845336076818,0.29906835848194013,-1.391520371814686,1.9896570887785665,0.42083506994660747,12,5,1.7171067672610891,0.12739804434044583
joints,hand-elbow,2,60.099999999999994,58.75,58.518518518518526,56.269290123456784,58.19444444444444,-2.2492283950617282,-4.448297637193173,-0.050159152930282946,0.03712953931065863,4,13,-0.3240740740740742,0.8125616304753442
joints,hand-shoulder,3,67.17666666666668,63.99666666666667,64.61534064929127,63.24216963877458,65.75360082304526,-1.373171010516689,-4.260966514651541,1.5146244936181623,0.36829265902215547,6,11,1.1382601737540021,0.42037138365434634
joints,hand-wrist,2,58.364999999999995,56.39,57.214506172839506,55.293209876543216,54.73765432098766,-1.9212962962962967,-3.8525090193713707,0.009916426778777243,0.07362112764308845,7,11,-2.4768518518518525,0.10229007293515079
joints,shoulder-shoulder,3,55.31666666666666,57.78333333333333,55.04286694101509,53.91746684956561,52.505144032921805,-1.1254000914494742,-2.98757032920985,0.7367701463109015,0.08803693036368612,5,12,-2.537722908093279,0.06110393445619786
joints,wrist-elbow,4,56.715,55.730000000000004,55.28742283950617,53.14621913580247,54.06828703703704,-2.141203703703704,-4.408932163998301,0.12652475659089335,0.06718756852256365,6,12,-1.219135802469136,0.3314927684773721
joints,wrist-shoulder,6,63.416666666666664,59.916666666666664,61.13983196159123,59.60319501600366,61.120970507544584,-1.536636945587562,-3.5768168543531997,0.5035429631780757,0.03855667750566695,4,14,-0.018861454046638845,0.9433920568226559
joints,wrist-wrist,1,60.12,56.88,59.64506172839506,57.8858024691358,54.91512345679012,-1.759259259259261,-5.078743996327946,1.5602254778094238,0.29685887231076447,7,10,-4.729938271604939,0.01680670515318503
