subject,raw_acc,fbc_acc,cwt_acc,fbc_delta,fbc_pairs_better,fbc_pairs_worse,p_wilcoxon_28pairs,cwt_delta
1,57.6984126984127,56.70634920634921,59.44444444444444,-0.9920634920634939,11,12,0.24144521449808176,1.7460317460317398
2,56.42857142857143,49.50892857142857,48.169642857142854,-6.919642857142861,3,22,0.0001634453124794264,-8.258928571428577
3,67.67857142857143,66.02678571428571,64.15178571428571,-1.6517857142857224,10,16,0.2269298633525091,-3.5267857142857224
4,70.89285714285714,68.125,70.98214285714286,-2.767857142857139,9,19,0.024026044486411824,0.0892857142857224
5,51.535493827160494,54.101080246913575,57.30654761904761,2.5655864197530818,16,10,0.18213802584848926,5.77105379188712
6,57.67857142857143,56.785714285714285,60.44642857142857,-0.8928571428571459,9,18,0.1702022638084686,2.767857142857139
7,65.13392857142857,61.517857142857146,58.30357142857143,-3.6160714285714235,10,18,0.008802063445126667,-6.830357142857139
8,53.660714285714285,51.607142857142854,50.13392857142857,-2.0535714285714306,12,15,0.19823680174432634,-3.5267857142857153
9,56.25,57.901785714285715,60.044642857142854,1.6517857142857153,15,10,0.1315154958175319,3.794642857142854
10,58.660714285714285,58.973214285714285,61.69642857142857,0.3125,15,11,0.7505331069795719,3.0357142857142847
11,55.892857142857146,53.57142857142857,53.392857142857146,-2.3214285714285765,9,16,0.05774558754748661,-2.5
12,55.44642857142857,52.63392857142857,52.723214285714285,-2.8125,8,19,0.011564007295770475,-2.7232142857142847
13,54.330357142857146,57.857142857142854,58.080357142857146,3.526785714285708,17,10,0.023071503487205807,3.75
14,56.07142857142857,53.482142857142854,57.8125,-2.5892857142857153,11,16,0.08347642529236435,1.7410714285714306
15,50.669642857142854,51.785714285714285,51.919642857142854,1.1160714285714306,16,10,0.45322023316361315,1.25
16,58.080357142857146,56.42857142857143,57.276785714285715,-1.6517857142857153,9,16,0.1866375681327529,-0.8035714285714306
17,56.5625,56.11607142857143,56.830357142857146,-0.4464285714285694,13,12,0.6086860400670787,0.2678571428571459
18,68.57142857142857,66.875,67.14285714285714,-1.6964285714285694,11,15,0.19912510193033894,-1.4285714285714306
