pair,proximity,joints,paper_fine,shallow,raw_acc,raw_sd,raw_kappa,raw_above_chance,raw_bias,fbc_acc,fbc_sd,fbc_kappa,fbc_above_chance,fbc_bias,cwt_acc,cwt_sd,cwt_kappa,cwt_above_chance,cwt_bias,fbc_delta,fbc_ci_lo,fbc_ci_hi,fbc_sd_delta,fbc_dz,fbc_rank_biserial,fbc_better,fbc_worse,fbc_tied,fbc_p_wilcoxon,fbc_p_ttest,fbc_n,fbc_dkappa,cwt_delta,cwt_p_wilcoxon,cwt_better,cwt_worse,fbc_vs_cwt,fbc_vs_cwt_p,fbc_p_holm,fbc_p_fdr,cwt_p_holm,cwt_p_fdr
HOC/SPS,distant,hand-shoulder,68.51,65.49,64.22839506172839,11.035714598143647,0.284567901234568,14,5.262345679012345,65.45524691358024,11.366629526102635,0.3091049382716049,13,5.27006172839506,67.19135802469135,12.911487431971695,0.34382716049382717,13,4.074074074074073,1.2268518518518488,-2.6952137975972112,5.148917501300909,7.886905128927875,0.15555554831665938,0.21568627450980393,12,5,1,0.434563064772572,0.5181179240887384,18,0.024537037037036986,2.9629629629629615,0.15545019128394752,12,5,-1.7361111111111127,0.25579673434459327,1.0,0.7373007118838126,1.0,0.48362281732783674
HOC/SAA,distant,hand-shoulder,67.85,63.13,65.97993827160494,11.087953013490425,0.3195987654320988,13,5.192901234567901,62.09104938271605,14.015474788503019,0.241820987654321,9,6.5663580246913575,64.7145061728395,12.646066716935453,0.2942901234567901,12,3.6496913580246897,-3.8888888888888906,-7.983914095319987,0.20613631754220618,8.234710530209298,-0.4722556882385091,-0.525,5,10,3,0.07348580905179351,0.061316005198770625,18,-0.07777777777777782,-1.2654320987654333,0.6788622187926112,8,8,-2.623456790123457,0.08782949103829503,1.0,0.49339937737730705,1.0,0.8845829175187285
HOC/SFE,distant,hand-shoulder,65.17,63.37,63.637688614540465,11.377828897814368,0.2727083545248024,12,6.528635116598078,62.18021262002743,12.166120939219015,0.24354395604395604,10,5.162037037037036,65.35493827160494,13.534215079200349,0.30704974471518964,11,4.041495198902606,-1.4574759945130316,-5.470437807693321,2.5554858186672575,8.069688764901025,-0.1806111780732237,-0.1830065359477124,5,12,1,0.5070845279461902,0.4540261610633227,18,-0.029164398480846447,1.7172496570644722,0.4991472413605187,10,8,-3.174725651577504,0.08803693036368612,1.0,0.7373007118838126,1.0,0.8369913123430093
WFE/SAA,distant,wrist-shoulder,65.01,59.44,60.52469135802468,11.0124866776668,0.21049382716049383,9,4.413580246913581,58.49537037037036,9.272053388422828,0.16990740740740737,7,4.7145061728395055,61.30401234567901,7.651747776089281,0.22608024691358025,11,4.436728395061729,-2.029320987654324,-5.00939002917117,0.9507480538625219,5.992638550402636,-0.33863563947436426,-0.39215686274509803,8,9,1,0.15533435641836257,0.16894986363263775,18,-0.04058641975308646,0.7793209876543207,0.6312928171533616,11,7,-2.8086419753086442,0.09770322810627868,1.0,0.543670247464269,1.0,0.8838099440147061
WAA/SPS,distant,wrist-shoulder,63.85,59.72,61.63580246913581,8.869023394393873,0.232716049382716,11,4.845679012345679,59.907407407407405,9.096832426913261,0.19814814814814813,8,5.694444444444445,60.14660493827161,10.28787176801938,0.20293209876543214,8,4.128086419753085,-1.7283950617283945,-5.747282190422958,2.290492066966168,8.08160401709131,-0.21386782352526965,-0.22807017543859648,8,10,0,0.39564020702970115,0.37689706449485694,18,-0.0345679012345679,-1.4891975308641952,0.42070483355320465,7,10,-0.2391975308641992,0.793787829705156,1.0,0.7373007118838126,1.0,0.7853156892993153
WAA/SFE,distant,wrist-shoulder,63.57,56.83,61.71039094650205,11.139108610449695,0.23409343725725318,9,4.049211248285322,60.08659122085047,10.382208045564106,0.20168933682945478,10,5.803326474622771,62.372256515775035,10.22179579903083,0.2473997125494939,10,3.966906721536352,-1.6237997256515782,-5.944127021954041,2.6965275706508853,8.68777184202448,-0.18690635011809772,-0.1830065359477124,6,11,1,0.5073227849121422,0.43871920712009743,18,-0.0324041004277984,0.6618655692729772,0.7223389919650491,9,8,-2.2856652949245553,0.20474902808555373,1.0,0.7373007118838126,1.0,0.8845829175187285
WFE/SPS,distant,wrist-shoulder,63.35,61.81,61.504629629629626,9.27535705768609,0.23009259259259263,10,4.00462962962963,59.93827160493827,8.801039312943505,0.19876543209876546,9,5.200617283950617,61.388888888888886,7.996884605813243,0.22777777777777775,10,4.33641975308642,-1.5663580246913575,-5.306298993663759,2.1735829442810446,7.520669526329668,-0.2082737473316144,-0.18128654970760233,9,9,0,0.49889209485864205,0.38922130796012694,18,-0.03132716049382716,-0.11574074074074285,0.743744252337134,9,9,-1.4506172839506146,0.5851554768702436,1.0,0.7373007118838126,1.0,0.8845829175187285
WAA/SAA,distant,wrist-shoulder,63.06,60.56,60.941358024691354,14.420272286056262,0.2188271604938271,8,4.969135802469136,61.04938271604939,12.529759620190497,0.22098765432098763,9,4.490740740740741,63.418209876543216,12.866375396812051,0.26836419753086427,11,4.807098765432097,0.10802469135802618,-3.477524268130109,3.6935736508461616,7.210201716685024,0.014982200998350407,-0.15,6,9,3,0.6090184166329973,0.9500587542340777,18,0.0021604938271604984,2.4768518518518547,0.2973336035363796,9,8,-2.3688271604938285,0.23424278076207183,1.0,0.7582575381209186,1.0,0.6937784082515525
EPS/SAA,adjacent,elbow-shoulder,62.95,55.69,60.42438271604939,12.447372166532766,0.20848765432098765,9,4.390432098765432,61.041666666666664,11.231602604206737,0.22083333333333333,10,6.736111111111111,60.17746913580246,12.430982808916523,0.2035493827160494,9,3.927469135802469,0.6172839506172837,-3.101394207361129,4.335962108595696,7.47791201330653,0.08254763489044283,0.13970588235294118,9,7,2,0.6228544063136117,0.7304753230256391,18,0.012345679012345671,-0.24691358024691468,0.8276024022312981,11,7,0.8641975308641984,0.8273402497477069,1.0,0.7582575381209186,1.0,0.9095215204809648
EPS/SPS,adjacent,elbow-shoulder,62.25,59.24,57.99382716049383,7.839423972716197,0.15987654320987651,8,4.290123456790123,58.90432098765432,8.876866983872551,0.17808641975308642,6,4.413580246913579,59.39043209876544,9.681888662169719,0.18780864197530864,8,4.483024691358025,0.9104938271604941,-2.8646520724660682,4.685639726787056,7.591463330655419,0.11993653759529989,0.2087912087912088,7,6,5,0.5067455281526702,0.617399445833182,18,0.018209876543209894,1.3966049382716053,0.5179765383890086,8,8,-0.4861111111111111,0.864569301686742,1.0,0.7373007118838126,1.0,0.8369913123430093
