pair,proximity,joints,paper_fine,shallow,raw_acc,raw_sd,raw_kappa,raw_above_chance,raw_bias,fbc_acc,fbc_sd,fbc_kappa,fbc_above_chance,fbc_bias,cwt_acc,cwt_sd,cwt_kappa,cwt_above_chance,cwt_bias,fbc_delta,fbc_ci_lo,fbc_ci_hi,fbc_sd_delta,fbc_dz,fbc_rank_biserial,fbc_better,fbc_worse,fbc_tied,fbc_p_wilcoxon,fbc_p_ttest,fbc_n,fbc_dkappa,cwt_delta,cwt_p_wilcoxon,cwt_better,cwt_worse,fbc_vs_cwt,fbc_vs_cwt_p,fbc_p_holm,fbc_p_fdr,cwt_p_holm,cwt_p_fdr
HOC/EFE,adjacent,hand-elbow,62.23,61.18,59.922839506172835,8.29679109752297,0.19845679012345677,5,5.817901234567902,57.56172839506173,9.148107353511753,0.1512345679012346,8,5.663580246913579,59.84567901234568,7.92503125486222,0.19691358024691358,10,5.030864197530864,-2.3611111111111107,-5.6565007163389005,0.9342784941166795,6.626718546370478,-0.3563017041676405,-0.37254901960784315,6,11,1,0.1770504681159183,0.14898627371515602,18,-0.047222222222222214,-0.07716049382716111,0.9319011847466548,7,8,-2.2839506172839497,0.0785308913995946,1.0,0.5508236785828569,1.0,0.9664160434409753
EPS/SFE,adjacent,elbow-shoulder,61.68,58.97,58.099279835390945,9.55966223205603,0.16197681421258656,8,4.270404663923183,57.94410150891632,10.179746126393269,0.15884855264049896,9,6.483196159122084,61.29372427983539,7.604845449292764,0.225853777687416,9,3.7525720164609044,-0.1551783264746227,-3.0119570090700787,2.7016003561208333,5.744713234756514,-0.02701237122434012,-0.08496732026143791,8,9,1,0.7577859406658685,0.910101886354774,18,-0.0031282615720876206,3.1944444444444446,0.0683378663632811,12,5,-3.3496227709190673,0.04988735408833504,1.0,0.8515816548380244,1.0,0.48362281732783674
WFE/SFE,distant,wrist-shoulder,61.66,61.14,60.522119341563794,9.100141594965617,0.2104492852600645,8,3.3444787379972554,58.14214677640603,8.264256758963906,0.16284899778372297,7,4.671639231824416,58.09585048010974,8.513675927719708,0.16187725502602462,4,5.673010973936901,-2.3799725651577504,-5.236799855007574,0.47685472469207335,5.7448109793732645,-0.4142821362970929,-0.45588235294117646,6,10,2,0.10882257513758345,0.09679816478403223,18,-0.04760028747634152,-2.426268861454046,0.11458658217829601,7,9,0.04629629629629603,0.9433445071736766,1.0,0.49339937737730705,1.0,0.48362281732783674
HOC/WAA,adjacent,hand-wrist,60.32,56.88,58.71913580246913,4.121915330534134,0.17438271604938269,8,5.586419753086419,57.07561728395061,6.6355264378251535,0.14151234567901233,5,5.47067901234568,56.78240740740741,8.468035770542288,0.13564814814814818,8,4.498456790123457,-1.6435185185185175,-4.369755291791336,1.0827182547543004,5.482205733302178,-0.29979147052705607,-0.28104575163398693,5,12,1,0.30783716917886417,0.22053077582359132,18,-0.032870370370370355,-1.9367283950617273,0.3829595503103569,7,11,0.2932098765432099,0.8763934510755825,1.0,0.7182867280840165,1.0,0.7659191006207138
WFE/WAA,same,wrist-wrist,60.12,56.88,59.64506172839506,6.267173613461403,0.19290123456790126,11,4.089506172839506,57.8858024691358,4.247194478432331,0.15771604938271605,5,6.018518518518519,54.91512345679012,5.161502727410631,0.09830246913580247,5,4.822530864197532,-1.759259259259261,-5.078743996327946,1.5602254778094238,6.675171590221195,-0.26355266459913795,-0.2875816993464052,7,10,1,0.29685887231076447,0.2790516195007725,18,-0.035185185185185236,-4.729938271604939,0.01680670515318503,3,14,2.9706790123456774,0.0368905911686181,1.0,0.7182867280840165,0.4705877442891808,0.4705877442891808
WAA/EFE,adjacent,wrist-elbow,59.12,57.85,57.92438271604939,8.828105111814567,0.15848765432098763,7,4.359567901234568,55.97993827160494,7.689961800092882,0.11959876543209876,8,6.813271604938271,58.47993827160494,7.627289503265647,0.16959876543209879,7,4.899691358024689,-1.9444444444444438,-5.377216031492653,1.4883271426037648,6.902980790270944,-0.28168185650826993,-0.33088235294117646,6,10,2,0.24401662914499145,0.24846418714115517,18,-0.038888888888888876,0.5555555555555551,0.7582139293017673,8,9,-2.4999999999999987,0.18477009009926826,1.0,0.6832465616059761,1.0,0.8845829175187285
EFE/SPS,adjacent,elbow-shoulder,58.83,58.61,57.546296296296305,7.652172051754892,0.15092592592592594,8,5.246913580246913,56.373456790123456,7.9449084730233865,0.12746913580246916,7,3.7962962962962954,58.3641975308642,8.082212424185114,0.16728395061728396,8,6.111111111111111,-1.17283950617284,-4.954446656439637,2.6087676440939562,7.604456297976328,-0.15423055379842898,-0.17647058823529413,8,8,2,0.5345151908359941,0.5216445166223285,18,-0.02345679012345678,0.8179012345679008,0.5380658436490774,10,7,-1.990740740740741,0.2457397353851568,1.0,0.7373007118838126,1.0,0.8369913123430093
EFE/SAA,adjacent,elbow-shoulder,58.73,56.88,54.78395061728395,13.1203390436017,0.09567901234567903,6,3.919753086419754,54.976851851851855,10.254594281845469,0.09953703703703703,8,6.4429012345679,56.99074074074075,8.112963124583825,0.1398148148148148,7,5.617283950617285,0.1929012345679016,-3.8404770753188218,4.226279544454625,8.11074441949246,0.02378341920185578,0.005847953216374269,9,9,0,0.9826128635682713,0.9208067874642049,18,0.003858024691358005,2.2067901234567904,0.20107774648957155,11,6,-2.013888888888889,0.1545226206284662,1.0,0.9826128635682713,1.0,0.5630176901708003
EFE/SFE,adjacent,elbow-shoulder,58.11,58.23,54.000342935528124,10.548741833379632,0.07999849442938874,4,5.11145404663923,55.40209190672154,9.06408073691331,0.10808277319138056,5,5.510116598079559,56.93415637860082,8.427415468956813,0.1388001156117098,6,5.289780521262005,1.4017489711934152,-1.6656019492359098,4.46909989162274,6.168154199548894,0.22725582497531135,0.2046783625730994,11,7,0,0.4453336014204209,0.3484792684013259,18,0.028084278761991828,2.933813443072701,0.11649083501471726,12,6,-1.5320644718792857,0.3631975561888513,1.0,0.7373007118838126,1.0,0.48362281732783674
HOC/EPS,adjacent,hand-elbow,57.97,56.32,57.11419753086419,9.169087068495545,0.14228395061728394,6,6.651234567901233,54.976851851851855,8.44952359504943,0.09953703703703703,5,5.856481481481481,56.543209876543216,8.244335339983188,0.1308641975308642,7,4.845679012345679,-2.1373456790123453,-5.431895482062602,1.1572041240379112,6.62502978317953,-0.3226167653523477,-0.42483660130718953,7,10,1,0.12334984434432678,0.18889466893209148,18,-0.04274691358024693,-0.5709876543209881,0.5869195689340561,8,8,-1.566358024691357,0.4771038509979071,1.0,0.49339937737730705,1.0,0.8649341015870299
WFE/EFE,adjacent,wrist-elbow,57.38,56.6,55.47067901234568,7.272190592349603,0.10941358024691358,4,4.82253086419753,52.901234567901234,6.4753121899811195,0.05802469135802468,4,7.253086419753085,55.66358024691358,6.894189986040755,0.1132716049382716,6,5.432098765432098,-2.5694444444444446,-5.441639107796965,0.30275021890807485,5.7757133221001355,-0.44487049497639475,-0.5,5,10,3,0.08820990260785352,0.07629731153098245,18,-0.051388888888888894,0.1929012345679016,1.0,9,7,-2.762345679012346,0.04765994367017208,1.0,0.49339937737730705,1.0,1.0
SPS/SFE,same,shoulder-shoulder,57.08,59.97,55.597565157750346,9.476562000263453,0.11177511609468797,6,6.4377572016460896,55.10888203017833,7.9350519529824,0.10209240410894355,5,5.955932784636488,54.04406721536351,8.63795014710047,0.08087548931044865,5,2.4494170096021946,-0.4886831275720177,-2.91042164883125,1.9330553936872144,4.869888388259044,-0.10034791120679441,-0.16339869281045752,7,10,1,0.5529755339128595,0.6756383506098151,18,-0.009682711985744429,-1.5534979423868327,0.368091226311409,7,10,1.064814814814815,0.23630133663515873,1.0,0.7373007118838126,1.0,0.7659191006207138
HOC/WFE,adjacent,hand-wrist,56.41,55.9,55.70987654320988,6.619160957222329,0.11419753086419754,5,5.3086419753086425,53.510802469135804,6.006571223729113,0.07021604938271603,4,7.152777777777778,52.6929012345679,7.09096072883893,0.053858024691358,4,5.347222222222222,-2.199074074074076,-4.714603331187398,0.31645518303924547,5.058492736520642,-0.4347291156904288,-0.5032679738562091,7,10,1,0.06814442688922388,0.08262318761470225,18,-0.04398148148148152,-3.0169753086419777,0.12382392497934135,6,11,0.8179012345679012,0.7582139293017673,1.0,0.49339937737730705,1.0,0.48362281732783674
EPS/EFE,same,elbow-elbow,56.3,53.89,54.34413580246914,8.004657429725253,0.0868827160493827,5,4.760802469135801,54.891975308641975,6.947639061857616,0.0978395061728395,5,7.546296296296295,55.18518518518518,7.148949575220731,0.10370370370370369,6,4.19753086419753,0.5478395061728413,-3.9557332755086962,5.051412287854379,9.056261277863502,0.06049289981418074,0.04411764705882353,7,9,2,0.8766194330592358,0.8005294957426475,18,0.010956790123456807,0.8410493827160508,0.8445556975894672,8,10,-0.2932098765432095,0.930542166320817,1.0,0.9090868194688371,1.0,0.9095215204809648
SPS/SAA,same,shoulder-shoulder,55.5,57.36,55.763888888888886,10.796742503774482,0.11527777777777778,5,3.834876543209876,55.99537037037037,11.702622193108091,0.11990740740740741,6,7.121913580246913,52.32253086419753,9.661082917461261,0.046450617283950627,3,4.560185185185185,0.23148148148148173,-2.717051633821314,3.180014596784278,5.929222768915648,0.03904077996445657,0.04678362573099415,8,10,0,0.8614631027176839,0.8703972496104552,18,0.004629629629629626,-3.441358024691359,0.09765253656906821,5,11,3.6728395061728403,0.13816832146778407,1.0,0.9090868194688371,1.0,0.48362281732783674
WAA/EPS,adjacent,wrist-elbow,55.41,52.22,53.93518518518519,8.632169065428846,0.07870370370370372,5,6.358024691358022,50.45524691358025,6.841525848375857,0.009104938271604919,1,6.50462962962963,50.72530864197531,7.133784121886796,0.014506172839506183,3,5.679012345679013,-3.4799382716049396,-6.614508509643667,-0.3453680335662126,6.303325924910273,-0.5520796977755004,-0.5730994152046783,6,12,0,0.03259722432987241,0.03159637811076486,18,-0.0695987654320988,-3.209876543209878,0.14752487075796494,5,11,-0.27006172839506193,0.7752997022576151,0.9127222812364274,0.49339937737730705,1.0,0.48362281732783674
WFE/EPS,adjacent,wrist-elbow,54.95,56.25,53.81944444444444,7.03813433853889,0.07638888888888888,6,6.226851851851851,53.248456790123456,4.603747094637744,0.06496913580246913,2,7.615740740740741,51.40432098765432,7.527167101476463,0.028086419753086414,2,4.891975308641975,-0.5709876543209877,-4.430643291492936,3.2886679828509613,7.761404464247786,-0.07356756846665977,-0.08187134502923976,9,9,0,0.760340763248236,0.7587445206145097,18,-0.011419753086419756,-2.4151234567901243,0.25544213105902003,6,11,1.8441358024691366,0.4078670439021639,1.0,0.8515816548380244,1.0,0.6502163336047783
SAA/SFE,same,shoulder-shoulder,53.37,56.02,53.76714677640604,8.766648057557306,0.07535276056306231,4,4.540466392318245,50.64814814814815,7.187574002650196,0.012745808927107978,1,7.1930727023319605,51.148834019204386,7.771397752972576,0.022837241603164367,2,5.219478737997254,-3.1189986282578896,-6.268464282077357,0.030467025561577987,6.333279205048543,-0.4924776766152351,-0.52046783625731,7,11,0,0.052456219307804974,0.05201466690241633,18,-0.06260695163595435,-2.618312757201647,0.15527642703440006,6,11,-0.5006858710562427,0.6872428648621585,1.0,0.49339937737730705,1.0,0.48362281732783674
