pair,mode,subject,acc,kappa,f1,sens,spec,pred1,p_chance,n,proximity,joints
EFE/SFE,raw,14,52.5,0.050000000000000044,0.5247029393370857,50.0,55.00000000000001,47.5,0.3687771544921613,80,adjacent,elbow-shoulder
EFE/SFE,raw,15,42.5,-0.15000000000000002,0.4191919191919192,32.5,52.5,40.0,0.9271822727985086,80,adjacent,elbow-shoulder
EFE/SFE,raw,16,56.25,0.125,0.5607843137254902,50.0,62.5,43.75,0.15715328993196853,80,adjacent,elbow-shoulder
EFE/SFE,raw,17,41.25,-0.17500000000000004,0.41019607843137257,47.5,35.0,56.25,0.9535440588897269,80,adjacent,elbow-shoulder
EFE/SFE,raw,18,76.25,0.5249999999999999,0.7621655452980755,72.5,80.0,46.25,1.3659349614411326e-06,80,adjacent,elbow-shoulder
EFE/SPS,raw,1,53.333333333333336,0.06666666666666665,0.5324096981692232,57.77777777777777,48.888888888888886,54.44444444444444,0.29920585911675956,90,adjacent,elbow-shoulder
EFE/SPS,raw,2,62.5,0.25,0.6240601503759399,67.5,57.49999999999999,55.00000000000001,0.016496309213238095,80,adjacent,elbow-shoulder
EFE/SPS,raw,3,58.75,0.17500000000000004,0.5874355368026254,57.49999999999999,60.0,48.75,0.07281772720149135,80,adjacent,elbow-shoulder
EFE/SPS,raw,4,66.25,0.32499999999999996,0.6624472573839661,67.5,65.0,51.24999999999999,0.0024340770747797117,80,adjacent,elbow-shoulder
EFE/SPS,raw,5,47.5,-0.050000000000000044,0.47203016970458833,40.0,55.00000000000001,42.5,0.7117846869058034,80,adjacent,elbow-shoulder
EFE/SPS,raw,6,48.75,-0.025000000000000022,0.48549019607843136,42.5,55.00000000000001,43.75,0.6312228455078387,80,adjacent,elbow-shoulder
EFE/SPS,raw,7,66.25,0.32499999999999996,0.6620247222656861,62.5,70.0,46.25,0.0024340770747797117,80,adjacent,elbow-shoulder
EFE/SPS,raw,8,62.5,0.25,0.6190476190476191,75.0,50.0,62.5,0.016496309213238095,80,adjacent,elbow-shoulder
EFE/SPS,raw,9,68.75,0.375,0.6870599280237835,65.0,72.5,46.25,0.0005263674286766723,80,adjacent,elbow-shoulder
EFE/SPS,raw,10,62.5,0.25,0.6247654784240151,60.0,65.0,47.5,0.016496309213238095,80,adjacent,elbow-shoulder
EFE/SPS,raw,11,61.25000000000001,0.2250000000000001,0.6095103133364824,70.0,52.5,58.75,0.028332213172560572,80,adjacent,elbow-shoulder
EFE/SPS,raw,12,58.75,0.17500000000000004,0.5874355368026254,60.0,57.49999999999999,51.24999999999999,0.07281772720149135,80,adjacent,elbow-shoulder
EFE/SPS,raw,13,56.25,0.125,0.550633927138501,72.5,40.0,66.25,0.15715328993196853,80,adjacent,elbow-shoulder
EFE/SPS,raw,14,43.75,-0.125,0.43741209563994377,45.0,42.5,51.24999999999999,0.8907409802606481,80,adjacent,elbow-shoulder
EFE/SPS,raw,15,47.5,-0.050000000000000044,0.47203016970458833,40.0,55.00000000000001,42.5,0.7117846869058034,80,adjacent,elbow-shoulder
EFE/SPS,raw,16,55.00000000000001,0.10000000000000009,0.55,55.00000000000001,55.00000000000001,50.0,0.21702112767273937,80,adjacent,elbow-shoulder
EFE/SPS,raw,17,50.0,0.0,0.497171590194846,57.49999999999999,42.5,57.49999999999999,0.5444639393869536,80,adjacent,elbow-shoulder
EFE/SPS,raw,18,66.25,0.32499999999999996,0.6620247222656861,70.0,62.5,53.75,0.0024340770747797117,80,adjacent,elbow-shoulder
EPS/EFE,raw,1,64.44444444444444,0.288888888888889,0.6437407224146462,68.88888888888889,60.0,54.44444444444444,0.004022964066612547,90,same,elbow-elbow
EPS/EFE,raw,2,42.5,-0.15000000000000002,0.425,42.5,42.5,50.0,0.9271822727985086,80,same,elbow-elbow
EPS/EFE,raw,3,48.75,-0.025000000000000022,0.48549019607843136,55.00000000000001,42.5,56.25,0.6312228455078387,80,same,elbow-elbow
EPS/EFE,raw,4,50.0,0.0,0.4996873045653534,47.5,52.5,47.5,0.5444639393869536,80,same,elbow-elbow
EPS/EFE,raw,5,50.0,0.0,0.497171590194846,42.5,57.49999999999999,42.5,0.5444639393869536,80,same,elbow-elbow
EPS/EFE,raw,6,56.25,0.125,0.5618838992332968,52.5,60.0,46.25,0.15715328993196853,80,same,elbow-elbow
EPS/EFE,raw,7,63.74999999999999,0.2749999999999999,0.6360784313725489,57.49999999999999,70.0,43.75,0.00915804875845816,80,same,elbow-elbow
EPS/EFE,raw,8,51.24999999999999,0.02499999999999991,0.5118134877171022,55.00000000000001,47.5,53.75,0.4555360606130464,80,same,elbow-elbow
EPS/EFE,raw,9,63.74999999999999,0.2749999999999999,0.634703196347032,55.00000000000001,72.5,41.25,0.00915804875845816,80,same,elbow-elbow
EPS/EFE,raw,10,43.75,-0.125,0.43741209563994377,45.0,42.5,51.24999999999999,0.8907409802606481,80,same,elbow-elbow
EPS/EFE,raw,11,62.5,0.25,0.6240601503759399,57.49999999999999,67.5,45.0,0.016496309213238095,80,same,elbow-elbow
EPS/EFE,raw,12,50.0,0.0,0.4987468671679198,55.00000000000001,45.0,55.00000000000001,0.5444639393869536,80,same,elbow-elbow
EPS/EFE,raw,13,46.25,-0.07499999999999996,0.45561006488368416,35.0,57.49999999999999,38.75,0.7829788723272606,80,same,elbow-elbow
EPS/EFE,raw,14,57.49999999999999,0.1499999999999999,0.5725958516656191,65.0,50.0,57.49999999999999,0.10925901973935187,80,same,elbow-elbow
EPS/EFE,raw,15,57.49999999999999,0.1499999999999999,0.5747342088805503,60.0,55.00000000000001,52.5,0.10925901973935187,80,same,elbow-elbow
EPS/EFE,raw,16,67.5,0.3500000000000001,0.6747967479674797,65.0,70.0,47.5,0.001162270644044352,80,same,elbow-elbow
EPS/EFE,raw,17,58.75,0.17500000000000004,0.5874355368026254,57.49999999999999,60.0,48.75,0.07281772720149135,80,same,elbow-elbow
EPS/EFE,raw,18,43.75,-0.125,0.43529411764705883,50.0,37.5,56.25,0.8907409802606481,80,same,elbow-elbow
EPS/SAA,raw,1,58.88888888888889,0.1777777777777778,0.5863867842504037,51.11111111111111,66.66666666666666,42.22222222222222,0.05667217702171029,90,adjacent,elbow-shoulder
EPS/SAA,raw,2,66.25,0.32499999999999996,0.6624472573839661,67.5,65.0,51.24999999999999,0.0024340770747797117,80,adjacent,elbow-shoulder
EPS/SAA,raw,3,81.25,0.625,0.8122359568142701,85.0,77.5,53.75,7.05733420490698e-09,80,adjacent,elbow-shoulder
EPS/SAA,raw,4,71.25,0.42500000000000004,0.7124550711048601,70.0,72.5,48.75,9.155828206487555e-05,80,adjacent,elbow-shoulder
EPS/SAA,raw,5,46.25,-0.07499999999999996,0.4617430762009075,50.0,42.5,53.75,0.7829788723272606,80,adjacent,elbow-shoulder
EPS/SAA,raw,6,66.25,0.32499999999999996,0.6581737616711505,55.00000000000001,77.5,38.75,0.0024340770747797117,80,adjacent,elbow-shoulder
EPS/SAA,raw,7,78.75,0.575,0.7866666666666666,72.5,85.0,43.75,1.1330702522337731e-07,80,adjacent,elbow-shoulder
EPS/SAA,raw,8,40.0,-0.19999999999999996,0.3904761904761905,52.5,27.500000000000004,62.5,0.9716677868274395,80,adjacent,elbow-shoulder
EPS/SAA,raw,9,61.25000000000001,0.2250000000000001,0.6119543107494915,57.49999999999999,65.0,46.25,0.028332213172560572,80,adjacent,elbow-shoulder
EPS/SAA,raw,10,45.0,-0.09999999999999998,0.44965603502188867,42.5,47.5,47.5,0.8428467100680315,80,adjacent,elbow-shoulder
EPS/SAA,raw,11,62.5,0.25,0.625,62.5,62.5,50.0,0.016496309213238095,80,adjacent,elbow-shoulder
EPS/SAA,raw,12,58.75,0.17500000000000004,0.5869191049913942,55.00000000000001,62.5,46.25,0.07281772720149135,80,adjacent,elbow-shoulder
EPS/SAA,raw,13,55.00000000000001,0.10000000000000009,0.549718574108818,52.5,57.49999999999999,47.5,0.21702112767273937,80,adjacent,elbow-shoulder
EPS/SAA,raw,14,50.0,0.0,0.5,50.0,50.0,50.0,0.5444639393869536,80,adjacent,elbow-shoulder
EPS/SAA,raw,15,43.75,-0.125,0.43529411764705883,37.5,50.0,43.75,0.8907409802606481,80,adjacent,elbow-shoulder
EPS/SAA,raw,16,63.74999999999999,0.2749999999999999,0.6360784313725489,70.0,57.49999999999999,56.25,0.00915804875845816,80,adjacent,elbow-shoulder
EPS/SAA,raw,17,58.75,0.17500000000000004,0.5858823529411765,65.0,52.5,56.25,0.07281772720149135,80,adjacent,elbow-shoulder
EPS/SAA,raw,18,80.0,0.6000000000000001,0.8,80.0,80.0,50.0,2.9356652072980998e-08,80,adjacent,elbow-shoulder
EPS/SFE,raw,1,48.888888888888886,-0.022222222222222254,0.4888888888888889,48.888888888888886,48.888888888888886,50.0,0.6239833992007024,90,adjacent,elbow-shoulder
EPS/SFE,raw,2,61.25000000000001,0.2250000000000001,0.6095103133364824,70.0,52.5,58.75,0.028332213172560572,80,adjacent,elbow-shoulder
EPS/SFE,raw,3,73.75,0.4750000000000001,0.7374589779653071,72.5,75.0,48.75,1.2645551282335301e-05,80,adjacent,elbow-shoulder
EPS/SFE,raw,4,68.75,0.375,0.6874511642444132,70.0,67.5,51.24999999999999,0.0005263674286766723,80,adjacent,elbow-shoulder
EPS/SFE,raw,5,48.148148148148145,-0.037195121951219615,0.4814024390243902,48.78048780487805,47.5,50.617283950617285,0.6715037662068212,81,adjacent,elbow-shoulder
EPS/SFE,raw,6,67.5,0.3500000000000001,0.6747967479674797,65.0,70.0,47.5,0.001162270644044352,80,adjacent,elbow-shoulder
EPS/SFE,raw,7,71.25,0.42500000000000004,0.7124550711048601,70.0,72.5,48.75,9.155828206487555e-05,80,adjacent,elbow-shoulder
EPS/SFE,raw,8,53.75,0.07499999999999996,0.5339316643048339,62.5,45.0,58.75,0.28821531309419657,80,adjacent,elbow-shoulder
EPS/SFE,raw,9,46.25,-0.07499999999999996,0.45835301527318534,37.5,55.00000000000001,41.25,0.7829788723272606,80,adjacent,elbow-shoulder
EPS/SFE,raw,10,57.49999999999999,0.1499999999999999,0.575,57.49999999999999,57.49999999999999,50.0,0.10925901973935187,80,adjacent,elbow-shoulder
EPS/SFE,raw,11,52.5,0.050000000000000044,0.525,52.5,52.5,50.0,0.3687771544921613,80,adjacent,elbow-shoulder
EPS/SFE,raw,12,47.5,-0.050000000000000044,0.4736842105263158,42.5,52.5,45.0,0.7117846869058034,80,adjacent,elbow-shoulder
EPS/SFE,raw,13,62.5,0.25,0.6190476190476191,75.0,50.0,62.5,0.016496309213238095,80,adjacent,elbow-shoulder
EPS/SFE,raw,14,56.25,0.125,0.5618838992332968,60.0,52.5,53.75,0.15715328993196853,80,adjacent,elbow-shoulder
EPS/SFE,raw,15,45.0,-0.09999999999999998,0.44688874921433064,37.5,52.5,42.5,0.8428467100680315,80,adjacent,elbow-shoulder
EPS/SFE,raw,16,60.0,0.19999999999999996,0.5989974937343359,55.00000000000001,65.0,45.0,0.04645594111027311,80,adjacent,elbow-shoulder
EPS/SFE,raw,17,52.5,0.050000000000000044,0.5238095238095238,57.49999999999999,47.5,55.00000000000001,0.3687771544921613,80,adjacent,elbow-shoulder
EPS/SFE,raw,18,72.5,0.44999999999999996,0.7243107769423559,67.5,77.5,45.0,3.505286989959981e-05,80,adjacent,elbow-shoulder
EPS/SPS,raw,1,48.888888888888886,-0.022222222222222254,0.48863636363636365,51.11111111111111,46.666666666666664,52.22222222222223,0.6239833992007024,90,adjacent,elbow-shoulder
EPS/SPS,raw,2,53.75,0.07499999999999996,0.5339316643048339,45.0,62.5,41.25,0.28821531309419657,80,adjacent,elbow-shoulder
EPS/SPS,raw,3,63.74999999999999,0.2749999999999999,0.6369895165075887,67.5,60.0,53.75,0.00915804875845816,80,adjacent,elbow-shoulder
EPS/SPS,raw,4,65.0,0.30000000000000004,0.6491228070175439,70.0,60.0,55.00000000000001,0.004841424961528786,80,adjacent,elbow-shoulder
EPS/SPS,raw,5,57.49999999999999,0.1499999999999999,0.575,57.49999999999999,57.49999999999999,50.0,0.10925901973935187,80,adjacent,elbow-shoulder
EPS/SPS,raw,6,50.0,0.0,0.497171590194846,42.5,57.49999999999999,42.5,0.5444639393869536,80,adjacent,elbow-shoulder
EPS/SPS,raw,7,72.5,0.44999999999999996,0.7248280175109443,70.0,75.0,47.5,3.505286989959981e-05,80,adjacent,elbow-shoulder
EPS/SPS,raw,8,62.5,0.25,0.625,62.5,62.5,50.0,0.016496309213238095,80,adjacent,elbow-shoulder
EPS/SPS,raw,9,65.0,0.30000000000000004,0.6491228070175439,60.0,70.0,45.0,0.004841424961528786,80,adjacent,elbow-shoulder
EPS/SPS,raw,10,65.0,0.30000000000000004,0.6491228070175439,70.0,60.0,55.00000000000001,0.004841424961528786,80,adjacent,elbow-shoulder
EPS/SPS,raw,11,47.5,-0.050000000000000044,0.474671669793621,50.0,45.0,52.5,0.7117846869058034,80,adjacent,elbow-shoulder
EPS/SPS,raw,12,56.25,0.125,0.5607843137254902,62.5,50.0,56.25,0.15715328993196853,80,adjacent,elbow-shoulder
EPS/SPS,raw,13,66.25,0.32499999999999996,0.6620247222656861,70.0,62.5,53.75,0.0024340770747797117,80,adjacent,elbow-shoulder
EPS/SPS,raw,14,56.25,0.125,0.5618838992332968,60.0,52.5,53.75,0.15715328993196853,80,adjacent,elbow-shoulder
EPS/SPS,raw,15,52.5,0.050000000000000044,0.5223130106851037,60.0,45.0,57.49999999999999,0.3687771544921613,80,adjacent,elbow-shoulder
EPS/SPS,raw,16,53.75,0.07499999999999996,0.5339316643048339,62.5,45.0,58.75,0.28821531309419657,80,adjacent,elbow-shoulder
EPS/SPS,raw,17,43.75,-0.125,0.43741209563994377,45.0,42.5,51.24999999999999,0.8907409802606481,80,adjacent,elbow-shoulder
EPS/SPS,raw,18,63.74999999999999,0.2749999999999999,0.6369895165075887,60.0,67.5,46.25,0.00915804875845816,80,adjacent,elbow-shoulder
HOC/EFE,raw,1,71.11111111111111,0.4222222222222223,0.7109683794466404,73.33333333333333,68.88888888888889,52.22222222222223,3.828536465524171e-05,90,adjacent,hand-elbow
HOC/EFE,raw,2,56.25,0.125,0.5618838992332968,60.0,52.5,53.75,0.15715328993196853,80,adjacent,hand-elbow
HOC/EFE,raw,3,52.5,0.050000000000000044,0.525,52.5,52.5,50.0,0.3687771544921613,80,adjacent,hand-elbow
HOC/EFE,raw,4,76.25,0.5249999999999999,0.762462884825754,75.0,77.5,48.75,1.3659349614411326e-06,80,adjacent,hand-elbow
HOC/EFE,raw,5,52.5,0.050000000000000044,0.5223130106851037,60.0,45.0,57.49999999999999,0.3687771544921613,80,adjacent,hand-elbow
HOC/EFE,raw,6,56.25,0.125,0.5568919132774173,45.0,67.5,38.75,0.15715328993196853,80,adjacent,hand-elbow
HOC/EFE,raw,7,76.25,0.5249999999999999,0.7615686274509804,82.5,70.0,56.25,1.3659349614411326e-06,80,adjacent,hand-elbow
HOC/EFE,raw,8,56.25,0.125,0.5607843137254902,50.0,62.5,43.75,0.15715328993196853,80,adjacent,hand-elbow
HOC/EFE,raw,9,58.75,0.17500000000000004,0.5869191049913942,55.00000000000001,62.5,46.25,0.07281772720149135,80,adjacent,hand-elbow
HOC/EFE,raw,10,68.75,0.375,0.6874511642444132,70.0,67.5,51.24999999999999,0.0005263674286766723,80,adjacent,hand-elbow
HOC/EFE,raw,11,57.49999999999999,0.1499999999999999,0.5747342088805503,60.0,55.00000000000001,52.5,0.10925901973935187,80,adjacent,hand-elbow
HOC/EFE,raw,12,52.5,0.050000000000000044,0.525,52.5,52.5,50.0,0.3687771544921613,80,adjacent,hand-elbow
HOC/EFE,raw,13,52.5,0.050000000000000044,0.5238095238095238,47.5,57.49999999999999,45.0,0.3687771544921613,80,adjacent,hand-elbow
HOC/EFE,raw,14,55.00000000000001,0.10000000000000009,0.5428571428571428,67.5,42.5,62.5,0.21702112767273937,80,adjacent,hand-elbow
HOC/EFE,raw,15,53.75,0.07499999999999996,0.5339316643048339,62.5,45.0,58.75,0.28821531309419657,80,adjacent,hand-elbow
HOC/EFE,raw,16,55.00000000000001,0.10000000000000009,0.5428571428571428,42.5,67.5,37.5,0.21702112767273937,80,adjacent,hand-elbow
HOC/EFE,raw,17,68.75,0.375,0.6874511642444132,67.5,70.0,48.75,0.0005263674286766723,80,adjacent,hand-elbow
HOC/EFE,raw,18,58.75,0.17500000000000004,0.5724696356275304,40.0,77.5,31.25,0.07281772720149135,80,adjacent,hand-elbow
HOC/EPS,raw,1,55.55555555555556,0.11111111111111116,0.5553359683794465,53.333333333333336,57.77777777777777,47.77777777777778,0.1714165597103941,90,adjacent,hand-elbow
HOC/EPS,raw,2,47.5,-0.050000000000000044,0.47203016970458833,55.00000000000001,40.0,57.49999999999999,0.7117846869058034,80,adjacent,hand-elbow
HOC/EPS,raw,3,62.5,0.25,0.6228786926461345,70.0,55.00000000000001,57.49999999999999,0.016496309213238095,80,adjacent,hand-elbow
HOC/EPS,raw,4,77.5,0.55,0.775,77.5,77.5,50.0,4.0713333124976437e-07,80,adjacent,hand-elbow
HOC/EPS,raw,5,48.75,-0.025000000000000022,0.48549019607843136,55.00000000000001,42.5,56.25,0.6312228455078387,80,adjacent,hand-elbow
HOC/EPS,raw,6,55.00000000000001,0.10000000000000009,0.5474544311753614,62.5,47.5,57.49999999999999,0.21702112767273937,80,adjacent,hand-elbow
HOC/EPS,raw,7,71.25,0.42500000000000004,0.7102818453786806,80.0,62.5,58.75,9.155828206487555e-05,80,adjacent,hand-elbow
HOC/EPS,raw,8,47.5,-0.050000000000000044,0.4736842105263158,52.5,42.5,55.00000000000001,0.7117846869058034,80,adjacent,hand-elbow
HOC/EPS,raw,9,46.25,-0.07499999999999996,0.44291497975708505,65.0,27.500000000000004,68.75,0.7829788723272606,80,adjacent,hand-elbow
HOC/EPS,raw,10,65.0,0.30000000000000004,0.6491228070175439,70.0,60.0,55.00000000000001,0.004841424961528786,80,adjacent,hand-elbow
HOC/EPS,raw,11,52.5,0.050000000000000044,0.5247029393370857,50.0,55.00000000000001,47.5,0.3687771544921613,80,adjacent,hand-elbow
HOC/EPS,raw,12,55.00000000000001,0.10000000000000009,0.549718574108818,52.5,57.49999999999999,47.5,0.21702112767273937,80,adjacent,hand-elbow
HOC/EPS,raw,13,46.25,-0.07499999999999996,0.452142060837713,60.0,32.5,63.74999999999999,0.7829788723272606,80,adjacent,hand-elbow
HOC/EPS,raw,14,51.24999999999999,0.02499999999999991,0.5124238162212846,52.5,50.0,51.24999999999999,0.4555360606130464,80,adjacent,hand-elbow
HOC/EPS,raw,15,62.5,0.25,0.6247654784240151,65.0,60.0,52.5,0.016496309213238095,80,adjacent,hand-elbow
HOC/EPS,raw,16,68.75,0.375,0.685088962368131,60.0,77.5,41.25,0.0005263674286766723,80,adjacent,hand-elbow
HOC/EPS,raw,17,57.49999999999999,0.1499999999999999,0.575,57.49999999999999,57.49999999999999,50.0,0.10925901973935187,80,adjacent,hand-elbow
HOC/EPS,raw,18,57.49999999999999,0.1499999999999999,0.5572916666666667,37.5,77.5,30.0,0.10925901973935187,80,adjacent,hand-elbow
HOC/SAA,raw,1,68.88888888888889,0.37777777777777777,0.6887351778656126,66.66666666666666,71.11111111111111,47.77777777777778,0.0002189610983170669,90,distant,hand-shoulder
HOC/SAA,raw,2,62.5,0.25,0.6247654784240151,65.0,60.0,52.5,0.016496309213238095,80,distant,hand-shoulder
HOC/SAA,raw,3,83.75,0.675,0.8372711625723674,80.0,87.5,46.25,3.207570587475561e-10,80,distant,hand-shoulder
HOC/SAA,raw,4,83.75,0.675,0.8368627450980393,77.5,90.0,43.75,3.207570587475561e-10,80,distant,hand-shoulder
HOC/SAA,raw,5,62.5,0.25,0.6247654784240151,60.0,65.0,47.5,0.016496309213238095,80,distant,hand-shoulder
HOC/SAA,raw,6,55.00000000000001,0.10000000000000009,0.5396419437340154,40.0,70.0,35.0,0.21702112767273937,80,distant,hand-shoulder
HOC/SAA,raw,7,73.75,0.4750000000000001,0.7371303395399781,70.0,77.5,46.25,1.2645551282335301e-05,80,distant,hand-shoulder
HOC/SAA,raw,8,61.25000000000001,0.2250000000000001,0.6124394436630723,62.5,60.0,51.24999999999999,0.028332213172560572,80,distant,hand-shoulder
HOC/SAA,raw,9,67.5,0.3500000000000001,0.6747967479674797,65.0,70.0,47.5,0.001162270644044352,80,distant,hand-shoulder
HOC/SAA,raw,10,67.5,0.3500000000000001,0.6741854636591479,72.5,62.5,55.00000000000001,0.001162270644044352,80,distant,hand-shoulder
HOC/SAA,raw,11,55.00000000000001,0.10000000000000009,0.5454545454545454,65.0,45.0,60.0,0.21702112767273937,80,distant,hand-shoulder
HOC/SAA,raw,12,63.74999999999999,0.2749999999999999,0.6369895165075887,60.0,67.5,46.25,0.00915804875845816,80,distant,hand-shoulder
HOC/SAA,raw,13,53.75,0.07499999999999996,0.5356862745098039,47.5,60.0,43.75,0.28821531309419657,80,distant,hand-shoulder
HOC/SAA,raw,14,50.0,0.0,0.497171590194846,57.49999999999999,42.5,57.49999999999999,0.5444639393869536,80,distant,hand-shoulder
HOC/SAA,raw,15,61.25000000000001,0.2250000000000001,0.6109803921568627,55.00000000000001,67.5,43.75,0.028332213172560572,80,distant,hand-shoulder
HOC/SAA,raw,16,55.00000000000001,0.10000000000000009,0.55,55.00000000000001,55.00000000000001,50.0,0.21702112767273937,80,distant,hand-shoulder
HOC/SAA,raw,17,75.0,0.5,0.746031746031746,62.5,87.5,37.5,4.290279933524806e-06,80,distant,hand-shoulder
HOC/SAA,raw,18,87.5,0.75,0.8749218261413383,85.0,90.0,47.5,1.5806452613247474e-12,80,distant,hand-shoulder
HOC/SFE,raw,1,60.0,0.19999999999999996,0.599208312716477,55.55555555555556,64.44444444444444,45.55555555555556,0.036274766096230884,90,distant,hand-shoulder
HOC/SFE,raw,2,67.5,0.3500000000000001,0.6717171717171717,77.5,57.49999999999999,60.0,0.001162270644044352,80,distant,hand-shoulder
HOC/SFE,raw,3,81.25,0.625,0.8122359568142701,77.5,85.0,46.25,7.05733420490698e-09,80,distant,hand-shoulder
HOC/SFE,raw,4,88.75,0.7749999999999999,0.8874824191279886,90.0,87.5,51.24999999999999,2.1869890911195873e-13,80,distant,hand-shoulder
HOC/SFE,raw,5,61.72839506172839,0.23375038144644478,0.6163483575248281,65.85365853658537,57.49999999999999,54.32098765432099,0.02241426119289932,81,distant,hand-shoulder
HOC/SFE,raw,6,63.74999999999999,0.2749999999999999,0.6276681110576152,47.5,80.0,33.75,0.00915804875845816,80,distant,hand-shoulder
HOC/SFE,raw,7,65.0,0.30000000000000004,0.6464646464646464,75.0,55.00000000000001,60.0,0.004841424961528786,80,distant,hand-shoulder
HOC/SFE,raw,8,46.25,-0.07499999999999996,0.4617430762009075,42.5,50.0,46.25,0.7829788723272606,80,distant,hand-shoulder
HOC/SFE,raw,9,61.25000000000001,0.2250000000000001,0.6119543107494915,57.49999999999999,65.0,46.25,0.028332213172560572,80,distant,hand-shoulder
