pair,mode,subject,acc,kappa,f1,sens,spec,pred1,p_chance,n,proximity,joints
EFE/SAA,raw,1,41.11111111111111,-0.1777777777777778,0.40928792569659445,46.666666666666664,35.55555555555556,55.55555555555556,0.9637252339037691,90,adjacent,elbow-shoulder
EFE/SAA,raw,2,71.25,0.42500000000000004,0.7120951337818808,75.0,67.5,53.75,9.155828206487555e-05,80,adjacent,elbow-shoulder
EFE/SAA,raw,3,71.25,0.42500000000000004,0.7124550711048601,70.0,72.5,48.75,9.155828206487555e-05,80,adjacent,elbow-shoulder
EFE/SAA,raw,4,62.5,0.25,0.6240601503759399,57.49999999999999,67.5,45.0,0.016496309213238095,80,adjacent,elbow-shoulder
EFE/SAA,raw,5,46.25,-0.07499999999999996,0.46241600250039067,45.0,47.5,48.75,0.7829788723272606,80,adjacent,elbow-shoulder
EFE/SAA,raw,6,40.0,-0.19999999999999996,0.4,40.0,40.0,50.0,0.9716677868274395,80,adjacent,elbow-shoulder
EFE/SAA,raw,7,62.5,0.25,0.625,62.5,62.5,50.0,0.016496309213238095,80,adjacent,elbow-shoulder
EFE/SAA,raw,8,38.75,-0.22499999999999998,0.37964867858838425,50.0,27.500000000000004,61.25000000000001,0.9835036907867619,80,adjacent,elbow-shoulder
EFE/SAA,raw,9,67.5,0.3500000000000001,0.6717171717171717,57.49999999999999,77.5,40.0,0.001162270644044352,80,adjacent,elbow-shoulder
EFE/SAA,raw,10,58.75,0.17500000000000004,0.5858823529411765,65.0,52.5,56.25,0.07281772720149135,80,adjacent,elbow-shoulder
EFE/SAA,raw,11,47.5,-0.050000000000000044,0.4736842105263158,52.5,42.5,55.00000000000001,0.7117846869058034,80,adjacent,elbow-shoulder
EFE/SAA,raw,12,53.75,0.07499999999999996,0.5356862745098039,60.0,47.5,56.25,0.28821531309419657,80,adjacent,elbow-shoulder
EFE/SAA,raw,13,46.25,-0.07499999999999996,0.46039215686274515,52.5,40.0,56.25,0.7829788723272606,80,adjacent,elbow-shoulder
EFE/SAA,raw,14,58.75,0.17500000000000004,0.5874355368026254,60.0,57.49999999999999,51.24999999999999,0.07281772720149135,80,adjacent,elbow-shoulder
EFE/SAA,raw,15,47.5,-0.050000000000000044,0.475,47.5,47.5,50.0,0.7117846869058034,80,adjacent,elbow-shoulder
EFE/SAA,raw,16,43.75,-0.125,0.43529411764705883,50.0,37.5,56.25,0.8907409802606481,80,adjacent,elbow-shoulder
EFE/SAA,raw,17,43.75,-0.125,0.43741209563994377,42.5,45.0,48.75,0.8907409802606481,80,adjacent,elbow-shoulder
EFE/SAA,raw,18,85.0,0.7,0.85,85.0,85.0,50.0,6.008243175410135e-11,80,adjacent,elbow-shoulder
EFE/SFE,raw,1,48.888888888888886,-0.022222222222222254,0.48481831757093086,57.77777777777777,40.0,58.88888888888889,0.6239833992007024,90,adjacent,elbow-shoulder
EFE/SFE,raw,2,51.24999999999999,0.02499999999999991,0.5124238162212846,52.5,50.0,51.24999999999999,0.4555360606130464,80,adjacent,elbow-shoulder
EFE/SFE,raw,3,80.0,0.6000000000000001,0.7998749218261414,77.5,82.5,47.5,2.9356652072980998e-08,80,adjacent,elbow-shoulder
EFE/SFE,raw,4,51.24999999999999,0.02499999999999991,0.5124238162212846,52.5,50.0,51.24999999999999,0.4555360606130464,80,adjacent,elbow-shoulder
EFE/SFE,raw,5,50.617283950617285,0.012195121951219523,0.5060975609756098,51.21951219512195,50.0,50.617283950617285,0.4999999999999996,81,adjacent,elbow-shoulder
EFE/SFE,raw,6,52.5,0.050000000000000044,0.5202020202020202,42.5,62.5,40.0,0.3687771544921613,80,adjacent,elbow-shoulder
EFE/SFE,raw,7,58.75,0.17500000000000004,0.5874355368026254,60.0,57.49999999999999,51.24999999999999,0.07281772720149135,80,adjacent,elbow-shoulder
EFE/SFE,raw,8,46.25,-0.07499999999999996,0.46241600250039067,47.5,45.0,51.24999999999999,0.7829788723272606,80,adjacent,elbow-shoulder
EFE/SFE,raw,9,61.25000000000001,0.2250000000000001,0.6119543107494915,57.49999999999999,65.0,46.25,0.028332213172560572,80,adjacent,elbow-shoulder
EFE/SFE,raw,10,48.75,-0.025000000000000022,0.48354589828373484,40.0,57.49999999999999,41.25,0.6312228455078387,80,adjacent,elbow-shoulder
EFE/SFE,raw,11,50.0,0.0,0.4996873045653534,52.5,47.5,52.5,0.5444639393869536,80,adjacent,elbow-shoulder
EFE/SFE,raw,12,42.5,-0.15000000000000002,0.4235588972431078,37.5,47.5,45.0,0.9271822727985086,80,adjacent,elbow-shoulder
EFE/SFE,raw,13,61.25000000000001,0.2250000000000001,0.6019900497512438,77.5,45.0,66.25,0.028332213172560572,80,adjacent,elbow-shoulder
