subject,800,1500,3000,4000
1,60.0,68.88888888888889,66.66666666666666,57.77777777777777
2,67.5,68.75,70.0,73.75
3,66.25,81.25,77.5,67.5
4,78.75,92.5,83.75,86.25
5,85.0,80.0,82.5,83.75
6,73.75,72.5,73.75,72.5
7,78.75,87.5,87.5,87.5
8,52.5,65.0,52.5,52.5
9,58.75,57.49999999999999,67.5,61.25000000000001
10,73.75,70.0,70.0,65.0
11,62.5,81.25,78.75,77.5
12,58.75,67.5,72.5,76.25
13,61.25000000000001,91.25,77.5,76.25
14,57.49999999999999,72.5,72.5,71.25
15,78.75,77.5,78.75,86.25
16,66.25,66.25,73.75,70.0
17,73.75,68.75,53.75,55.00000000000001
18,86.25,90.0,93.75,93.75
