subject,800,1500,3000,4000
1,52.22222222222223,60.0,65.55555555555556,63.33333333333333
2,56.25,70.0,71.25,62.5
3,85.0,71.25,67.5,61.25000000000001
4,80.0,75.0,72.5,60.0
5,47.5,70.0,57.49999999999999,56.25
6,56.25,57.49999999999999,58.75,53.75
7,72.5,72.5,72.5,72.5
8,50.0,45.0,45.0,50.0
9,58.75,63.74999999999999,63.74999999999999,63.74999999999999
10,60.0,65.0,52.5,50.0
11,65.0,80.0,76.25,72.5
12,56.25,52.5,53.75,48.75
13,63.74999999999999,65.0,62.5,72.5
14,61.25000000000001,56.25,52.5,53.75
15,55.00000000000001,65.0,67.5,68.75
16,53.75,65.0,47.5,55.00000000000001
17,50.0,48.75,45.0,63.74999999999999
18,61.25000000000001,60.0,73.75,70.0
