subject,800,1500,3000,4000
1,60.0,66.66666666666666,71.11111111111111,67.77777777777779
2,50.0,55.00000000000001,67.5,66.25
3,71.25,83.75,76.25,73.75
4,71.25,71.25,77.5,72.5
5,66.66666666666666,81.48148148148148,80.24691358024691,71.60493827160494
6,53.75,67.5,71.25,70.0
7,65.0,73.75,76.25,78.75
8,52.5,45.0,47.5,53.75
9,47.5,40.0,58.75,46.25
10,66.25,72.5,65.0,67.5
11,61.25000000000001,61.25000000000001,72.5,75.0
12,63.74999999999999,56.25,67.5,65.0
13,62.5,73.75,61.25000000000001,63.74999999999999
14,68.75,67.5,66.25,63.74999999999999
15,56.25,60.0,66.25,62.5
16,61.25000000000001,57.49999999999999,57.49999999999999,62.5
17,55.00000000000001,56.25,55.00000000000001,60.0
18,77.5,76.25,86.25,83.75
