subject,800,1500,3000,4000
1,54.44444444444444,55.55555555555556,61.111111111111114,70.0
2,48.75,48.75,53.75,50.0
3,53.75,65.0,61.25000000000001,66.25
4,53.75,41.25,85.0,83.75
5,57.49999999999999,43.75,60.0,62.5
6,63.74999999999999,70.0,65.0,55.00000000000001
7,52.5,46.25,52.5,63.74999999999999
8,50.0,45.0,45.0,50.0
9,50.0,50.0,61.25000000000001,53.75
10,72.5,63.74999999999999,75.0,70.0
11,48.75,50.0,53.75,53.75
12,52.5,41.25,68.75,62.5
13,60.0,62.5,60.0,58.75
14,67.5,57.49999999999999,57.49999999999999,50.0
15,53.75,51.24999999999999,48.75,50.0
16,52.5,55.00000000000001,51.24999999999999,66.25
17,60.0,57.49999999999999,56.25,61.25000000000001
18,66.25,60.0,66.25,61.25000000000001
