pair,raw_acc,fbc_acc,delta,raw_sd,fbc_sd,raw_kappa,fbc_kappa,raw_f1,fbc_f1,wins,losses,ties,t_subj,p_subj,p_wilcoxon,p_fold,cohen_dz,paper_fine,paper_shallow
EFE/SAA,54.78395061728395,54.976851851851855,0.1929012345679016,13.1203390436017,10.254594281845469,0.09567901234567903,0.09953703703703703,0.5465259377052718,0.5466754968525815,9,9,0,0.10090450198460739,0.920806787464205,1.0,0.901443471904659,0.02378341920185578,,
EFE/SFE,54.000342935528124,55.40209190672154,1.4017489711934152,10.548741833379632,9.06408073691331,0.07999849442938874,0.10808277319138056,0.5379705138276201,0.5513991537463419,11,7,0,0.9641648094251147,0.34847926840132615,0.468292236328125,0.349122857183244,0.22725582497531135,,
EFE/SPS,57.546296296296305,56.373456790123456,-1.17283950617284,7.652172051754892,7.9449084730233865,0.15092592592592594,0.12746913580246916,0.573499395075475,0.5622811109144733,8,8,2,-0.6543448227421546,0.5216445166223285,0.5345151908359941,0.4319214498677596,-0.15423055379842898,,
EPS/EFE,54.34413580246914,54.891975308641975,0.5478395061728413,8.004657429725253,6.947639061857616,0.0868827160493827,0.0978395061728395,0.5420141371641154,0.5452812025909994,7,9,2,0.25664963803347385,0.8005294957426474,0.8766194330592358,0.7188401745563355,0.06049289981418074,,
EPS/SAA,60.42438271604939,61.041666666666664,0.6172839506172837,12.447372166532766,11.231602604206737,0.20848765432098765,0.22083333333333333,0.6028382050778218,0.6070186170488643,9,7,2,0.3502199544116602,0.7304753230256391,0.6228544063136117,0.6458502962762958,0.08254763489044283,,
EPS/SFE,58.099279835390945,57.94410150891632,-0.1551783264746227,9.55966223205603,10.179746126393269,0.16197681421258656,0.15884855264049896,0.5796039197009788,0.5759105107246132,8,9,1,-0.11460378521195558,0.910101886354774,0.7577859406658685,0.8942891429563824,-0.02701237122434012,,
EPS/SPS,57.99382716049383,58.90432098765432,0.9104938271604941,7.839423972716197,8.876866983872551,0.15987654320987651,0.17808641975308642,0.5788298036312651,0.5876899423024771,7,6,5,0.5088476342740311,0.617399445833182,0.5067455281526702,0.5327683609524883,0.11993653759529989,,
HOC/EFE,59.922839506172835,57.56172839506173,-2.3611111111111107,8.29679109752297,9.148107353511753,0.19845679012345677,0.1512345679012346,0.5966307655812016,0.5730080467189781,6,11,1,-1.5116601069915705,0.14898627371515608,0.1770504681159183,0.13648365353206343,-0.3563017041676405,,
HOC/EPS,57.11419753086419,54.976851851851855,-2.1373456790123453,9.169087068495545,8.44952359504943,0.14228395061728394,0.09953703703703703,0.5675181554792945,0.5468598250215769,7,10,1,-1.3687470150306855,0.18889466893209128,0.12334984434432678,0.1118300069509462,-0.3226167653523477,,
HOC/SAA,65.97993827160494,62.09104938271605,-3.8888888888888906,11.087953013490425,14.015474788503019,0.3195987654320988,0.241820987654321,0.6582127706635821,0.6179513918564675,5,10,3,-2.0036111976442195,0.061316005198770625,0.07348580905179351,0.004296757388157274,-0.4722556882385091,,
HOC/SFE,63.637688614540465,62.18021262002743,-1.4574759945130316,11.377828897814368,12.166120939219015,0.2727083545248024,0.24354395604395604,0.6339070775843958,0.6199136387061515,5,12,1,-0.7662683326420052,0.4540261610633227,0.5070845279461902,0.33314416068302466,-0.1806111780732237,,
HOC/SPS,64.22839506172839,65.45524691358024,1.2268518518518488,11.035714598143647,11.366629526102635,0.284567901234568,0.3091049382716049,0.6406362928037572,0.6531400291195963,12,5,1,0.6599662983954089,0.5181179240887385,0.434563064772572,0.3955574615760342,0.15555554831665938,68.51,65.49
HOC/WAA,58.71913580246913,57.07561728395061,-1.6435185185185175,4.121915330534134,6.6355264378251535,0.17438271604938269,0.14151234567901233,0.5852603790524182,0.5689258056486035,5,12,1,-1.2719074905094099,0.2205307758235912,0.30783716917886417,0.24846678515597356,-0.29979147052705607,,
HOC/WFE,55.70987654320988,53.510802469135804,-2.199074074074076,6.619160957222329,6.006571223729113,0.11419753086419754,0.07021604938271603,0.5553806369294867,0.5319477058496379,7,10,1,-1.8443994341036003,0.08262318761470216,0.06814442688922388,0.12668733881912153,-0.4347291156904288,,
SAA/SFE,53.76714677640604,50.64814814814815,-3.1189986282578896,8.766648057557306,7.187574002650196,0.07535276056306231,0.012745808927107978,0.5362420666831605,0.503058468708624,7,11,0,-2.0894058283057704,0.052014666902416344,0.05385589599609375,0.030651363928480592,-0.4924776766152351,53.37,56.02
SPS/SAA,55.763888888888886,55.99537037037037,0.23148148148148173,10.796742503774482,11.702622193108091,0.11527777777777778,0.11990740740740741,0.5563138623897719,0.5564278806439593,8,10,0,0.16563600153407482,0.8703972496104553,0.8985748291015625,0.8605209246452956,0.03904077996445657,,
SPS/SFE,55.597565157750346,55.10888203017833,-0.4886831275720177,9.476562000263453,7.9350519529824,0.11177511609468797,0.10209240410894355,0.5534935570583931,0.5479617065107163,7,10,1,-0.42574013095337926,0.6756383506098151,0.5529755339128595,0.7031243004364196,-0.10034791120679441,,
WAA/EFE,57.92438271604939,55.97993827160494,-1.9444444444444438,8.828105111814567,7.689961800092882,0.15848765432098763,0.11959876543209876,0.577902642299742,0.5567875131017582,6,10,2,-1.1950749052452823,0.24846418714115517,0.24401662914499145,0.23358112180592913,-0.28168185650826993,,
WAA/EPS,53.93518518518519,50.45524691358025,-3.4799382716049396,8.632169065428846,6.841525848375857,0.07870370370370372,0.009104938271604919,0.537011844251777,0.5019018809380668,6,12,0,-2.3422757883148564,0.03159637811076481,0.030364990234375,0.02355121559135527,-0.5520796977755004,,
WAA/SAA,60.941358024691354,61.04938271604939,0.10802469135802618,14.420272286056262,12.529759620190497,0.2188271604938271,0.22098765432098763,0.608068087330977,0.6094320803075736,6,9,3,0.06356409553820061,0.9500587542340777,0.6090184166329973,0.9444111891521466,0.014982200998350407,,
WAA/SFE,61.71039094650205,60.08659122085047,-1.6237997256515782,11.139108610449695,10.382208045564106,0.23409343725725318,0.20168933682945478,0.6161831119912692,0.5988014180988183,6,11,1,-0.7929764856920037,0.4387192071200976,0.5073227849121422,0.3189692121324803,-0.18690635011809772,,
WAA/SPS,61.63580246913581,59.907407407407405,-1.7283950617283945,8.869023394393873,9.096832426913261,0.232716049382716,0.19814814814814813,0.6148501973757603,0.5963309856100494,8,10,0,-0.907364329753956,0.37689706449485694,0.4171142578125,0.26941565517337407,-0.21386782352526965,,
