pair,mode,subject,fold,acc,kappa,f1,n
EFE/SPS,fbc,9,4,75.0,0.5,0.75,16
EFE/SPS,fbc,9,5,68.75,0.375,0.6536796536796536,16
EFE/SPS,fbc,10,1,75.0,0.5,0.75,16
EFE/SPS,fbc,10,2,50.0,0.0,0.4920634920634921,16
EFE/SPS,fbc,10,3,75.0,0.5,0.746031746031746,16
EFE/SPS,fbc,10,4,62.5,0.25,0.6190476190476191,16
EFE/SPS,fbc,10,5,62.5,0.25,0.625,16
EFE/SPS,fbc,11,1,81.25,0.625,0.8117647058823529,16
EFE/SPS,fbc,11,2,68.75,0.375,0.6862745098039216,16
EFE/SPS,fbc,11,3,31.25,-0.375,0.30980392156862746,16
EFE/SPS,fbc,11,4,75.0,0.5,0.746031746031746,16
EFE/SPS,fbc,11,5,50.0,0.0,0.4920634920634921,16
EFE/SPS,fbc,12,1,62.5,0.25,0.625,16
EFE/SPS,fbc,12,2,50.0,0.0,0.4666666666666667,16
EFE/SPS,fbc,12,3,50.0,0.0,0.4920634920634921,16
EFE/SPS,fbc,12,4,56.25,0.125,0.5151515151515151,16
EFE/SPS,fbc,12,5,43.75,-0.125,0.41700404858299595,16
EFE/SPS,fbc,13,1,56.25,0.125,0.5465587044534412,16
EFE/SPS,fbc,13,2,62.5,0.25,0.6190476190476191,16
EFE/SPS,fbc,13,3,62.5,0.25,0.6190476190476191,16
EFE/SPS,fbc,13,4,68.75,0.375,0.6761133603238867,16
EFE/SPS,fbc,13,5,75.0,0.5,0.746031746031746,16
EFE/SPS,fbc,14,1,37.5,-0.25,0.375,16
EFE/SPS,fbc,14,2,56.25,0.125,0.5607843137254902,16
EFE/SPS,fbc,14,3,56.25,0.125,0.5465587044534412,16
EFE/SPS,fbc,14,4,62.5,0.25,0.625,16
EFE/SPS,fbc,14,5,56.25,0.125,0.5151515151515151,16
EFE/SPS,fbc,15,1,50.0,0.0,0.5,16
EFE/SPS,fbc,15,2,50.0,0.0,0.4920634920634921,16
EFE/SPS,fbc,15,3,56.25,0.125,0.5607843137254902,16
EFE/SPS,fbc,15,4,56.25,0.125,0.5607843137254902,16
EFE/SPS,fbc,15,5,75.0,0.5,0.746031746031746,16
EFE/SPS,fbc,16,1,50.0,0.0,0.4920634920634921,16
EFE/SPS,fbc,16,2,31.25,-0.375,0.30980392156862746,16
EFE/SPS,fbc,16,3,50.0,0.0,0.4181818181818182,16
EFE/SPS,fbc,16,4,56.25,0.125,0.5151515151515151,16
EFE/SPS,fbc,16,5,62.5,0.25,0.625,16
EFE/SPS,fbc,17,1,43.75,-0.125,0.41700404858299595,16
EFE/SPS,fbc,17,2,50.0,0.0,0.4920634920634921,16
EFE/SPS,fbc,17,3,56.25,0.125,0.5607843137254902,16
EFE/SPS,fbc,17,4,62.5,0.25,0.6,16
EFE/SPS,fbc,17,5,50.0,0.0,0.4666666666666667,16
