pair,mode,subject,fold,acc,kappa,f1,n
EFE/SAA,raw,2,2,62.5,0.25,0.625,16
EFE/SAA,raw,2,3,62.5,0.25,0.5636363636363637,16
EFE/SAA,raw,2,4,87.5,0.75,0.873015873015873,16
EFE/SAA,raw,2,5,81.25,0.625,0.8117647058823529,16
EFE/SAA,raw,3,1,75.0,0.5,0.75,16
EFE/SAA,raw,3,2,50.0,0.0,0.4920634920634921,16
EFE/SAA,raw,3,3,81.25,0.625,0.8117647058823529,16
EFE/SAA,raw,3,4,93.75,0.875,0.9372549019607843,16
EFE/SAA,raw,3,5,56.25,0.125,0.5607843137254902,16
EFE/SAA,raw,4,1,43.75,-0.125,0.43529411764705883,16
EFE/SAA,raw,4,2,62.5,0.25,0.625,16
EFE/SAA,raw,4,3,62.5,0.25,0.6190476190476191,16
EFE/SAA,raw,4,4,68.75,0.375,0.6761133603238867,16
EFE/SAA,raw,4,5,75.0,0.5,0.7333333333333334,16
EFE/SAA,raw,5,1,37.5,-0.25,0.375,16
EFE/SAA,raw,5,2,31.25,-0.375,0.2874493927125506,16
EFE/SAA,raw,5,3,62.5,0.25,0.6190476190476191,16
EFE/SAA,raw,5,4,50.0,0.0,0.4666666666666667,16
EFE/SAA,raw,5,5,50.0,0.0,0.5,16
EFE/SAA,raw,6,1,50.0,0.0,0.4666666666666667,16
EFE/SAA,raw,6,2,50.0,0.0,0.4666666666666667,16
EFE/SAA,raw,6,3,31.25,-0.375,0.30980392156862746,16
EFE/SAA,raw,6,4,18.75,-0.625,0.1843137254901961,16
EFE/SAA,raw,6,5,50.0,0.0,0.4920634920634921,16
EFE/SAA,raw,7,1,56.25,0.125,0.5607843137254902,16
EFE/SAA,raw,7,2,56.25,0.125,0.5151515151515151,16
EFE/SAA,raw,7,3,68.75,0.375,0.6862745098039216,16
EFE/SAA,raw,7,4,68.75,0.375,0.6536796536796536,16
EFE/SAA,raw,7,5,62.5,0.25,0.625,16
EFE/SAA,raw,8,1,43.75,-0.125,0.41700404858299595,16
EFE/SAA,raw,8,2,43.75,-0.125,0.41700404858299595,16
EFE/SAA,raw,8,3,25.0,-0.5,0.23809523809523808,16
EFE/SAA,raw,8,4,31.25,-0.375,0.30980392156862746,16
EFE/SAA,raw,8,5,50.0,0.0,0.5,16
EFE/SAA,raw,9,1,56.25,0.125,0.5607843137254902,16
EFE/SAA,raw,9,2,81.25,0.625,0.8117647058823529,16
EFE/SAA,raw,9,3,68.75,0.375,0.6761133603238867,16
EFE/SAA,raw,9,4,68.75,0.375,0.6862745098039216,16
EFE/SAA,raw,9,5,62.5,0.25,0.6190476190476191,16
EFE/SAA,raw,10,1,56.25,0.125,0.5607843137254902,16
EFE/SAA,raw,10,2,50.0,0.0,0.4666666666666667,16
EFE/SAA,raw,10,3,68.75,0.375,0.6761133603238867,16
EFE/SAA,raw,10,4,62.5,0.25,0.6,16
EFE/SAA,raw,10,5,56.25,0.125,0.5465587044534412,16
EFE/SAA,raw,11,1,50.0,0.0,0.4666666666666667,16
EFE/SAA,raw,11,2,62.5,0.25,0.6190476190476191,16
EFE/SAA,raw,11,3,43.75,-0.125,0.41700404858299595,16
EFE/SAA,raw,11,4,43.75,-0.125,0.41700404858299595,16
EFE/SAA,raw,11,5,37.5,-0.25,0.3333333333333333,16
EFE/SAA,raw,12,1,56.25,0.125,0.5607843137254902,16
EFE/SAA,raw,12,2,56.25,0.125,0.5465587044534412,16
EFE/SAA,raw,12,3,43.75,-0.125,0.41700404858299595,16
EFE/SAA,raw,12,4,50.0,0.0,0.4666666666666667,16
EFE/SAA,raw,12,5,62.5,0.25,0.6190476190476191,16
EFE/SAA,raw,13,1,50.0,0.0,0.5,16
EFE/SAA,raw,13,2,37.5,-0.25,0.36507936507936506,16
EFE/SAA,raw,13,3,56.25,0.125,0.5607843137254902,16
EFE/SAA,raw,13,4,31.25,-0.375,0.2874493927125506,16
EFE/SAA,raw,13,5,56.25,0.125,0.5607843137254902,16
EFE/SAA,raw,14,1,50.0,0.0,0.4920634920634921,16
EFE/SAA,raw,14,2,75.0,0.5,0.7333333333333334,16
EFE/SAA,raw,14,3,56.25,0.125,0.5607843137254902,16
EFE/SAA,raw,14,4,56.25,0.125,0.5465587044534412,16
EFE/SAA,raw,14,5,56.25,0.125,0.5607843137254902,16
EFE/SAA,raw,15,1,43.75,-0.125,0.41700404858299595,16
EFE/SAA,raw,15,2,50.0,0.0,0.5,16
EFE/SAA,raw,15,3,56.25,0.125,0.5607843137254902,16
EFE/SAA,raw,15,4,43.75,-0.125,0.41700404858299595,16
EFE/SAA,raw,15,5,43.75,-0.125,0.43529411764705883,16
EFE/SAA,raw,16,1,25.0,-0.5,0.25,16
EFE/SAA,raw,16,2,56.25,0.125,0.5151515151515151,16
EFE/SAA,raw,16,3,31.25,-0.375,0.30980392156862746,16
EFE/SAA,raw,16,4,50.0,0.0,0.5,16
EFE/SAA,raw,16,5,56.25,0.125,0.5607843137254902,16
EFE/SAA,raw,17,1,37.5,-0.25,0.375,16
EFE/SAA,raw,17,2,50.0,0.0,0.4920634920634921,16
EFE/SAA,raw,17,3,31.25,-0.375,0.2874493927125506,16
EFE/SAA,raw,17,4,56.25,0.125,0.5465587044534412,16
EFE/SAA,raw,17,5,43.75,-0.125,0.43529411764705883,16
EFE/SAA,raw,18,1,81.25,0.625,0.8117647058823529,16
EFE/SAA,raw,18,2,87.5,0.75,0.873015873015873,16
EFE/SAA,raw,18,3,87.5,0.75,0.875,16
EFE/SAA,raw,18,4,75.0,0.5,0.746031746031746,16
EFE/SAA,raw,18,5,93.75,0.875,0.9372549019607843,16
EFE/SFE,fbc,1,1,44.44444444444444,-0.11111111111111116,0.41558441558441556,18
EFE/SFE,fbc,1,2,33.33333333333333,-0.33333333333333337,0.325,18
EFE/SFE,fbc,1,3,61.111111111111114,0.22222222222222232,0.5785953177257526,18
EFE/SFE,fbc,1,4,38.88888888888889,-0.2222222222222222,0.3377926421404682,18
EFE/SFE,fbc,1,5,50.0,0.0,0.4857142857142857,18
EFE/SFE,fbc,2,1,68.75,0.375,0.6862745098039216,16
EFE/SFE,fbc,2,2,56.25,0.125,0.5607843137254902,16
EFE/SFE,fbc,2,3,68.75,0.375,0.6761133603238867,16
EFE/SFE,fbc,2,4,31.25,-0.375,0.30980392156862746,16
EFE/SFE,fbc,2,5,43.75,-0.125,0.43529411764705883,16
EFE/SFE,fbc,3,1,81.25,0.625,0.8117647058823529,16
EFE/SFE,fbc,3,2,81.25,0.625,0.8056680161943319,16
EFE/SFE,fbc,3,3,75.0,0.5,0.75,16
EFE/SFE,fbc,3,4,87.5,0.75,0.873015873015873,16
EFE/SFE,fbc,3,5,50.0,0.0,0.4666666666666667,16
EFE/SFE,fbc,4,1,62.5,0.25,0.6,16
EFE/SFE,fbc,4,2,81.25,0.625,0.8117647058823529,16
EFE/SFE,fbc,4,3,56.25,0.125,0.5465587044534412,16
EFE/SFE,fbc,4,4,50.0,0.0,0.4920634920634921,16
EFE/SFE,fbc,4,5,68.75,0.375,0.6536796536796536,16
EFE/SFE,fbc,5,1,58.82352941176471,0.15602836879432636,0.5641025641025641,17
EFE/SFE,fbc,5,2,62.5,0.25,0.6190476190476191,16
EFE/SFE,fbc,5,3,68.75,0.375,0.6761133603238867,16
EFE/SFE,fbc,5,4,62.5,0.25,0.6190476190476191,16
EFE/SFE,fbc,5,5,75.0,0.5,0.7333333333333334,16
EFE/SFE,fbc,6,1,62.5,0.25,0.6,16
EFE/SFE,fbc,6,2,56.25,0.125,0.5465587044534412,16
EFE/SFE,fbc,6,3,37.5,-0.25,0.36507936507936506,16
EFE/SFE,fbc,6,4,50.0,0.0,0.4666666666666667,16
EFE/SFE,fbc,6,5,43.75,-0.125,0.41700404858299595,16
EFE/SFE,fbc,7,1,62.5,0.25,0.6,16
EFE/SFE,fbc,7,2,43.75,-0.125,0.37662337662337664,16
EFE/SFE,fbc,7,3,56.25,0.125,0.5151515151515151,16
EFE/SFE,fbc,7,4,43.75,-0.125,0.41700404858299595,16
EFE/SFE,fbc,7,5,50.0,0.0,0.4666666666666667,16
EFE/SFE,fbc,8,1,50.0,0.0,0.4666666666666667,16
EFE/SFE,fbc,8,2,56.25,0.125,0.5607843137254902,16
EFE/SFE,fbc,8,3,43.75,-0.125,0.41700404858299595,16
EFE/SFE,fbc,8,4,62.5,0.25,0.6190476190476191,16
EFE/SFE,fbc,8,5,50.0,0.0,0.4666666666666667,16
EFE/SFE,fbc,9,1,62.5,0.25,0.625,16
EFE/SFE,fbc,9,2,68.75,0.375,0.6761133603238867,16
EFE/SFE,fbc,9,3,68.75,0.375,0.6761133603238867,16
EFE/SFE,fbc,9,4,62.5,0.25,0.6190476190476191,16
EFE/SFE,fbc,9,5,50.0,0.0,0.3333333333333333,16
EFE/SFE,fbc,10,1,62.5,0.25,0.6190476190476191,16
EFE/SFE,fbc,10,2,50.0,0.0,0.4666666666666667,16
EFE/SFE,fbc,10,3,56.25,0.125,0.5607843137254902,16
EFE/SFE,fbc,10,4,68.75,0.375,0.6761133603238867,16
EFE/SFE,fbc,10,5,50.0,0.0,0.5,16
EFE/SFE,fbc,11,1,62.5,0.25,0.6190476190476191,16
EFE/SFE,fbc,11,2,75.0,0.5,0.746031746031746,16
EFE/SFE,fbc,11,3,37.5,-0.25,0.375,16
EFE/SFE,fbc,11,4,50.0,0.0,0.4920634920634921,16
EFE/SFE,fbc,11,5,43.75,-0.125,0.41700404858299595,16
EFE/SFE,fbc,12,1,25.0,-0.5,0.23809523809523808,16
EFE/SFE,fbc,12,2,43.75,-0.125,0.43529411764705883,16
EFE/SFE,fbc,12,3,50.0,0.0,0.5,16
EFE/SFE,fbc,12,4,43.75,-0.125,0.37662337662337664,16
EFE/SFE,fbc,12,5,56.25,0.125,0.5465587044534412,16
EFE/SFE,fbc,13,1,50.0,0.0,0.4920634920634921,16
EFE/SFE,fbc,13,2,68.75,0.375,0.6862745098039216,16
EFE/SFE,fbc,13,3,56.25,0.125,0.5607843137254902,16
EFE/SFE,fbc,13,4,68.75,0.375,0.6862745098039216,16
EFE/SFE,fbc,13,5,50.0,0.0,0.5,16
EFE/SFE,fbc,14,1,56.25,0.125,0.5607843137254902,16
EFE/SFE,fbc,14,2,37.5,-0.25,0.36507936507936506,16
EFE/SFE,fbc,14,3,50.0,0.0,0.4920634920634921,16
EFE/SFE,fbc,14,4,56.25,0.125,0.5607843137254902,16
EFE/SFE,fbc,14,5,68.75,0.375,0.6862745098039216,16
EFE/SFE,fbc,15,1,31.25,-0.375,0.30980392156862746,16
EFE/SFE,fbc,15,2,43.75,-0.125,0.43529411764705883,16
EFE/SFE,fbc,15,3,43.75,-0.125,0.37662337662337664,16
EFE/SFE,fbc,15,4,62.5,0.25,0.6190476190476191,16
EFE/SFE,fbc,15,5,37.5,-0.25,0.36507936507936506,16
EFE/SFE,fbc,16,1,50.0,0.0,0.4920634920634921,16
EFE/SFE,fbc,16,2,56.25,0.125,0.5607843137254902,16
EFE/SFE,fbc,16,3,62.5,0.25,0.6190476190476191,16
EFE/SFE,fbc,16,4,62.5,0.25,0.6,16
EFE/SFE,fbc,16,5,43.75,-0.125,0.43529411764705883,16
EFE/SFE,fbc,17,1,31.25,-0.375,0.23809523809523808,16
EFE/SFE,fbc,17,2,50.0,0.0,0.3333333333333333,16
EFE/SFE,fbc,17,3,56.25,0.125,0.5607843137254902,16
EFE/SFE,fbc,17,4,37.5,-0.25,0.36507936507936506,16
EFE/SFE,fbc,17,5,37.5,-0.25,0.375,16
EFE/SFE,fbc,18,1,75.0,0.5,0.746031746031746,16
EFE/SFE,fbc,18,2,68.75,0.375,0.6862745098039216,16
EFE/SFE,fbc,18,3,68.75,0.375,0.6862745098039216,16
EFE/SFE,fbc,18,4,75.0,0.5,0.746031746031746,16
EFE/SFE,fbc,18,5,56.25,0.125,0.5607843137254902,16
