pair,mode,subject,acc,kappa,f1,n
EFE/SAA,raw,18,85.0,0.7,0.85,80
EFE/SFE,fbc,1,45.55555555555556,-0.0888888888888889,0.4554883318928263,90
EFE/SFE,fbc,2,53.75,0.07499999999999996,0.5374277230817315,80
EFE/SFE,fbc,3,75.0,0.5,0.7498436522826767,80
EFE/SFE,fbc,4,63.74999999999999,0.2749999999999999,0.6374433505235193,80
EFE/SFE,fbc,5,65.4320987654321,0.3093788063337394,0.6538461538461539,81
EFE/SFE,fbc,6,50.0,0.0,0.4949494949494949,80
EFE/SFE,fbc,7,51.24999999999999,0.02499999999999991,0.5087387812942843,80
EFE/SFE,fbc,8,52.5,0.050000000000000044,0.5174603174603174,80
EFE/SFE,fbc,9,62.5,0.25,0.609375,80
EFE/SFE,fbc,10,57.49999999999999,0.1499999999999999,0.5739348370927319,80
EFE/SFE,fbc,11,53.75,0.07499999999999996,0.5374277230817315,80
EFE/SFE,fbc,12,43.75,-0.125,0.43529411764705883,80
EFE/SFE,fbc,13,58.75,0.17500000000000004,0.5869191049913942,80
EFE/SFE,fbc,14,53.75,0.07499999999999996,0.5374277230817315,80
EFE/SFE,fbc,15,43.75,-0.125,0.43741209563994377,80
EFE/SFE,fbc,16,55.00000000000001,0.10000000000000009,0.5488721804511278,80
EFE/SFE,fbc,17,42.5,-0.15000000000000002,0.41587301587301584,80
EFE/SFE,fbc,18,68.75,0.375,0.6874511642444132,80
EFE/SFE,raw,1,48.888888888888886,-0.022222222222222254,0.48481831757093086,90
EFE/SFE,raw,2,51.24999999999999,0.02499999999999991,0.5124238162212846,80
EFE/SFE,raw,3,80.0,0.6000000000000001,0.7998749218261414,80
EFE/SFE,raw,4,51.24999999999999,0.02499999999999991,0.5124238162212846,80
EFE/SFE,raw,5,50.617283950617285,0.012195121951219523,0.5060975609756098,81
EFE/SFE,raw,6,52.5,0.050000000000000044,0.5202020202020202,80
EFE/SFE,raw,7,58.75,0.17500000000000004,0.5874355368026254,80
EFE/SFE,raw,8,46.25,-0.07499999999999996,0.46241600250039067,80
EFE/SFE,raw,9,61.25000000000001,0.2250000000000001,0.6119543107494915,80
EFE/SFE,raw,10,48.75,-0.025000000000000022,0.48354589828373484,80
EFE/SFE,raw,11,50.0,0.0,0.4996873045653534,80
EFE/SFE,raw,12,42.5,-0.15000000000000002,0.4235588972431078,80
EFE/SFE,raw,13,61.25000000000001,0.2250000000000001,0.6019900497512438,80
EFE/SFE,raw,14,52.5,0.050000000000000044,0.5247029393370857,80
EFE/SFE,raw,15,42.5,-0.15000000000000002,0.4191919191919192,80
EFE/SFE,raw,16,56.25,0.125,0.5607843137254902,80
EFE/SFE,raw,17,41.25,-0.17500000000000004,0.41019607843137257,80
EFE/SFE,raw,18,76.25,0.5249999999999999,0.7621655452980755,80
EFE/SPS,fbc,1,42.22222222222222,-0.15555555555555556,0.4117647058823529,90
EFE/SPS,fbc,2,48.75,-0.025000000000000022,0.4874199093608376,80
EFE/SPS,fbc,3,60.0,0.19999999999999996,0.5989974937343359,80
EFE/SPS,fbc,4,61.25000000000001,0.2250000000000001,0.6124394436630723,80
EFE/SPS,fbc,5,42.5,-0.15000000000000002,0.4191919191919192,80
EFE/SPS,fbc,6,56.25,0.125,0.5607843137254902,80
EFE/SPS,fbc,7,52.5,0.050000000000000044,0.525,80
EFE/SPS,fbc,8,56.25,0.125,0.5607843137254902,80
EFE/SPS,fbc,9,71.25,0.42500000000000004,0.7120951337818808,80
EFE/SPS,fbc,10,65.0,0.30000000000000004,0.6497811131957474,80
EFE/SPS,fbc,11,61.25000000000001,0.2250000000000001,0.6119543107494915,80
EFE/SPS,fbc,12,52.5,0.050000000000000044,0.525,80
EFE/SPS,fbc,13,65.0,0.30000000000000004,0.6497811131957474,80
EFE/SPS,fbc,14,53.75,0.07499999999999996,0.5339316643048339,80
EFE/SPS,fbc,15,57.49999999999999,0.1499999999999999,0.575,80
EFE/SPS,fbc,16,50.0,0.0,0.4996873045653534,80
EFE/SPS,fbc,17,52.5,0.050000000000000044,0.525,80
EFE/SPS,fbc,18,66.25,0.32499999999999996,0.6624472573839661,80
EFE/SPS,raw,1,53.333333333333336,0.06666666666666665,0.5324096981692232,90
EFE/SPS,raw,2,62.5,0.25,0.6240601503759399,80
EFE/SPS,raw,3,58.75,0.17500000000000004,0.5874355368026254,80
EFE/SPS,raw,4,66.25,0.32499999999999996,0.6624472573839661,80
EFE/SPS,raw,5,47.5,-0.050000000000000044,0.47203016970458833,80
EFE/SPS,raw,6,48.75,-0.025000000000000022,0.48549019607843136,80
EFE/SPS,raw,7,66.25,0.32499999999999996,0.6620247222656861,80
EFE/SPS,raw,8,62.5,0.25,0.6190476190476191,80
EFE/SPS,raw,9,68.75,0.375,0.6870599280237835,80
EFE/SPS,raw,10,62.5,0.25,0.6247654784240151,80
EFE/SPS,raw,11,61.25000000000001,0.2250000000000001,0.6095103133364824,80
EFE/SPS,raw,12,58.75,0.17500000000000004,0.5874355368026254,80
EFE/SPS,raw,13,56.25,0.125,0.550633927138501,80
EFE/SPS,raw,14,43.75,-0.125,0.43741209563994377,80
EFE/SPS,raw,15,47.5,-0.050000000000000044,0.47203016970458833,80
EFE/SPS,raw,16,55.00000000000001,0.10000000000000009,0.55,80
EFE/SPS,raw,17,50.0,0.0,0.497171590194846,80
EFE/SPS,raw,18,66.25,0.32499999999999996,0.6620247222656861,80
EPS/EFE,fbc,1,65.55555555555556,0.3111111111111111,0.6551724137931034,90
EPS/EFE,fbc,2,53.75,0.07499999999999996,0.5339316643048339,80
EPS/EFE,fbc,3,52.5,0.050000000000000044,0.5223130106851037,80
EPS/EFE,fbc,4,61.25000000000001,0.2250000000000001,0.6119543107494915,80
EPS/EFE,fbc,5,42.5,-0.15000000000000002,0.425,80
EPS/EFE,fbc,6,52.5,0.050000000000000044,0.5247029393370857,80
EPS/EFE,fbc,7,58.75,0.17500000000000004,0.5858823529411765,80
EPS/EFE,fbc,8,51.24999999999999,0.02499999999999991,0.49473684210526314,80
EPS/EFE,fbc,9,63.74999999999999,0.2749999999999999,0.6305144131231089,80
EPS/EFE,fbc,10,55.00000000000001,0.10000000000000009,0.5474544311753614,80
EPS/EFE,fbc,11,48.75,-0.025000000000000022,0.4809305269821174,80
EPS/EFE,fbc,12,46.25,-0.07499999999999996,0.4617430762009075,80
EPS/EFE,fbc,13,65.0,0.30000000000000004,0.6480201131363922,80
EPS/EFE,fbc,14,51.24999999999999,0.02499999999999991,0.5124238162212846,80
EPS/EFE,fbc,15,48.75,-0.025000000000000022,0.48549019607843136,80
EPS/EFE,fbc,16,65.0,0.30000000000000004,0.6419437340153453,80
EPS/EFE,fbc,17,50.0,0.0,0.4920634920634921,80
EPS/EFE,fbc,18,56.25,0.125,0.5607843137254902,80
EPS/EFE,raw,1,64.44444444444444,0.288888888888889,0.6437407224146462,90
EPS/EFE,raw,2,42.5,-0.15000000000000002,0.425,80
EPS/EFE,raw,3,48.75,-0.025000000000000022,0.48549019607843136,80
EPS/EFE,raw,4,50.0,0.0,0.4996873045653534,80
EPS/EFE,raw,5,50.0,0.0,0.497171590194846,80
EPS/EFE,raw,6,56.25,0.125,0.5618838992332968,80
EPS/EFE,raw,7,63.74999999999999,0.2749999999999999,0.6360784313725489,80
EPS/EFE,raw,8,51.24999999999999,0.02499999999999991,0.5118134877171022,80
EPS/EFE,raw,9,63.74999999999999,0.2749999999999999,0.634703196347032,80
EPS/EFE,raw,10,43.75,-0.125,0.43741209563994377,80
EPS/EFE,raw,11,62.5,0.25,0.6240601503759399,80
EPS/EFE,raw,12,50.0,0.0,0.4987468671679198,80
EPS/EFE,raw,13,46.25,-0.07499999999999996,0.45561006488368416,80
EPS/EFE,raw,14,57.49999999999999,0.1499999999999999,0.5725958516656191,80
EPS/EFE,raw,15,57.49999999999999,0.1499999999999999,0.5747342088805503,80
EPS/EFE,raw,16,67.5,0.3500000000000001,0.6747967479674797,80
EPS/EFE,raw,17,58.75,0.17500000000000004,0.5874355368026254,80
EPS/EFE,raw,18,43.75,-0.125,0.43529411764705883,80
EPS/SAA,fbc,1,60.0,0.19999999999999996,0.6,90
EPS/SAA,fbc,2,53.75,0.07499999999999996,0.5368486934751995,80
EPS/SAA,fbc,3,86.25,0.7250000000000001,0.8624785122675418,80
EPS/SAA,fbc,4,68.75,0.375,0.6874511642444132,80
EPS/SAA,fbc,5,50.0,0.0,0.48849104859335035,80
EPS/SAA,fbc,6,62.5,0.25,0.6212121212121212,80
EPS/SAA,fbc,7,80.0,0.6000000000000001,0.7998749218261414,80
EPS/SAA,fbc,8,45.0,-0.09999999999999998,0.4373401534526854,80
EPS/SAA,fbc,9,61.25000000000001,0.2250000000000001,0.6050326485109094,80
EPS/SAA,fbc,10,53.75,0.07499999999999996,0.5339316643048339,80
EPS/SAA,fbc,11,47.5,-0.050000000000000044,0.475,80
EPS/SAA,fbc,12,56.25,0.125,0.5540691192865106,80
EPS/SAA,fbc,13,66.25,0.32499999999999996,0.6620247222656861,80
EPS/SAA,fbc,14,65.0,0.30000000000000004,0.6480201131363922,80
EPS/SAA,fbc,15,47.5,-0.050000000000000044,0.474671669793621,80
EPS/SAA,fbc,16,62.5,0.25,0.6228786926461345,80
EPS/SAA,fbc,17,58.75,0.17500000000000004,0.57955088389871,80
EPS/SAA,fbc,18,73.75,0.4750000000000001,0.7374589779653071,80
EPS/SAA,raw,1,58.88888888888889,0.1777777777777778,0.5863867842504037,90
EPS/SAA,raw,2,66.25,0.32499999999999996,0.6624472573839661,80
EPS/SAA,raw,3,81.25,0.625,0.8122359568142701,80
EPS/SAA,raw,4,71.25,0.42500000000000004,0.7124550711048601,80
EPS/SAA,raw,5,46.25,-0.07499999999999996,0.4617430762009075,80
EPS/SAA,raw,6,66.25,0.32499999999999996,0.6581737616711505,80
EPS/SAA,raw,7,78.75,0.575,0.7866666666666666,80
EPS/SAA,raw,8,40.0,-0.19999999999999996,0.3904761904761905,80
EPS/SAA,raw,9,61.25000000000001,0.2250000000000001,0.6119543107494915,80
EPS/SAA,raw,10,45.0,-0.09999999999999998,0.44965603502188867,80
EPS/SAA,raw,11,62.5,0.25,0.625,80
EPS/SAA,raw,12,58.75,0.17500000000000004,0.5869191049913942,80
EPS/SAA,raw,13,55.00000000000001,0.10000000000000009,0.549718574108818,80
EPS/SAA,raw,14,50.0,0.0,0.5,80
EPS/SAA,raw,15,43.75,-0.125,0.43529411764705883,80
EPS/SAA,raw,16,63.74999999999999,0.2749999999999999,0.6360784313725489,80
EPS/SAA,raw,17,58.75,0.17500000000000004,0.5858823529411765,80
EPS/SAA,raw,18,80.0,0.6000000000000001,0.8,80
EPS/SFE,fbc,1,50.0,0.0,0.4999382639832078,90
EPS/SFE,fbc,2,53.75,0.07499999999999996,0.5339316643048339,80
EPS/SFE,fbc,3,72.5,0.44999999999999996,0.725,80
EPS/SFE,fbc,4,71.25,0.42500000000000004,0.7102818453786806,80
EPS/SFE,fbc,5,60.49382716049383,0.20927394752898112,0.6043956043956045,81
EPS/SFE,fbc,6,65.0,0.30000000000000004,0.6491228070175439,80
EPS/SFE,fbc,7,63.74999999999999,0.2749999999999999,0.6328532995727172,80
EPS/SFE,fbc,8,52.5,0.050000000000000044,0.5202020202020202,80
EPS/SFE,fbc,9,52.5,0.050000000000000044,0.4933333333333333,80
EPS/SFE,fbc,10,62.5,0.25,0.6240601503759399,80
EPS/SFE,fbc,11,52.5,0.050000000000000044,0.5202020202020202,80
EPS/SFE,fbc,12,41.25,-0.17500000000000004,0.4124081887794968,80
EPS/SFE,fbc,13,61.25000000000001,0.2250000000000001,0.6119543107494915,80
EPS/SFE,fbc,14,47.5,-0.050000000000000044,0.4696969696969697,80
EPS/SFE,fbc,15,38.75,-0.22499999999999998,0.38740428191904985,80
EPS/SFE,fbc,16,63.74999999999999,0.2749999999999999,0.6374433505235193,80
EPS/SFE,fbc,17,58.75,0.17500000000000004,0.5843174303259329,80
EPS/SFE,fbc,18,75.0,0.5,0.7498436522826767,80
EPS/SFE,raw,1,48.888888888888886,-0.022222222222222254,0.4888888888888889,90
EPS/SFE,raw,2,61.25000000000001,0.2250000000000001,0.6095103133364824,80
EPS/SFE,raw,3,73.75,0.4750000000000001,0.7374589779653071,80
EPS/SFE,raw,4,68.75,0.375,0.6874511642444132,80
EPS/SFE,raw,5,48.148148148148145,-0.037195121951219615,0.4814024390243902,81
EPS/SFE,raw,6,67.5,0.3500000000000001,0.6747967479674797,80
EPS/SFE,raw,7,71.25,0.42500000000000004,0.7124550711048601,80
EPS/SFE,raw,8,53.75,0.07499999999999996,0.5339316643048339,80
EPS/SFE,raw,9,46.25,-0.07499999999999996,0.45835301527318534,80
EPS/SFE,raw,10,57.49999999999999,0.1499999999999999,0.575,80
EPS/SFE,raw,11,52.5,0.050000000000000044,0.525,80
EPS/SFE,raw,12,47.5,-0.050000000000000044,0.4736842105263158,80
EPS/SFE,raw,13,62.5,0.25,0.6190476190476191,80
EPS/SFE,raw,14,56.25,0.125,0.5618838992332968,80
EPS/SFE,raw,15,45.0,-0.09999999999999998,0.44688874921433064,80
EPS/SFE,raw,16,60.0,0.19999999999999996,0.5989974937343359,80
EPS/SFE,raw,17,52.5,0.050000000000000044,0.5238095238095238,80
EPS/SFE,raw,18,72.5,0.44999999999999996,0.7243107769423559,80
EPS/SPS,fbc,1,57.77777777777777,0.15555555555555545,0.5769421078673924,90
EPS/SPS,fbc,2,46.25,-0.07499999999999996,0.46039215686274515,80
EPS/SPS,fbc,3,73.75,0.4750000000000001,0.7371303395399781,80
EPS/SPS,fbc,4,57.49999999999999,0.1499999999999999,0.5725958516656191,80
EPS/SPS,fbc,5,55.00000000000001,0.10000000000000009,0.55,80
EPS/SPS,fbc,6,57.49999999999999,0.1499999999999999,0.575,80
EPS/SPS,fbc,7,76.25,0.5249999999999999,0.7621655452980755,80
EPS/SPS,fbc,8,56.25,0.125,0.5607843137254902,80
EPS/SPS,fbc,9,65.0,0.30000000000000004,0.6491228070175439,80
EPS/SPS,fbc,10,67.5,0.3500000000000001,0.6741854636591479,80
EPS/SPS,fbc,11,58.75,0.17500000000000004,0.57955088389871,80
EPS/SPS,fbc,12,55.00000000000001,0.10000000000000009,0.5454545454545454,80
EPS/SPS,fbc,13,66.25,0.32499999999999996,0.6624472573839661,80
EPS/SPS,fbc,14,40.0,-0.19999999999999996,0.39849624060150374,80
EPS/SPS,fbc,15,52.5,0.050000000000000044,0.525,80
EPS/SPS,fbc,16,53.75,0.07499999999999996,0.5374277230817315,80
EPS/SPS,fbc,17,57.49999999999999,0.1499999999999999,0.5747342088805503,80
EPS/SPS,fbc,18,63.74999999999999,0.2749999999999999,0.6369895165075887,80
EPS/SPS,raw,1,48.888888888888886,-0.022222222222222254,0.48863636363636365,90
EPS/SPS,raw,2,53.75,0.07499999999999996,0.5339316643048339,80
EPS/SPS,raw,3,63.74999999999999,0.2749999999999999,0.6369895165075887,80
EPS/SPS,raw,4,65.0,0.30000000000000004,0.6491228070175439,80
EPS/SPS,raw,5,57.49999999999999,0.1499999999999999,0.575,80
EPS/SPS,raw,6,50.0,0.0,0.497171590194846,80
EPS/SPS,raw,7,72.5,0.44999999999999996,0.7248280175109443,80
EPS/SPS,raw,8,62.5,0.25,0.625,80
EPS/SPS,raw,9,65.0,0.30000000000000004,0.6491228070175439,80
EPS/SPS,raw,10,65.0,0.30000000000000004,0.6491228070175439,80
EPS/SPS,raw,11,47.5,-0.050000000000000044,0.474671669793621,80
EPS/SPS,raw,12,56.25,0.125,0.5607843137254902,80
EPS/SPS,raw,13,66.25,0.32499999999999996,0.6620247222656861,80
EPS/SPS,raw,14,56.25,0.125,0.5618838992332968,80
EPS/SPS,raw,15,52.5,0.050000000000000044,0.5223130106851037,80
EPS/SPS,raw,16,53.75,0.07499999999999996,0.5339316643048339,80
EPS/SPS,raw,17,43.75,-0.125,0.43741209563994377,80
EPS/SPS,raw,18,63.74999999999999,0.2749999999999999,0.6369895165075887,80
HOC/EFE,fbc,1,71.11111111111111,0.4222222222222223,0.7105393369619001,90
HOC/EFE,fbc,2,50.0,0.0,0.497171590194846,80
HOC/EFE,fbc,3,55.00000000000001,0.10000000000000009,0.55,80
HOC/EFE,fbc,4,71.25,0.42500000000000004,0.7124550711048601,80
HOC/EFE,fbc,5,47.5,-0.050000000000000044,0.474671669793621,80
HOC/EFE,fbc,6,51.24999999999999,0.02499999999999991,0.5124238162212846,80
HOC/EFE,fbc,7,67.5,0.3500000000000001,0.6675191815856778,80
HOC/EFE,fbc,8,41.25,-0.17500000000000004,0.40496914068681755,80
HOC/EFE,fbc,9,65.0,0.30000000000000004,0.638942617666022,80
HOC/EFE,fbc,10,65.0,0.30000000000000004,0.65,80
HOC/EFE,fbc,11,47.5,-0.050000000000000044,0.474671669793621,80
HOC/EFE,fbc,12,50.0,0.0,0.4996873045653534,80
HOC/EFE,fbc,13,61.25000000000001,0.2250000000000001,0.6119543107494915,80
HOC/EFE,fbc,14,56.25,0.125,0.5624316299421784,80
HOC/EFE,fbc,15,56.25,0.125,0.5624316299421784,80
HOC/EFE,fbc,16,50.0,0.0,0.48849104859335035,80
HOC/EFE,fbc,17,61.25000000000001,0.2250000000000001,0.6095103133364824,80
HOC/EFE,fbc,18,68.75,0.375,0.6862745098039216,80
HOC/EFE,raw,1,71.11111111111111,0.4222222222222223,0.7109683794466404,90
HOC/EFE,raw,2,56.25,0.125,0.5618838992332968,80
HOC/EFE,raw,3,52.5,0.050000000000000044,0.525,80
HOC/EFE,raw,4,76.25,0.5249999999999999,0.762462884825754,80
HOC/EFE,raw,5,52.5,0.050000000000000044,0.5223130106851037,80
HOC/EFE,raw,6,56.25,0.125,0.5568919132774173,80
HOC/EFE,raw,7,76.25,0.5249999999999999,0.7615686274509804,80
HOC/EFE,raw,8,56.25,0.125,0.5607843137254902,80
HOC/EFE,raw,9,58.75,0.17500000000000004,0.5869191049913942,80
HOC/EFE,raw,10,68.75,0.375,0.6874511642444132,80
HOC/EFE,raw,11,57.49999999999999,0.1499999999999999,0.5747342088805503,80
HOC/EFE,raw,12,52.5,0.050000000000000044,0.525,80
HOC/EFE,raw,13,52.5,0.050000000000000044,0.5238095238095238,80
HOC/EFE,raw,14,55.00000000000001,0.10000000000000009,0.5428571428571428,80
HOC/EFE,raw,15,53.75,0.07499999999999996,0.5339316643048339,80
HOC/EFE,raw,16,55.00000000000001,0.10000000000000009,0.5428571428571428,80
HOC/EFE,raw,17,68.75,0.375,0.6874511642444132,80
HOC/EFE,raw,18,58.75,0.17500000000000004,0.5724696356275304,80
HOC/EPS,fbc,1,53.333333333333336,0.06666666666666665,0.53125,90
HOC/EPS,fbc,2,47.5,-0.050000000000000044,0.474671669793621,80
HOC/EPS,fbc,3,56.25,0.125,0.5624316299421784,80
HOC/EPS,fbc,4,66.25,0.32499999999999996,0.6533461723639865,80
HOC/EPS,fbc,5,53.75,0.07499999999999996,0.5368486934751995,80
HOC/EPS,fbc,6,47.5,-0.050000000000000044,0.474671669793621,80
HOC/EPS,fbc,7,66.25,0.32499999999999996,0.6559961777353083,80
HOC/EPS,fbc,8,52.5,0.050000000000000044,0.5174603174603174,80
HOC/EPS,fbc,9,60.0,0.19999999999999996,0.6,80
HOC/EPS,fbc,10,67.5,0.3500000000000001,0.6731615336266499,80
HOC/EPS,fbc,11,53.75,0.07499999999999996,0.5368486934751995,80
HOC/EPS,fbc,12,45.0,-0.09999999999999998,0.44965603502188867,80
HOC/EPS,fbc,13,41.25,-0.17500000000000004,0.4124081887794968,80
HOC/EPS,fbc,14,52.5,0.050000000000000044,0.525,80
HOC/EPS,fbc,15,53.75,0.07499999999999996,0.5374277230817315,80
HOC/EPS,fbc,16,72.5,0.44999999999999996,0.7234443746071653,80
HOC/EPS,fbc,17,50.0,0.0,0.4996873045653534,80
HOC/EPS,fbc,18,50.0,0.0,0.4791666666666667,80
HOC/EPS,raw,1,55.55555555555556,0.11111111111111116,0.5553359683794465,90
HOC/EPS,raw,2,47.5,-0.050000000000000044,0.47203016970458833,80
HOC/EPS,raw,3,62.5,0.25,0.6228786926461345,80
HOC/EPS,raw,4,77.5,0.55,0.775,80
HOC/EPS,raw,5,48.75,-0.025000000000000022,0.48549019607843136,80
HOC/EPS,raw,6,55.00000000000001,0.10000000000000009,0.5474544311753614,80
HOC/EPS,raw,7,71.25,0.42500000000000004,0.7102818453786806,80
HOC/EPS,raw,8,47.5,-0.050000000000000044,0.4736842105263158,80
HOC/EPS,raw,9,46.25,-0.07499999999999996,0.44291497975708505,80
HOC/EPS,raw,10,65.0,0.30000000000000004,0.6491228070175439,80
HOC/EPS,raw,11,52.5,0.050000000000000044,0.5247029393370857,80
HOC/EPS,raw,12,55.00000000000001,0.10000000000000009,0.549718574108818,80
HOC/EPS,raw,13,46.25,-0.07499999999999996,0.452142060837713,80
HOC/EPS,raw,14,51.24999999999999,0.02499999999999991,0.5124238162212846,80
HOC/EPS,raw,15,62.5,0.25,0.6247654784240151,80
HOC/EPS,raw,16,68.75,0.375,0.685088962368131,80
HOC/EPS,raw,17,57.49999999999999,0.1499999999999999,0.575,80
HOC/EPS,raw,18,57.49999999999999,0.1499999999999999,0.5572916666666667,80
HOC/SAA,fbc,1,68.88888888888889,0.37777777777777777,0.6882731321128155,90
HOC/SAA,fbc,2,51.24999999999999,0.02499999999999991,0.5105882352941176,80
HOC/SAA,fbc,3,93.75,0.875,0.9374119856047567,80
HOC/SAA,fbc,4,82.5,0.6499999999999999,0.8248905565978737,80
HOC/SAA,fbc,5,51.24999999999999,0.02499999999999991,0.5105882352941176,80
HOC/SAA,fbc,6,56.25,0.125,0.5568919132774173,80
HOC/SAA,fbc,7,55.00000000000001,0.10000000000000009,0.5488721804511278,80
HOC/SAA,fbc,8,41.25,-0.17500000000000004,0.3910931174089069,80
HOC/SAA,fbc,9,60.0,0.19999999999999996,0.5936507936507937,80
HOC/SAA,fbc,10,70.0,0.3999999999999999,0.6992481203007519,80
HOC/SAA,fbc,11,46.25,-0.07499999999999996,0.46241600250039067,80
HOC/SAA,fbc,12,67.5,0.3500000000000001,0.6717171717171717,80
HOC/SAA,fbc,13,61.25000000000001,0.2250000000000001,0.6075328374742839,80
HOC/SAA,fbc,14,50.0,0.0,0.4996873045653534,80
HOC/SAA,fbc,15,56.25,0.125,0.5607843137254902,80
HOC/SAA,fbc,16,55.00000000000001,0.10000000000000009,0.5474544311753614,80
HOC/SAA,fbc,17,66.25,0.32499999999999996,0.6620247222656861,80
HOC/SAA,fbc,18,85.0,0.7,0.85,80
HOC/SAA,raw,1,68.88888888888889,0.37777777777777777,0.6887351778656126,90
HOC/SAA,raw,2,62.5,0.25,0.6247654784240151,80
HOC/SAA,raw,3,83.75,0.675,0.8372711625723674,80
HOC/SAA,raw,4,83.75,0.675,0.8368627450980393,80
HOC/SAA,raw,5,62.5,0.25,0.6247654784240151,80
HOC/SAA,raw,6,55.00000000000001,0.10000000000000009,0.5396419437340154,80
HOC/SAA,raw,7,73.75,0.4750000000000001,0.7371303395399781,80
HOC/SAA,raw,8,61.25000000000001,0.2250000000000001,0.6124394436630723,80
HOC/SAA,raw,9,67.5,0.3500000000000001,0.6747967479674797,80
HOC/SAA,raw,10,67.5,0.3500000000000001,0.6741854636591479,80
HOC/SAA,raw,11,55.00000000000001,0.10000000000000009,0.5454545454545454,80
HOC/SAA,raw,12,63.74999999999999,0.2749999999999999,0.6369895165075887,80
HOC/SAA,raw,13,53.75,0.07499999999999996,0.5356862745098039,80
HOC/SAA,raw,14,50.0,0.0,0.497171590194846,80
HOC/SAA,raw,15,61.25000000000001,0.2250000000000001,0.6109803921568627,80
HOC/SAA,raw,16,55.00000000000001,0.10000000000000009,0.55,80
HOC/SAA,raw,17,75.0,0.5,0.746031746031746,80
HOC/SAA,raw,18,87.5,0.75,0.8749218261413383,80
HOC/SFE,fbc,1,70.0,0.3999999999999999,0.6999629583899247,90
HOC/SFE,fbc,2,50.0,0.0,0.497171590194846,80
HOC/SFE,fbc,3,81.25,0.625,0.8122359568142701,80
HOC/SFE,fbc,4,82.5,0.6499999999999999,0.8245614035087719,80
HOC/SFE,fbc,5,60.49382716049383,0.20879120879120888,0.6034271725826194,81
HOC/SFE,fbc,6,60.0,0.19999999999999996,0.5997498436522827,80
HOC/SFE,fbc,7,61.25000000000001,0.2250000000000001,0.6119543107494915,80
HOC/SFE,fbc,8,56.25,0.125,0.5465587044534412,80
HOC/SFE,fbc,9,58.75,0.17500000000000004,0.5858823529411765,80
HOC/SFE,fbc,10,66.25,0.32499999999999996,0.6611764705882353,80
HOC/SFE,fbc,11,57.49999999999999,0.1499999999999999,0.5747342088805503,80
HOC/SFE,fbc,12,42.5,-0.15000000000000002,0.42174732872407295,80
HOC/SFE,fbc,13,65.0,0.30000000000000004,0.6480201131363922,80
HOC/SFE,fbc,14,46.25,-0.07499999999999996,0.46241600250039067,80
HOC/SFE,fbc,15,48.75,-0.025000000000000022,0.4874199093608376,80
HOC/SFE,fbc,16,56.25,0.125,0.5591245473153834,80
HOC/SFE,fbc,17,72.5,0.44999999999999996,0.7248280175109443,80
HOC/SFE,fbc,18,83.75,0.675,0.8374746054070948,80
