pair,mode,subject,acc,kappa,f1,n
EFE/SAA,fbc,1,43.333333333333336,-0.1333333333333333,0.42473994234866524,90
EFE/SAA,fbc,2,60.0,0.19999999999999996,0.6,80
EFE/SAA,fbc,3,70.0,0.3999999999999999,0.6992481203007519,80
EFE/SAA,fbc,4,63.74999999999999,0.2749999999999999,0.6374433505235193,80
EFE/SAA,fbc,5,36.25,-0.275,0.35021500238891545,80
EFE/SAA,fbc,6,56.25,0.125,0.5624316299421784,80
EFE/SAA,fbc,7,60.0,0.19999999999999996,0.5977372721558768,80
EFE/SAA,fbc,8,48.75,-0.025000000000000022,0.47762382544991244,80
EFE/SAA,fbc,9,68.75,0.375,0.6790242336703579,80
EFE/SAA,fbc,10,52.5,0.050000000000000044,0.525,80
EFE/SAA,fbc,11,60.0,0.19999999999999996,0.5977372721558768,80
EFE/SAA,fbc,12,46.25,-0.07499999999999996,0.4617430762009075,80
EFE/SAA,fbc,13,43.75,-0.125,0.43529411764705883,80
EFE/SAA,fbc,14,61.25000000000001,0.2250000000000001,0.6095103133364824,80
EFE/SAA,fbc,15,46.25,-0.07499999999999996,0.4617430762009075,80
EFE/SAA,fbc,16,47.5,-0.050000000000000044,0.47203016970458833,80
EFE/SAA,fbc,17,52.5,0.050000000000000044,0.5238095238095238,80
EFE/SAA,fbc,18,72.5,0.44999999999999996,0.7248280175109443,80
EFE/SAA,raw,1,41.11111111111111,-0.1777777777777778,0.40928792569659445,90
EFE/SAA,raw,2,71.25,0.42500000000000004,0.7120951337818808,80
EFE/SAA,raw,3,71.25,0.42500000000000004,0.7124550711048601,80
EFE/SAA,raw,4,62.5,0.25,0.6240601503759399,80
EFE/SAA,raw,5,46.25,-0.07499999999999996,0.46241600250039067,80
EFE/SAA,raw,6,40.0,-0.19999999999999996,0.4,80
EFE/SAA,raw,7,62.5,0.25,0.625,80
EFE/SAA,raw,8,38.75,-0.22499999999999998,0.37964867858838425,80
EFE/SAA,raw,9,67.5,0.3500000000000001,0.6717171717171717,80
EFE/SAA,raw,10,58.75,0.17500000000000004,0.5858823529411765,80
EFE/SAA,raw,11,47.5,-0.050000000000000044,0.4736842105263158,80
EFE/SAA,raw,12,53.75,0.07499999999999996,0.5356862745098039,80
EFE/SAA,raw,13,46.25,-0.07499999999999996,0.46039215686274515,80
EFE/SAA,raw,14,58.75,0.17500000000000004,0.5874355368026254,80
EFE/SAA,raw,15,47.5,-0.050000000000000044,0.475,80
EFE/SAA,raw,16,43.75,-0.125,0.43529411764705883,80
EFE/SAA,raw,17,43.75,-0.125,0.43741209563994377,80
