subject,800,1500,3000,4000
1,52.22222222222223,61.111111111111114,58.88888888888889,51.11111111111111
2,62.5,68.75,66.25,65.0
3,60.0,81.25,77.5,65.0
4,83.75,95.0,82.5,81.25
5,80.0,80.0,81.25,78.75
6,61.25000000000001,68.75,65.0,76.25
7,71.25,91.25,87.5,88.75
8,56.25,60.0,53.75,66.25
9,60.0,63.74999999999999,53.75,51.24999999999999
10,67.5,53.75,48.75,51.24999999999999
11,63.74999999999999,77.5,78.75,77.5
12,70.0,61.25000000000001,67.5,67.5
13,58.75,70.0,75.0,76.25
14,67.5,72.5,66.25,65.0
15,62.5,68.75,68.75,65.0
16,48.75,47.5,47.5,48.75
17,46.25,63.74999999999999,62.5,63.74999999999999
18,83.75,85.0,81.25,77.5
