pair,model,subject,window_ms,accuracy,n_test
EPS/SPS,fine_gru_cwt,15,4000,52.5,80
EPS/SPS,fine_gru_cwt,16,800,38.75,80
EPS/SPS,fine_gru_cwt,16,1500,51.24999999999999,80
EPS/SPS,fine_gru_cwt,16,3000,40.0,80
EPS/SPS,fine_gru_cwt,16,4000,46.25,80
EPS/SPS,fine_gru_cwt,17,800,70.0,80
EPS/SPS,fine_gru_cwt,17,1500,67.5,80
EPS/SPS,fine_gru_cwt,17,3000,63.74999999999999,80
EPS/SPS,fine_gru_cwt,17,4000,60.0,80
EPS/SPS,fine_gru_cwt,18,800,60.0,80
EPS/SPS,fine_gru_cwt,18,1500,68.75,80
EPS/SPS,fine_gru_cwt,18,3000,67.5,80
EPS/SPS,fine_gru_cwt,18,4000,77.5,80
