pair,model,800,1500,3000,4000,avg
WAA_SAA,fine_gru,11.6549,12.8069,12.3751,11.4442,10.5577
WAA_SAA,fine_gru_cwt,9.6372,11.3267,8.227,7.9377,7.3525
HOC_WFE,fine_gru,7.0569,9.2733,8.6094,10.6783,8.1019
HOC_WFE,fine_gru_cwt,8.852,6.4463,4.7648,6.5465,4.5114
EPS_SPS,fine_gru,11.5404,11.7027,10.6594,10.3179,9.6608
EPS_SPS,fine_gru_cwt,13.8037,10.6899,9.4323,10.0487,8.776
