model,window,mean_acc,sd_acc,n_subjects,n_pairs,n_pairs_best
fine_gru,800,65.25462962962962,7.994507521314337,18,3,3
fine_gru,1500,68.19444444444443,8.363914475858603,18,3,3
fine_gru,3000,65.05144032921811,8.225747187334665,18,3,3
fine_gru,4000,64.7067901234568,7.943622964876765,18,3,3
fine_gru,avg,65.80182613168724,7.4928476925276675,18,3,3
fine_gru_cwt,800,59.93055555555556,8.514273386918555,18,3,0
fine_gru_cwt,1500,61.594650205761305,7.688879178595063,18,3,0
fine_gru_cwt,3000,59.1820987654321,4.755479030733765,18,3,0
fine_gru_cwt,4000,58.53395061728395,6.408612320120777,18,3,0
fine_gru_cwt,avg,59.81031378600822,5.642537095586478,18,3,0
