pair,model,window,mean_acc,sd_acc,n_subjects
HOC_WFE,conformer_a,800,60.956790123456784,9.481842632521362,18
HOC_WFE,conformer_a,1500,60.77932098765432,9.903783085778429,18
HOC_WFE,conformer_a,3000,61.50462962962964,11.636988590246531,18
HOC_WFE,conformer_a,4000,61.172839506172835,12.353923354728186,18
HOC_WFE,conformer_a,avg,61.10339506172839,9.419221801122406,18
HOC_WFE,conformer_b,800,61.82098765432099,8.341076044758424,18
HOC_WFE,conformer_b,1500,62.731481481481474,8.050623912997413,18
HOC_WFE,conformer_b,3000,57.15277777777778,9.585198028305417,18
HOC_WFE,conformer_b,4000,58.973765432098766,9.937639035088011,18
HOC_WFE,conformer_b,avg,60.16975308641976,8.233340107920224,18
HOC_WFE,conformer_b_cwt,800,58.2253086419753,9.636592505308629,18
HOC_WFE,conformer_b_cwt,1500,58.91203703703703,6.603776414041601,18
HOC_WFE,conformer_b_cwt,3000,58.47993827160494,6.026688145509739,18
HOC_WFE,conformer_b_cwt,4000,56.01851851851852,5.179029765322305,18
HOC_WFE,conformer_b_cwt,avg,57.90895061728395,4.955527922923666,18
HOC_WAA,conformer_a,800,61.458333333333336,7.228543299676231,18
HOC_WAA,conformer_a,1500,61.92129629629629,6.180394908685507,18
HOC_WAA,conformer_a,3000,65.64814814814814,5.775664206176873,18
HOC_WAA,conformer_a,4000,66.85956790123457,8.404670003668919,18
HOC_WAA,conformer_a,avg,63.97183641975309,5.418658231278716,18
HOC_WAA,conformer_b,800,61.98302469135803,9.517070523239136,18
HOC_WAA,conformer_b,1500,64.45987654320987,6.857112447963911,18
HOC_WAA,conformer_b,3000,67.02160493827161,7.732891930365603,18
HOC_WAA,conformer_b,4000,66.33487654320987,7.015023510260805,18
HOC_WAA,conformer_b,avg,64.94984567901234,6.511234667807455,18
HOC_WAA,conformer_b_cwt,800,57.99382716049383,10.346245865922338,18
HOC_WAA,conformer_b_cwt,1500,58.10185185185185,10.126066294032453,18
HOC_WAA,conformer_b_cwt,3000,61.79012345679012,10.666225064993403,18
HOC_WAA,conformer_b_cwt,4000,62.38425925925927,9.288193490012778,18
HOC_WAA,conformer_b_cwt,avg,60.067515432098766,7.475644233350936,18
HOC_EPS,conformer_a,800,60.71759259259258,8.489715947545434,18
HOC_EPS,conformer_a,1500,63.20987654320988,10.649935911303473,18
HOC_EPS,conformer_a,3000,63.77314814814814,9.031390679776175,18
HOC_EPS,conformer_a,4000,62.95524691358024,7.801202696744544,18
HOC_EPS,conformer_a,avg,62.663966049382715,7.713969314992316,18
HOC_EPS,conformer_b,800,62.24537037037036,11.213301516525291,18
HOC_EPS,conformer_b,1500,62.8858024691358,8.394594480567935,18
HOC_EPS,conformer_b,3000,63.07098765432099,7.7679806539828595,18
HOC_EPS,conformer_b,4000,62.06018518518518,7.795738191513186,18
HOC_EPS,conformer_b,avg,62.56558641975309,7.75749873759851,18
HOC_EPS,conformer_b_cwt,800,59.69907407407407,9.797589526518141,18
HOC_EPS,conformer_b_cwt,1500,58.873456790123456,8.766245538472967,18
HOC_EPS,conformer_b_cwt,3000,57.24537037037036,7.839717476809648,18
HOC_EPS,conformer_b_cwt,4000,55.94135802469136,6.09354940139737,18
HOC_EPS,conformer_b_cwt,avg,57.93981481481482,6.91919429102058,18
HOC_EFE,conformer_a,800,61.95987654320988,9.279715964345224,18
HOC_EFE,conformer_a,1500,63.48765432098766,10.97722531017601,18
HOC_EFE,conformer_a,3000,66.88271604938272,9.05096597453654,18
HOC_EFE,conformer_a,4000,66.22685185185186,9.504118713100588,18
HOC_EFE,conformer_a,avg,64.63927469135803,8.370154040915477,18
HOC_EFE,conformer_b,800,64.31327160493828,8.549414258558748,18
HOC_EFE,conformer_b,1500,67.80092592592592,8.630492893743758,18
HOC_EFE,conformer_b,3000,66.67438271604938,9.835990767332513,18
HOC_EFE,conformer_b,4000,68.11728395061728,9.633609031962783,18
HOC_EFE,conformer_b,avg,66.72646604938272,7.314747216480487,18
HOC_EFE,conformer_b_cwt,800,59.922839506172835,11.198818683305724,18
HOC_EFE,conformer_b_cwt,1500,60.138888888888886,10.439680459888375,18
HOC_EFE,conformer_b_cwt,3000,59.26697530864198,8.741865909495605,18
HOC_EFE,conformer_b_cwt,4000,57.64660493827161,7.658911996242717,18
HOC_EFE,conformer_b_cwt,avg,59.24382716049383,7.8304627878793625,18
HOC_SPS,conformer_a,800,65.22376543209877,10.623078972059227,18
