model,window,mean_acc,sd_acc,n_subjects,n_pairs,n_pairs_best
conformer_a,800,63.04542058592985,7.711988345459587,18,28,10
conformer_a,1500,66.61305237115423,7.678237529619915,18,28,15
conformer_a,3000,67.95616549088771,7.277846832692972,18,28,21
conformer_a,4000,67.79801709778562,7.537158209363484,18,28,24
conformer_a,avg,66.35316388643935,7.323884083307387,18,28,23
conformer_b,800,63.83202895355674,7.768288183989985,18,28,18
conformer_b,1500,66.67775083284343,8.005756324976689,18,28,13
conformer_b,3000,66.46292621987065,7.183119499245101,18,28,7
conformer_b,4000,66.10612017440721,7.305832807296295,18,28,4
conformer_b,avg,65.76970654516951,7.3155803367466685,18,28,5
conformer_b_cwt,800,58.58900401724476,6.465646743185312,18,28,0
conformer_b_cwt,1500,60.39364099549285,6.385573637007322,18,28,0
conformer_b_cwt,3000,59.148295120517346,5.965504137820654,18,28,0
conformer_b_cwt,4000,59.061367087987456,5.967335404783791,18,28,0
conformer_b_cwt,avg,59.29807680531061,5.514810656667469,18,28,0
