pair,model,800,1500,3000,4000,avg
HOC_WFE,conformer_a,60.9568,60.7793,61.5046,61.1728,61.1034
HOC_WFE,conformer_b,61.821,62.7315,57.1528,58.9738,60.1698
HOC_WFE,conformer_b_cwt,58.2253,58.912,58.4799,56.0185,57.909
HOC_WAA,conformer_a,61.4583,61.9213,65.6481,66.8596,63.9718
HOC_WAA,conformer_b,61.983,64.4599,67.0216,66.3349,64.9498
HOC_WAA,conformer_b_cwt,57.9938,58.1019,61.7901,62.3843,60.0675
HOC_EPS,conformer_a,60.7176,63.2099,63.7731,62.9552,62.664
HOC_EPS,conformer_b,62.2454,62.8858,63.071,62.0602,62.5656
HOC_EPS,conformer_b_cwt,59.6991,58.8735,57.2454,55.9414,57.9398
HOC_EFE,conformer_a,61.9599,63.4877,66.8827,66.2269,64.6393
HOC_EFE,conformer_b,64.3133,67.8009,66.6744,68.1173,66.7265
HOC_EFE,conformer_b_cwt,59.9228,60.1389,59.267,57.6466,59.2438
HOC_SPS,conformer_a,65.2238,70.8951,72.1914,70.8565,69.7917
HOC_SPS,conformer_b,66.9522,70.6173,70.5633,69.838,69.4927
HOC_SPS,conformer_b_cwt,63.9738,66.3812,62.1065,60.8102,63.3179
HOC_SAA,conformer_a,66.6204,74.9228,75.1235,74.2978,72.7411
HOC_SAA,conformer_b,69.1049,73.3796,74.8457,72.608,72.4846
HOC_SAA,conformer_b_cwt,64.1744,67.6235,66.1883,65.7176,65.9259
HOC_SFE,conformer_a,67.9844,70.1886,69.7394,70.4561,69.5921
HOC_SFE,conformer_b,70.048,71.2277,70.4904,69.5979,70.341
HOC_SFE,conformer_b_cwt,60.4458,59.2807,59.0441,61.208,59.9946
WFE_WAA,conformer_a,60.5478,60.6636,63.3873,63.179,61.9444
WFE_WAA,conformer_b,59.6296,63.858,63.1867,63.125,62.4498
WFE_WAA,conformer_b_cwt,55.8256,55.9877,63.0324,60.7716,58.9043
WFE_EPS,conformer_a,63.2022,62.5617,60.9954,60.679,61.8596
WFE_EPS,conformer_b,60.7099,62.0448,61.2037,60.9028,61.2153
WFE_EPS,conformer_b_cwt,58.534,57.4383,58.1636,55.5556,57.4228
WFE_EFE,conformer_a,63.4105,59.3287,63.642,64.4753,62.7141
WFE_EFE,conformer_b,62.8164,62.1914,61.7901,62.1836,62.2454
WFE_EFE,conformer_b_cwt,56.713,58.1173,57.0756,56.0417,56.9869
WFE_SPS,conformer_a,67.6929,69.5216,69.1204,70.9182,69.3133
WFE_SPS,conformer_b,67.284,69.3364,70.7948,68.7654,69.0451
WFE_SPS,conformer_b_cwt,60.9568,67.4923,61.7978,61.6127,62.9649
