pair,subject,window_ms,fold,accuracy,val_accuracy,n_test
WFE/SFE,6,800,3,25.0,81.25,16
WFE/SFE,6,800,4,50.0,50.0,16
WFE/SFE,6,800,5,56.25,68.75,16
WFE/SFE,6,1500,1,56.25,43.75,16
WFE/SFE,6,1500,2,50.0,56.25,16
WFE/SFE,6,1500,3,68.75,75.0,16
WFE/SFE,6,1500,4,50.0,56.25,16
WFE/SFE,6,1500,5,37.5,75.0,16
WFE/SFE,6,3000,1,56.25,68.75,16
WFE/SFE,6,3000,2,62.5,62.5,16
WFE/SFE,6,3000,3,50.0,50.0,16
WFE/SFE,6,3000,4,56.25,62.5,16
WFE/SFE,6,3000,5,62.5,68.75,16
WFE/SFE,6,4000,1,56.25,56.25,16
WFE/SFE,6,4000,2,62.5,75.0,16
WFE/SFE,6,4000,3,75.0,43.75,16
WFE/SFE,6,4000,4,56.25,62.5,16
WFE/SFE,6,4000,5,56.25,81.25,16
WFE/SFE,7,800,1,50.0,56.25,16
WFE/SFE,7,800,2,62.5,56.25,16
WFE/SFE,7,800,3,43.75,56.25,16
WFE/SFE,7,800,4,62.5,62.5,16
WFE/SFE,7,800,5,68.75,56.25,16
WFE/SFE,7,1500,1,43.75,68.75,16
WFE/SFE,7,1500,2,75.0,50.0,16
WFE/SFE,7,1500,3,62.5,56.25,16
WFE/SFE,7,1500,4,56.25,75.0,16
WFE/SFE,7,1500,5,56.25,68.75,16
WFE/SFE,7,3000,1,62.5,62.5,16
WFE/SFE,7,3000,2,68.75,68.75,16
WFE/SFE,7,3000,3,62.5,62.5,16
WFE/SFE,7,3000,4,62.5,75.0,16
WFE/SFE,7,3000,5,56.25,68.75,16
WFE/SFE,7,4000,1,50.0,62.5,16
WFE/SFE,7,4000,2,68.75,68.75,16
WFE/SFE,7,4000,3,37.5,68.75,16
WFE/SFE,7,4000,4,68.75,75.0,16
WFE/SFE,7,4000,5,50.0,62.5,16
WFE/SFE,8,800,1,56.25,43.75,16
WFE/SFE,8,800,2,43.75,56.25,16
WFE/SFE,8,800,3,56.25,56.25,16
WFE/SFE,8,800,4,31.25,75.0,16
WFE/SFE,8,800,5,31.25,75.0,16
WFE/SFE,8,1500,1,37.5,68.75,16
WFE/SFE,8,1500,2,56.25,75.0,16
WFE/SFE,8,1500,3,68.75,50.0,16
WFE/SFE,8,1500,4,31.25,68.75,16
WFE/SFE,8,1500,5,43.75,62.5,16
WFE/SFE,8,3000,1,56.25,75.0,16
WFE/SFE,8,3000,2,62.5,62.5,16
WFE/SFE,8,3000,3,50.0,50.0,16
WFE/SFE,8,3000,4,31.25,62.5,16
WFE/SFE,8,3000,5,50.0,56.25,16
WFE/SFE,8,4000,1,43.75,50.0,16
WFE/SFE,8,4000,2,31.25,62.5,16
WFE/SFE,8,4000,3,56.25,62.5,16
WFE/SFE,8,4000,4,43.75,68.75,16
WFE/SFE,8,4000,5,31.25,62.5,16
WFE/SFE,9,800,1,43.75,50.0,16
WFE/SFE,9,800,2,56.25,68.75,16
WFE/SFE,9,800,3,50.0,68.75,16
WFE/SFE,9,800,4,43.75,62.5,16
WFE/SFE,9,800,5,43.75,43.75,16
WFE/SFE,9,1500,1,43.75,62.5,16
WFE/SFE,9,1500,2,68.75,50.0,16
WFE/SFE,9,1500,3,43.75,87.5,16
WFE/SFE,9,1500,4,50.0,50.0,16
WFE/SFE,9,1500,5,50.0,62.5,16
WFE/SFE,9,3000,1,37.5,68.75,16
WFE/SFE,9,3000,2,25.0,62.5,16
WFE/SFE,9,3000,3,43.75,81.25,16
WFE/SFE,9,3000,4,37.5,50.0,16
WFE/SFE,9,3000,5,68.75,75.0,16
WFE/SFE,9,4000,1,50.0,68.75,16
WFE/SFE,9,4000,2,56.25,50.0,16
WFE/SFE,9,4000,3,56.25,75.0,16
WFE/SFE,9,4000,4,37.5,62.5,16
WFE/SFE,9,4000,5,62.5,75.0,16
WFE/SFE,10,800,1,50.0,56.25,16
WFE/SFE,10,800,2,37.5,56.25,16
WFE/SFE,10,800,3,68.75,56.25,16
WFE/SFE,10,800,4,62.5,43.75,16
WFE/SFE,10,800,5,62.5,56.25,16
WFE/SFE,10,1500,1,56.25,50.0,16
WFE/SFE,10,1500,2,62.5,43.75,16
WFE/SFE,10,1500,3,37.5,62.5,16
WFE/SFE,10,1500,4,56.25,50.0,16
WFE/SFE,10,1500,5,56.25,56.25,16
WFE/SFE,10,3000,1,50.0,56.25,16
WFE/SFE,10,3000,2,75.0,56.25,16
WFE/SFE,10,3000,3,62.5,62.5,16
WFE/SFE,10,3000,4,75.0,50.0,16
WFE/SFE,10,3000,5,62.5,68.75,16
WFE/SFE,10,4000,1,43.75,68.75,16
WFE/SFE,10,4000,2,56.25,56.25,16
WFE/SFE,10,4000,3,43.75,62.5,16
WFE/SFE,10,4000,4,62.5,50.0,16
WFE/SFE,10,4000,5,62.5,56.25,16
WFE/SFE,11,800,1,37.5,50.0,16
WFE/SFE,11,800,2,31.25,50.0,16
WFE/SFE,11,800,3,31.25,75.0,16
WFE/SFE,11,800,4,62.5,50.0,16
WFE/SFE,11,800,5,56.25,56.25,16
WFE/SFE,11,1500,1,56.25,56.25,16
WFE/SFE,11,1500,2,56.25,43.75,16
WFE/SFE,11,1500,3,43.75,75.0,16
WFE/SFE,11,1500,4,50.0,56.25,16
WFE/SFE,11,1500,5,50.0,43.75,16
WFE/SFE,11,3000,1,56.25,56.25,16
WFE/SFE,11,3000,2,50.0,62.5,16
WFE/SFE,11,3000,3,43.75,68.75,16
WFE/SFE,11,3000,4,31.25,56.25,16
