model,window,mean_acc,sd_acc,n_subjects,n_pairs,n_pairs_best
fine,800,63.636433225553596,7.753616226144662,18,28,16
fine,1500,65.18631809719773,7.60992860642261,18,28,3
fine,3000,64.99849965706447,7.2374919748659465,18,28,1
fine,4000,64.86689814814815,7.263265343518186,18,28,1
fine,avg,64.67203728199098,7.250632674930174,18,28,2
conformer_a,800,62.09864295512445,7.2891860481374815,18,28,7
conformer_a,1500,65.9686397707231,7.991288462027209,18,28,13
conformer_a,3000,67.52731236527534,7.378622644201884,18,28,22
conformer_a,4000,67.58438663531255,7.522952259762263,18,28,21
conformer_a,avg,65.79474543160886,7.300105441410941,18,28,18
conformer_b,800,62.880964628649814,7.543552938575998,18,28,5
conformer_b,1500,65.878282382912,8.03595443799717,18,28,12
conformer_b,3000,65.68363585145993,7.22993809400437,18,28,5
conformer_b,4000,66.0847785616304,7.575425874881576,18,28,6
conformer_b,avg,65.13191535616303,7.367306173303464,18,28,8
