scope,pair,contrast,window,n_subjects,mean_x,mean_y,diff,sd_diff,t,p_ttest,p_wilcoxon,cohen_dz,n_x_better,n_y_better,n_ties,p_holm
pair,HOC_WFE,A - FINE,800,18,60.810185,61.25,-0.439815,6.411273,-0.291046,0.774537,0.868296,-0.0686,7,10,1,1.0
pair,HOC_WFE,A - FINE,1500,18,60.99537,60.03858,0.95679,5.692928,0.713046,0.485491,0.346136,0.168066,8,6,4,1.0
pair,HOC_WFE,A - FINE,3000,18,62.121914,58.75,3.371914,7.467219,1.915816,0.072362,0.083887,0.451562,11,6,1,1.0
pair,HOC_WFE,A - FINE,4000,18,62.430556,58.595679,3.834877,5.18716,3.136591,0.006014,0.008965,0.739302,14,4,0,1.0
pair,HOC_WFE,A - FINE,avg,18,61.589506,59.658565,1.930941,3.497075,2.342612,0.031575,0.026848,0.552159,14,4,0,1.0
pair,HOC_WFE,B - FINE,800,18,63.217593,61.25,1.967593,5.086678,1.641108,0.119144,0.190608,0.386813,9,8,1,1.0
pair,HOC_WFE,B - FINE,1500,18,63.49537,60.03858,3.45679,5.618897,2.610106,0.018293,0.024324,0.615208,13,3,2,1.0
pair,HOC_WFE,B - FINE,3000,18,57.46142,58.75,-1.28858,7.448505,-0.733971,0.472969,0.522614,-0.172999,7,11,0,1.0
pair,HOC_WFE,B - FINE,4000,18,59.837963,58.595679,1.242284,4.391141,1.200272,0.246493,0.082715,0.282907,10,6,2,1.0
pair,HOC_WFE,B - FINE,avg,18,61.003086,59.658565,1.344522,2.546037,2.240471,0.038707,0.01282,0.528084,13,4,1,1.0
pair,HOC_WFE,A - B,800,18,60.810185,63.217593,-2.407407,4.947757,-2.064322,0.054592,0.049277,-0.486565,6,11,1,1.0
pair,HOC_WFE,A - B,1500,18,60.99537,63.49537,-2.5,4.963099,-2.137092,0.047419,0.025333,-0.503718,3,11,4,1.0
pair,HOC_WFE,A - B,3000,18,62.121914,57.46142,4.660494,5.804516,3.406451,0.003361,0.003365,0.802908,13,5,0,1.0
pair,HOC_WFE,A - B,4000,18,62.430556,59.837963,2.592593,4.010697,2.742525,0.013884,0.013337,0.646419,13,2,3,1.0
pair,HOC_WFE,A - B,avg,18,61.589506,61.003086,0.58642,2.64707,0.939895,0.360436,0.407731,0.221535,9,7,2,1.0
pair,HOC_WAA,A - FINE,800,18,61.149691,60.625,0.524691,5.0863,0.437661,0.667141,0.69796,0.103158,7,9,2,1.0
pair,HOC_WAA,A - FINE,1500,18,60.740741,62.708333,-1.967593,6.527039,-1.278955,0.218096,0.17017,-0.301453,6,10,2,1.0
pair,HOC_WAA,A - FINE,3000,18,65.069444,66.111111,-1.041667,9.434858,-0.468414,0.645439,0.589348,-0.110406,7,8,3,1.0
pair,HOC_WAA,A - FINE,4000,18,64.938272,65.362654,-0.424383,7.083649,-0.254177,0.802407,0.569509,-0.05991,5,12,1,1.0
