pair,model,subject,window_ms,accuracy,n_test
HOC/WFE,fine,1,800,60.0,90
HOC/WFE,fine,1,1500,54.44444444444444,90
HOC/WFE,fine,1,3000,50.0,90
HOC/WFE,fine,1,4000,52.22222222222223,90
HOC/WFE,fine,2,800,56.25,80
HOC/WFE,fine,2,1500,57.49999999999999,80
HOC/WFE,fine,2,3000,46.25,80
HOC/WFE,fine,2,4000,58.75,80
HOC/WFE,fine,3,800,68.75,80
HOC/WFE,fine,3,1500,67.5,80
HOC/WFE,fine,3,3000,53.75,80
HOC/WFE,fine,3,4000,61.25000000000001,80
HOC/WFE,fine,4,800,56.25,80
HOC/WFE,fine,4,1500,57.49999999999999,80
HOC/WFE,fine,4,3000,61.25000000000001,80
HOC/WFE,fine,4,4000,63.74999999999999,80
HOC/WFE,fine,5,800,61.25000000000001,80
HOC/WFE,fine,5,1500,58.75,80
HOC/WFE,fine,5,3000,65.0,80
HOC/WFE,fine,5,4000,63.74999999999999,80
HOC/WFE,fine,6,800,55.00000000000001,80
HOC/WFE,fine,6,1500,63.74999999999999,80
HOC/WFE,fine,6,3000,57.49999999999999,80
HOC/WFE,fine,6,4000,57.49999999999999,80
HOC/WFE,fine,7,800,65.0,80
HOC/WFE,fine,7,1500,57.49999999999999,80
HOC/WFE,fine,7,3000,46.25,80
HOC/WFE,fine,7,4000,57.49999999999999,80
HOC/WFE,fine,8,800,47.5,80
HOC/WFE,fine,8,1500,50.0,80
HOC/WFE,fine,8,3000,47.5,80
HOC/WFE,fine,8,4000,51.24999999999999,80
HOC/WFE,fine,9,800,48.75,80
HOC/WFE,fine,9,1500,51.24999999999999,80
HOC/WFE,fine,9,3000,62.5,80
HOC/WFE,fine,9,4000,48.75,80
HOC/WFE,fine,10,800,65.0,80
HOC/WFE,fine,10,1500,58.75,80
HOC/WFE,fine,10,3000,51.24999999999999,80
HOC/WFE,fine,10,4000,50.0,80
HOC/WFE,fine,11,800,60.0,80
HOC/WFE,fine,11,1500,62.5,80
HOC/WFE,fine,11,3000,62.5,80
HOC/WFE,fine,11,4000,58.75,80
HOC/WFE,fine,12,800,67.5,80
HOC/WFE,fine,12,1500,48.75,80
HOC/WFE,fine,12,3000,63.74999999999999,80
HOC/WFE,fine,12,4000,45.0,80
HOC/WFE,fine,13,800,58.75,80
HOC/WFE,fine,13,1500,66.25,80
HOC/WFE,fine,13,3000,67.5,80
HOC/WFE,fine,13,4000,63.74999999999999,80
HOC/WFE,fine,14,800,65.0,80
HOC/WFE,fine,14,1500,62.5,80
HOC/WFE,fine,14,3000,60.0,80
HOC/WFE,fine,14,4000,55.00000000000001,80
HOC/WFE,fine,15,800,82.5,80
HOC/WFE,fine,15,1500,80.0,80
HOC/WFE,fine,15,3000,80.0,80
HOC/WFE,fine,15,4000,85.0,80
HOC/WFE,fine,16,800,55.00000000000001,80
HOC/WFE,fine,16,1500,70.0,80
HOC/WFE,fine,16,3000,70.0,80
HOC/WFE,fine,16,4000,66.25,80
HOC/WFE,fine,17,800,57.49999999999999,80
HOC/WFE,fine,17,1500,48.75,80
HOC/WFE,fine,17,3000,53.75,80
HOC/WFE,fine,17,4000,52.5,80
HOC/WFE,fine,18,800,72.5,80
HOC/WFE,fine,18,1500,65.0,80
HOC/WFE,fine,18,3000,58.75,80
HOC/WFE,fine,18,4000,63.74999999999999,80
HOC/WFE,conformer_a,1,800,53.333333333333336,90
HOC/WFE,conformer_a,1,1500,56.66666666666666,90
HOC/WFE,conformer_a,1,3000,54.44444444444444,90
HOC/WFE,conformer_a,1,4000,50.0,90
HOC/WFE,conformer_a,2,800,56.25,80
HOC/WFE,conformer_a,2,1500,58.75,80
HOC/WFE,conformer_a,2,3000,58.75,80
HOC/WFE,conformer_a,2,4000,62.5,80
HOC/WFE,conformer_a,3,800,61.25000000000001,80
HOC/WFE,conformer_a,3,1500,71.25,80
HOC/WFE,conformer_a,3,3000,67.5,80
HOC/WFE,conformer_a,3,4000,56.25,80
HOC/WFE,conformer_a,4,800,63.74999999999999,80
HOC/WFE,conformer_a,4,1500,66.25,80
HOC/WFE,conformer_a,4,3000,61.25000000000001,80
HOC/WFE,conformer_a,4,4000,68.75,80
HOC/WFE,conformer_a,5,800,60.0,80
HOC/WFE,conformer_a,5,1500,61.25000000000001,80
HOC/WFE,conformer_a,5,3000,70.0,80
HOC/WFE,conformer_a,5,4000,75.0,80
HOC/WFE,conformer_a,6,800,58.75,80
HOC/WFE,conformer_a,6,1500,63.74999999999999,80
HOC/WFE,conformer_a,6,3000,66.25,80
HOC/WFE,conformer_a,6,4000,63.74999999999999,80
HOC/WFE,conformer_a,7,800,56.25,80
HOC/WFE,conformer_a,7,1500,56.25,80
HOC/WFE,conformer_a,7,3000,55.00000000000001,80
HOC/WFE,conformer_a,7,4000,61.25000000000001,80
HOC/WFE,conformer_a,8,800,53.75,80
HOC/WFE,conformer_a,8,1500,48.75,80
HOC/WFE,conformer_a,8,3000,46.25,80
HOC/WFE,conformer_a,8,4000,52.5,80
HOC/WFE,conformer_a,9,800,53.75,80
HOC/WFE,conformer_a,9,1500,51.24999999999999,80
HOC/WFE,conformer_a,9,3000,58.75,80
HOC/WFE,conformer_a,9,4000,53.75,80
HOC/WFE,conformer_a,10,800,72.5,80
HOC/WFE,conformer_a,10,1500,58.75,80
HOC/WFE,conformer_a,10,3000,53.75,80
HOC/WFE,conformer_a,10,4000,58.75,80
HOC/WFE,conformer_a,11,800,56.25,80
HOC/WFE,conformer_a,11,1500,55.00000000000001,80
HOC/WFE,conformer_a,11,3000,57.49999999999999,80
HOC/WFE,conformer_a,11,4000,60.0,80
HOC/WFE,conformer_a,12,800,66.25,80
HOC/WFE,conformer_a,12,1500,62.5,80
HOC/WFE,conformer_a,12,3000,60.0,80
