pair,model,800,1500,3000,4000,avg
HOC_WFE,fine,8.4453,8.1503,9.0037,8.9832,7.2086
HOC_WFE,conformer_a,9.175,7.7097,10.9766,9.8656,8.4848
HOC_WFE,conformer_b,5.9783,7.7017,9.7175,9.2577,7.1952
HOC_WAA,fine,6.9167,8.6204,7.3501,6.8524,5.5125
HOC_WAA,conformer_a,9.2176,9.4752,6.7447,7.0947,6.7093
HOC_WAA,conformer_b,8.1426,7.6037,5.6558,7.8303,6.1513
HOC_EPS,fine,10.7969,8.8387,8.2191,6.4862,7.2058
HOC_EPS,conformer_a,9.15,9.8133,8.1802,7.3096,7.3825
HOC_EPS,conformer_b,11.3853,10.7676,8.0421,8.8869,8.5044
HOC_EFE,fine,9.3848,10.2901,11.2266,9.9048,8.105
HOC_EFE,conformer_a,7.5996,10.0409,10.3787,9.2804,7.886
HOC_EFE,conformer_b,8.2583,11.2546,8.3957,10.1563,8.3096
HOC_SPS,fine,13.3905,11.8242,8.044,9.9128,9.4896
HOC_SPS,conformer_a,12.8806,10.777,9.6747,10.815,10.1709
HOC_SPS,conformer_b,12.294,13.0608,9.4575,9.9931,10.074
HOC_SAA,fine,8.4101,10.469,10.3425,11.1293,9.2101
HOC_SAA,conformer_a,10.4603,9.7307,10.376,8.4885,8.6805
HOC_SAA,conformer_b,10.0631,10.1419,10.3303,11.8073,9.4015
HOC_SFE,fine,10.471,12.0059,10.9054,10.7734,10.3256
HOC_SFE,conformer_a,10.8205,10.6304,10.6816,10.7572,9.8402
HOC_SFE,conformer_b,11.5291,11.4373,9.2643,9.6502,9.6279
WFE_WAA,fine,9.524,10.4174,8.1683,8.0019,7.4705
WFE_WAA,conformer_a,8.7466,8.8437,7.1885,9.4012,7.209
WFE_WAA,conformer_b,7.9273,7.968,8.2499,6.399,6.2537
WFE_EPS,fine,8.5562,8.6974,5.8787,9.0221,7.1742
WFE_EPS,conformer_a,8.562,8.5083,7.7286,7.2543,6.4976
WFE_EPS,conformer_b,11.2996,9.4664,7.7535,6.6223,7.8111
WFE_EFE,fine,10.2127,10.773,11.7224,12.3993,10.1563
WFE_EFE,conformer_a,7.7907,7.871,10.356,10.1896,8.0188
WFE_EFE,conformer_b,10.1099,10.9448,10.575,12.0126,9.4244
WFE_SPS,fine,11.6416,14.0865,12.3289,12.4293,12.0071
WFE_SPS,conformer_a,14.7875,12.9187,11.4764,13.849,12.3564
WFE_SPS,conformer_b,11.8106,13.1993,13.2909,12.2008,11.6587
WFE_SAA,fine,9.0718,11.2594,13.0643,10.7262,9.8795
WFE_SAA,conformer_a,10.5917,12.6588,12.3387,12.8442,10.6776
WFE_SAA,conformer_b,8.3165,11.6729,11.9272,10.8668,9.6524
WFE_SFE,fine,7.5582,10.0273,10.8997,10.8396,8.9247
WFE_SFE,conformer_a,8.9115,11.176,9.7648,10.78,8.7466
WFE_SFE,conformer_b,7.0311,11.3985,11.1532,12.0402,9.3281
WAA_EPS,fine,8.9055,7.6913,6.8449,8.0574,6.0248
WAA_EPS,conformer_a,8.1853,9.2669,7.4638,7.3744,6.4663
WAA_EPS,conformer_b,8.8159,8.6051,7.6472,8.7604,7.2435
WAA_EFE,fine,7.9729,7.7864,10.4314,11.0686,7.5655
WAA_EFE,conformer_a,11.2612,7.6396,10.3834,10.0131,7.1153
WAA_EFE,conformer_b,8.5792,7.2621,10.2034,12.3445,8.2834
WAA_SPS,fine,13.3728,9.8016,8.3336,9.5049,9.607
WAA_SPS,conformer_a,11.9597,11.2908,10.5923,10.1873,10.0875
WAA_SPS,conformer_b,11.4049,11.6854,10.1011,9.4002,9.9495
WAA_SAA,fine,12.0995,12.7229,10.9289,10.4357,10.4898
WAA_SAA,conformer_a,8.4839,12.1385,12.0821,11.412,9.8868
WAA_SAA,conformer_b,10.4039,12.8715,12.2028,12.5506,11.1043
WAA_SFE,fine,9.8118,12.1265,9.3,11.2439,9.595
WAA_SFE,conformer_a,9.7509,10.4172,9.2718,11.4753,9.2215
WAA_SFE,conformer_b,9.4551,10.6962,10.0205,12.3345,9.5198
EPS_EFE,fine,8.7392,8.3994,5.371,8.5016,6.4574
EPS_EFE,conformer_a,9.6584,6.9964,9.2203,10.0051,7.8961
EPS_EFE,conformer_b,8.0167,6.764,7.6846,9.0081,6.9512
EPS_SPS,fine,11.9251,12.6315,10.4278,9.8549,9.6463
EPS_SPS,conformer_a,12.1582,13.1555,11.1179,10.7442,10.6768
EPS_SPS,conformer_b,10.3702,11.301,11.2658,10.2195,9.6856
EPS_SAA,fine,13.732,14.06,11.8894,12.592,12.4351
EPS_SAA,conformer_a,11.6814,11.6828,12.1972,13.5746,11.3634
EPS_SAA,conformer_b,12.3923,13.6815,12.0527,14.0067,12.2373
EPS_SFE,fine,12.1014,12.0703,11.2233,13.3783,10.5216
EPS_SFE,conformer_a,9.9785,12.0086,10.7579,10.9378,9.5657
EPS_SFE,conformer_b,11.2134,14.3324,11.2568,12.7119,11.0701
EFE_SPS,fine,14.9058,11.2715,13.7685,11.1298,11.601
EFE_SPS,conformer_a,11.5633,13.5002,12.7462,12.5968,11.7277
EFE_SPS,conformer_b,12.6115,13.2948,12.6533,11.7486,11.6113
EFE_SAA,fine,13.58,13.6217,13.6321,10.8794,12.2181
EFE_SAA,conformer_a,14.6466,14.039,14.0416,14.7543,13.4533
EFE_SAA,conformer_b,11.2831,15.1391,12.5219,14.4615,12.8048
EFE_SFE,fine,13.177,11.9525,12.9475,12.5096,11.8659
EFE_SFE,conformer_a,11.344,13.0319,11.4774,12.6776,11.2115
EFE_SFE,conformer_b,14.549,11.964,11.9916,10.606,11.3503
SPS_SAA,fine,13.0987,12.7373,14.2457,13.3273,12.1318
SPS_SAA,conformer_a,12.8119,13.7081,13.0742,13.1289,12.3906
SPS_SAA,conformer_b,13.5099,12.6748,14.4722,12.9696,12.26
SPS_SFE,fine,13.6938,9.8784,12.056,13.112,11.2123
SPS_SFE,conformer_a,11.9309,13.3493,10.9891,13.6675,11.4091
SPS_SFE,conformer_b,12.8656,13.0294,11.6677,12.9896,11.7082
SAA_SFE,fine,8.8908,10.8693,12.7046,9.292,9.5094
SAA_SFE,conformer_a,7.985,11.7785,12.4526,11.2471,9.6582
SAA_SFE,conformer_b,6.2808,11.0536,11.0651,10.7062,8.7125
