pair,model,window,mean_acc,sd_acc,n_subjects
WAA_SAA,fine,800,65.79475308641976,12.099503262612432,18
WAA_SAA,fine,1500,71.23456790123457,12.72285804210127,18
WAA_SAA,fine,3000,68.78086419753087,10.92891423629306,18
WAA_SAA,fine,4000,69.12037037037037,10.435658068942319,18
WAA_SAA,fine,avg,68.73263888888889,10.489771049491578,18
WAA_SAA,conformer_a,800,63.47222222222222,8.483933296708935,18
WAA_SAA,conformer_a,1500,72.64660493827161,12.138516115615879,18
WAA_SAA,conformer_a,3000,73.59567901234567,12.08205508310014,18
WAA_SAA,conformer_a,4000,73.14814814814814,11.41198041632182,18
WAA_SAA,conformer_a,avg,70.71566358024691,9.886825384203535,18
WAA_SAA,conformer_b,800,65.60956790123457,10.40387437705678,18
WAA_SAA,conformer_b,1500,70.73302469135803,12.87154829565246,18
WAA_SAA,conformer_b,3000,69.43672839506172,12.20284711157605,18
WAA_SAA,conformer_b,4000,70.13888888888889,12.550551377102165,18
WAA_SAA,conformer_b,avg,68.9795524691358,11.104325049919066,18
HOC_WFE,fine,800,61.25,8.445325891388958,18
HOC_WFE,fine,1500,60.038580246913575,8.15033346734869,18
HOC_WFE,fine,3000,58.75,9.003675719981715,18
HOC_WFE,fine,4000,58.59567901234568,8.98322198619672,18
HOC_WFE,fine,avg,59.65856481481482,7.208631336952103,18
HOC_WFE,conformer_a,800,60.81018518518519,9.174987558341174,18
HOC_WFE,conformer_a,1500,60.99537037037036,7.709676471335566,18
HOC_WFE,conformer_a,3000,62.12191358024691,10.9765964594576,18
HOC_WFE,conformer_a,4000,62.43055555555556,9.865569046658134,18
HOC_WFE,conformer_a,avg,61.589506172839506,8.484782185535465,18
HOC_WFE,conformer_b,800,63.21759259259258,5.978251630391764,18
HOC_WFE,conformer_b,1500,63.49537037037036,7.701724629786331,18
HOC_WFE,conformer_b,3000,57.461419753086425,9.71752986151194,18
HOC_WFE,conformer_b,4000,59.83796296296296,9.25772386507322,18
HOC_WFE,conformer_b,avg,61.00308641975309,7.195235458122925,18
EPS_SPS,fine,800,66.04938271604938,11.925069997296028,18
EPS_SPS,fine,1500,67.61574074074073,12.631502366441055,18
EPS_SPS,fine,3000,65.40123456790123,10.427814175587992,18
EPS_SPS,fine,4000,65.15432098765433,9.854940176416047,18
EPS_SPS,fine,avg,66.05516975308643,9.646347976144128,18
EPS_SPS,conformer_a,800,63.17901234567901,12.158170035167736,18
EPS_SPS,conformer_a,1500,68.83487654320987,13.155484179605043,18
EPS_SPS,conformer_a,3000,70.2854938271605,11.11789746004425,18
EPS_SPS,conformer_a,4000,70.46296296296298,10.744249952616478,18
EPS_SPS,conformer_a,avg,68.19058641975309,10.676756291080947,18
EPS_SPS,conformer_b,800,65.93364197530865,10.370191043617588,18
EPS_SPS,conformer_b,1500,68.92746913580247,11.300952311113512,18
EPS_SPS,conformer_b,3000,67.19135802469135,11.265830018539097,18
EPS_SPS,conformer_b,4000,67.39197530864197,10.219490652055244,18
EPS_SPS,conformer_b,avg,67.36111111111111,9.685556151172547,18
